UniprotID Prot_A,UniprotID Prot_B,String Score,Prot_A,Prot_B
A0A0U1RRL7,A8K2U0,0.968,MMP2,A2M
A0A0U1RRL7,O00425,0.945,MMP2,IGF2
A0A0U1RRL7,P03956,0.922,MMP2,MMP1
A0A0U1RRL7,P05019,0.96,MMP2,IGF1
A0A0U1RRL7,P08254,0.923,MMP2,MMP3
A0A0U1RRL7,P09237,0.91,MMP2,MMP7
A0A0U1RRL7,P09238,0.911,MMP2,MMP10
A0A0U1RRL7,P14780,0.908,MMP2,MMP9
A0A0U1RRL7,P16112,0.972,MMP2,ACAN
A0A0U1RRL7,P17936,0.966,MMP2,IGFBP3
A0A0U1RRL7,P39060,0.985,MMP2,COL18A1
A0A0U1RRL7,P40763,0.979,MMP2,STAT3
A0A0U1RRL7,P45452,0.911,MMP2,MMP13
A0A0U1RRL7,P50281,0.969,MMP2,MMP14
A0A0U1RRL7,Q02763,0.95,MMP2,TEK
A0A0U1RRL7,Q13751,0.923,MMP2,LAMB3
A0A0U1RRL7,Q13753,0.925,MMP2,LAMC2
A0A0U1RRL7,Q15389,0.949,MMP2,ANGPT1
A0A0U1RRL7,Q16787,0.917,MMP2,LAMA3
A0A0U1RRL7,Q96GW7,0.946,MMP2,BCAN
A0A1B0GTR4,C9JRZ8,0.957,SPR,AKR1B1
A0A1B0GTR4,O14832,0.98,SPR,PAH
A0A1B0GTR4,P00374,0.977,SPR,DHFR
A0A1B0GUI7,P63208,0.771,BRD3,TCEB1
A0A1B0GUI7,Q9NPF5,0.93,BRD3,DMAP1
A0A1B0GVZ6,Q92769,0.993,MBD3,HDAC2
A0A2Z4LIS9,O14920,0.979,FOXO3,IKBKB
A0A2Z4LIS9,P31749,0.999,FOXO3,AKT1
A0JLT2,O14633,0.917,MED1,LEP
A0JLT2,O15379,0.924,MED1,HDAC3
A0JLT2,O60423,0.836,MED1,FOS
A0JLT2,O60427,0.902,MED1,FADS1
A0JLT2,O75608,0.919,MED1,LPL
A0JLT2,O75674,0.853,MED1,SRC
A0JLT2,O95477,0.919,MED1,ABCA1
A0JLT2,P03372,0.975,MED1,ESR1
A0JLT2,P08047,0.922,MED1,SP1
A0JLT2,P10826,0.972,MED1,RARB
A0JLT2,P10828,0.958,MED1,THRB
A0JLT2,P11310,0.901,MED1,ACADM
A0JLT2,P11473,0.988,MED1,VDR
A0JLT2,P13631,0.931,MED1,RARG
A0JLT2,P17676,0.941,MED1,CEBPB
A0JLT2,P19793,0.989,MED1,RXRA
A0JLT2,P22736,0.94,MED1,NR4A1
A0JLT2,P28702,0.967,MED1,RXRB
A0JLT2,P35222,0.917,MED1,CTNNB1
A0JLT2,P48443,0.968,MED1,RXRG
A0JLT2,P48552,0.957,MED1,NRIP1
A0JLT2,P49715,0.932,MED1,CEBPA
A0JLT2,P54868,0.904,MED1,HMGCS2
A0JLT2,Q03181,0.933,MED1,PPARD
A0JLT2,Q07869,0.966,MED1,PPARA
A0JLT2,Q13133,0.962,MED1,NR1H3
A0JLT2,Q15759,0.607,MED1,MAPK11
A0JLT2,Q15788,0.966,MED1,NCOA1
A0JLT2,Q6Q788,0.9,MED1,APOA5
A0JLT2,Q92731,0.967,MED1,ESR2
A0JLT2,Q9BY76,0.906,MED1,ANGPTL4
A1A5B4,A6ND01,0.991,TP53,JUN
A1A5B4,O60271,0.995,TP53,MAPK8
A1A5B4,O60423,0.969,TP53,FOS
A1A5B4,O95757,0.881,TP53,HSPA4
A1A5B4,P07900,0.99,TP53,HSP90AA1
A1A5B4,P08238,0.853,TP53,HSP90AB1
A1A5B4,P0DMV8,0.978,TP53,HSPA1A
A1A5B4,P11142,0.733,TP53,HSPA8
A1A5B4,P16220,0.905,TP53,CREB1
A1A5B4,P23560,0.95,TP53,BDNF
A1A5B4,P31749,0.994,TP53,AKT1
A1A5B4,P49841,0.982,TP53,GSK3B
A1A5B4,P51532,0.89,TP53,SMARCA4
A1A5B4,Q15759,0.958,TP53,MAPK11
A1A5B4,Q8IW41,0.99,TP53,MAPKAPK5
A1A5B4,Q8TB73,0.809,TP53,NDN
A1A5B4,Q92769,0.986,TP53,HDAC2
A1A5B4,Q96GM5,0.73,TP53,SMARCD1
A2A368,P61586,0.953,MAG,RHOA
A4D0S4,Q496J9,0.647,LAMB4,SV2C
A4D0S4,Q7L1I2,0.784,LAMB4,SV2B
A5D8V6,P19793,0.524,PML,RXRA
A5D8V6,P31749,0.929,PML,AKT1
A5D8V6,Q05516,0.679,PML,ZBTB16
A5D8V6,Q9Y618,0.583,PML,NCOR2
A5PLN7,P11215,0.908,MST1,ITGAM
A5PLN7,P31749,0.958,MST1,AKT1
A6H8M9,O95684,0.979,CDH2,FGFR1
A6H8M9,P27986,0.947,CDH2,PIK3R1
A6H8M9,P35222,0.994,CDH2,CTNNB1
A6H8M9,P42262,0.962,CDH2,GRIA2
A6ND01,O00220,0.986,JUN,TNF
A6ND01,O60271,0.999,JUN,MAPK8
A6ND01,O75592,0.992,JUN,MYC
A6ND01,P16220,0.993,JUN,CREB1
A6ND01,P51532,0.954,JUN,SMARCA4
A6ND01,Q04206,0.98,JUN,RELA
A6ND01,Q13418,0.937,JUN,ILK
A6ND01,Q15788,0.909,JUN,NCOA1
A6ND01,Q92769,0.958,JUN,HDAC2
