Acetylcholine-gated channel,Oxidation-reduction process,Cell surface receptor signaling pathway,Positivie regulation of peptidyl-tyrosine phosphorilation,Axon,Voltage-gated calcium channel complex,Adenylate cyclase activity,Transcription coregulator activity,Neuropeptide signaling pathway,Protease binding,Magnesium ion binding,Transmembrane receptor protein tyrosine kinase signaling,Early endosome,Ubiquitin protein ligase activity,B cell differentiation,Insulin receptor siganling pathway,Histone deacetylase binding,Chemokine-mediated signaling pathway,GABA-A receptor complex,RNA pol II distal enhancer sequence-specific DNA binding
GO:0005892,GO:0055114,GO:0007166,GO:0050731,GO:0030424,GO:0005245,GO:0004016,GO:0003713,GO:0007218,GO:0002020,GO:0000287,GO:0007169,GO:0005769,GO:0061630,GO:0030183,GO:0008286,GO:0042826,GO:0070098,GO:1902711,GO:0000980
P16157,B2RXH8,P01178,P98172,Q96BI3,Q8N0W4,P07741,Q9UBK2,O15303,Q8WUP2,Q15750,O00231,Q8NFT8,P61081,P43235,Q16555,Q02078,O75879,P14867,Q9UKL0
P12235,Q9NPA1,P05305,O43915,P46940,Q92736,Q9Y2K6,P08559,P04899,P08697,P33316,P34130,A7KAX9,Q13618,Q00978,P27986,P29474,P15559,P46459,P53420
P02708,P68402,Q07666,P14210,Q15109,O15399,Q01726,O60427,O00253,O43318,P51553,P42338,Q14185,Q58WW2,P01570,Q4G0N4,P56524,P80075,O60296,Q9BY84
B1AH88,P05181,Q9HAV0,Q99538,P46531,O75052,Q02846,D3DTV9,P51681,P19438,P52564,P42685,Q9Y6H6,O94992,Q16787,O15530,P51843,Q99616,O43307,Q9UBB5
Q92823,P43034,Q15761,A6NDL7,P10636,Q12879,P59768,P56704,Q9NYV7,P21580,Q15147,O15264,Q99523,P49427,Q496J9,P31751,Q969S8,P19875,Q9NQX3,Q92922
Q9Y5Y9,P30837,Q96G91,Q9NYK1,P21579,Q14957,P16066,P11473,Q15391,P05106,P43351,Q9NRY4,P23510,Q8IUQ4,P01566,Q13467,Q04206,Q99731,P78334,Q92769
O95264,P14060,P51810,P09619,P37840,Q06432,Q9BY32,Q15796,P41146,P12838,O75874,A8MUP2,P52566,P22681,P45452,Q8IZL8,P31689,P22301,O00429,Q16539
P45880,P52272,P63215,P01909,P00480,Q02297,Q08828,P55055,Q9NSD7,Q12933,P00390,P05362,P53365,P07992,P17181,Q9Y243,Q16576,P38435,O00591,P14778
Q05901,P28845,P34947,Q9Y5K6,Q9H598,P05129,P40145,P20823,Q9NPC1,P40197,P48637,P06241,O75426,Q969H0,P52630,O14638,Q02790,Q14765,P48169,P04792
P43681,P09651,P20366,P42336,Q9Y287,Q8TCU5,Q14432,O43294,Q9Y2T6,A0A2Z4LIS9,P63096,P07947,Q14254,Q15843,P05013,Q10588,G2XKQ0,Q07325,P28476,P51531
O95749,Q8NF37,P20309,Q8NFZ5,P42224,Q9Y566,P50406,P15090,Q16581,P00742,Q8IWQ3,Q05655,P43489,O60858,P40259,Q9BQG2,P03372,O00585,P47869,Q9Y6W6
P35498,P21397,Q9UBI6,P07988,P00966,P42261,Q07343,P54868,Q9Y5N1,P03951,A8MTZ0,Q13882,P28329,Q13216,Q13951,P06213,Q04912,P02778,Q96NY7,Q05516
Q12772,O14832,O14775,P01019,P0DPK3,Q05586,P51828,P29803,O43613,P30411,O15315,P12314,O75581,Q92466,P63244,Q08050,P38936,P02775,Q8N1C3,A1A5B4
Q9H254,P54619,P30679,P16284,P25815,P24588,O43194,P10276,P48145,P05107,Q8IZP0,P08637,P35968,Q8TEL6,P98160,P49840,E9PB15,P48061,P47870,P29466
Q01484,Q16647,P28335,P16333,Q9UM47,P13591,P16473,Q13363,P30874,P06756,Q9NYB9,Q92608,Q99962,Q92905,Q7L1I2,P28907,O95757,P51671,O14764,Q99836
O76062,P05177,Q9UBY5,O60911,Q96L46,Q9C0E4,Q02108,Q13485,P21554,P01034,O14732,Q6S5L8,Q99819,Q9NYG5,P01563,P13807,P07900,P78556,Q9Y639,O75319
Q15825,O75494,O14842,P10767,P06703,O43166,P47872,P10828,P28222,P08514,P35558,O60880,P60763,O60260,P01574,P56945,P11142,P78423,P18507,Q9UIG0
Q9Y2T4,Q16613,Q9HC23,P19235,P55212,O00555,O76074,P11177,P51582,P21333,P61328,P01730,O14786,Q9H9Q2,P32881,Q92837,Q14814,P80098,P24046,Q01955
O94856,P20813,Q00722,P04440,P08473,P58400,P30793,Q04724,P35346,O15519,Q8IW41,Q9UHL4,Q16853,P63208,Q96RD7,Q9HAN9,Q8TDD1,O15467,O95833,P51532
Q04844,P47712,Q969F8,O75309,Q01959,O00305,P01270,P14923,P59535,O00220,O43313,P99999,O75962,Q15370,P38484,Q9HB71,Q92731,O00519,P18505,P02462
Q14980,P14555,P01148,Q9HCT0,Q14831,Q9UQM7,P61952,P49711,P01210,P10747,Q13496,P29597,Q9UKW4,Q13309,O14543,P49841,Q96DB2,O14625,Q16445,Q13111
Q15822,O95050,Q9UBL9,Q15389,P14416,Q00975,P54819,Q96IF1,P32745,P07093,P05023,O60500,Q9Y5V3,Q66K64,P50281,P08069,P25490,P10145,Q99928,P29400
Q9NZ45,Q9UGI6,P30968,P42229,Q86UR5,Q9NSC5,P01286,P84022,P01213,P01033,P07814,P12318,P55085,Q5TAQ9,Q14055,O14641,Q9UQL6,Q8NHW4,P31644,O95256
Q9NY72,P22626,P25090,P52797,Q05940,P57796,P22888,P19793,Q13519,Q15653,Q13424,Q9UQC2,P17174,P23025,P39060,O95544,P25685,Q8IU99,P28472,Q15759
Q9UI33,P51857,Q9Y5Y3,P01911,Q99584,Q86YM7,Q08499,P04234,P08172,P80188,P27348,P49023,O95279,Q16531,Q9Y4B6,Q9Y2T1,Q13547,O00175,P34903,P15336
P62805,P30838,P08949,Q9UBW7,Q9P2U7,O14827,P27144,Q03181,P19086,P26010,P51178,Q9HBH7,O60928,O60885,P05014,P22413,Q9Y618,P13236,Q9H0R8,P19838
Q13907,P54646,P49407,P22102,O14994,Q01668,P33402,Q13133,P18825,P16144,P19440,P15391,P20339,P15170,Q13751,P29353,Q09028,P13501,A8MPY1,Q14031
Q99250,P05091,P25100,Q13009,P20336,Q7Z3S7,P01275,Q92793,Q9BPV8,P05546,O60760,P20963,P52565,P62877,P48551,O75474,Q8WUI4,P41597,P60520,Q86YP4
P02549,P10635,P41594,Q8N5V2,P05937,Q13554,P41968,O00330,P21453,Q07021,P54707,O60496,A8K0Z3,Q86VP6,Q16363,Q15172,Q92830,Q8N0U8,Q9UMX0,P01583
Q01581,P10632,P32238,Q15768,O00198,O60840,P50151,P49715,P28566,P35237,Q9NRX4,O60716,Q8N9F0,P61201,P01571,P43490,Q01664,,P51788,Q96P20
P30305,P31943,Q86VW2,P19174,Q13564,Q96DT0,O95622,P10515,P47898,Q04759,O14672,Q15303,Q9Y5Z0,Q969U6,P11912,Q13418,P04150,,O95166,Q99956
Q5BJF2,Q5VU43,P29992,P31371,P34810,Q13557,O14804,P09622,P41145,P00750,P80404,P42574,P35790,Q00987,Q13753,O00459,P15056,,Q9UN88,Q9Y5B9
