Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,6,"A(1) A(2) D(4) D(5) H(6) R(9)",0.9401,0.9990,0.7124,2.6516,no
mol_2,1,6,"A(1) A(2) D(4) D(5) H(6) R(9)",0.8324,0.9918,0.6762,2.5004,no
mol_3,1,6,"A(1) A(2) D(4) D(5) H(6) R(9)",0.9929,1.0000,0.9642,2.9570,no
mol_4,1,6,"A(1) A(2) D(5) D(7) H(8) R(10)",0.8312,0.9917,0.6452,2.4681,no
mol_5,1,6,"A(1) A(2) D(5) D(6) H(7) R(9)",1.0000,1.0000,1.0000,3.0000,yes
mol_6,1,6,"A(1) A(2) D(7) D(8) H(9) R(11)",0.4582,0.6777,0.4664,1.6022,no
mol_7,1,6,"A(1) A(2) D(6) D(7) H(8) R(11)",0.4699,0.6813,0.4433,1.5945,no
mol_8,1,6,"A(1) A(2) D(4) D(5) H(6) R(9)",0.8726,0.9981,0.9131,2.7838,no
mol_9,1,6,"A(1) A(2) D(7) D(8) H(9) R(11)",0.4807,0.6850,0.4801,1.6458,no
mol_10,1,6,"A(1) A(2) D(6) D(7) H(8) R(10)",0.8880,0.9991,0.9375,2.8246,no
mol_11,1,6,"A(1) A(2) D(5) D(8) H(9) R(12)",0.8612,0.9945,0.6755,2.5312,no
mol_12,1,6,"A(1) A(2) D(4) D(5) H(6) R(9)",0.9172,0.9979,0.9279,2.8431,no
mol_13,1,6,"A(1) A(2) D(5) D(7) H(9) R(11)",0.3424,0.5712,0.4548,1.3684,no
mol_14,1,6,"A(1) A(2) D(4) D(5) H(6) R(8)",0.8845,0.9989,0.9443,2.8278,no
mol_15,1,6,"A(1) A(2) D(4) D(5) H(6) R(9)",0.9699,0.9998,0.8230,2.7926,no
mol_16,1,6,"A(1) A(3) D(7) D(8) H(10) R(11)",0.0673,0.9260,0.5228,1.5162,no
mol_17,1,6,"A(1) A(2) D(5) D(8) H(10) R(12)",0.9692,0.9997,0.8245,2.7934,no
mol_18,1,6,"A(1) A(2) D(4) D(5) H(6) R(8)",0.8359,0.9922,0.8090,2.6371,no
mol_19,1,6,"A(1) A(2) D(4) D(5) H(6) R(11)",0.8429,0.9927,0.6441,2.4796,no
