Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,6,"A(1) D(4) D(5) H(6) R(9) R(10)",0.9428,0.9992,0.7142,2.6562,no
mol_2,1,6,"A(1) D(4) D(5) H(6) R(9) R(10)",0.8350,0.9922,0.6799,2.5072,no
mol_3,1,6,"A(1) D(4) D(5) H(6) R(9) R(10)",0.9941,1.0000,0.9644,2.9584,no
mol_4,1,6,"A(1) D(5) D(7) H(8) R(10) R(11)",0.8362,0.9923,0.6498,2.4783,no
mol_5,1,6,"A(1) D(5) D(6) H(7) R(9) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_6,1,6,"A(1) D(7) D(8) H(9) R(11) R(12)",0.4608,0.6787,0.4655,1.6050,no
mol_7,1,6,"A(1) D(6) D(7) H(8) R(11) R(12)",0.4726,0.6822,0.4422,1.5970,no
mol_8,1,6,"A(1) D(4) D(5) H(6) R(9) R(10)",0.8738,0.9982,0.9150,2.7870,no
mol_9,1,6,"A(1) D(7) D(8) H(9) R(11) R(12)",0.4835,0.6860,0.4784,1.6479,no
mol_10,1,6,"A(1) D(6) D(7) H(8) R(10) R(11)",0.8886,0.9992,0.9378,2.8256,no
mol_11,1,6,"A(1) D(5) D(8) H(9) R(12) R(13)",0.8650,0.9948,0.6794,2.5393,no
mol_12,1,6,"A(1) D(4) D(5) H(6) R(9) R(10)",0.9208,0.9980,0.9248,2.8436,no
mol_14,1,6,"A(1) D(4) D(5) H(6) R(8) R(9)",0.8853,0.9990,0.9452,2.8295,no
mol_15,1,6,"A(1) D(4) D(5) H(6) R(9) R(10)",0.9703,0.9998,0.8232,2.7932,no
mol_17,1,6,"A(1) D(5) D(8) H(10) R(12) R(13)",0.9696,0.9997,0.8251,2.7943,no
mol_18,1,6,"A(1) D(4) D(5) H(6) R(8) R(9)",0.8400,0.9927,0.8143,2.6469,no
mol_19,1,6,"A(1) D(4) D(5) H(6) R(11) R(12)",0.8447,0.9930,0.6473,2.4850,no
