Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,5,"A(1) D(4) D(5) H(6) R(10)",0.9377,0.9996,0.7145,2.6518,no
mol_2,1,5,"A(1) D(4) D(5) H(6) R(10)",0.8194,0.9959,0.6803,2.4956,no
mol_3,1,5,"A(1) D(4) D(5) H(6) R(10)",0.9936,1.0000,0.9643,2.9578,no
mol_4,1,5,"A(1) D(5) D(7) H(8) R(11)",0.8209,0.9959,0.6504,2.4671,no
mol_5,1,5,"A(1) D(5) D(6) H(7) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_6,1,5,"A(1) D(7) D(8) H(9) R(12)",0.4206,0.6040,0.4598,1.4843,no
mol_7,1,5,"A(1) D(6) D(7) H(8) R(12)",0.4336,0.6063,0.4366,1.4765,no
mol_8,1,5,"A(1) D(4) D(5) H(6) R(10)",0.8639,0.9988,0.9154,2.7781,no
mol_9,1,5,"A(1) D(7) D(8) H(9) R(12)",0.4457,0.6086,0.4718,1.5262,no
mol_10,1,5,"A(1) D(6) D(7) H(8) R(11)",0.8805,0.9993,0.9377,2.8175,no
mol_11,1,5,"A(1) D(5) D(8) H(9) R(13)",0.8524,0.9973,0.6799,2.5295,no
mol_12,1,5,"A(1) D(4) D(5) H(6) R(10)",0.9136,0.9988,0.9249,2.8372,no
mol_14,1,5,"A(1) D(4) D(5) H(6) R(9)",0.8767,0.9992,0.9450,2.8210,no
mol_15,1,5,"A(1) D(4) D(5) H(6) R(10)",0.9676,0.9999,0.8233,2.7908,no
mol_17,1,5,"A(1) D(5) D(8) H(10) R(13)",0.9667,0.9998,0.8251,2.7916,no
mol_18,1,5,"A(1) D(4) D(5) H(6) R(9)",0.8250,0.9962,0.8150,2.6362,no
mol_19,1,5,"A(1) D(4) D(5) H(6) R(12)",0.8300,0.9963,0.6476,2.4739,no
