Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,6,"D(4) D(5) H(6) R(9) R(10) R(11)",0.9369,0.9988,0.7163,2.6521,no
mol_2,1,6,"D(4) D(5) H(6) R(9) R(10) R(11)",0.8100,0.9901,0.6883,2.4883,no
mol_3,1,6,"D(4) D(5) H(6) R(9) R(10) R(11)",0.9936,1.0000,0.9643,2.9578,no
mol_4,1,6,"D(5) D(7) H(8) R(10) R(11) R(12)",0.8130,0.9899,0.6575,2.4604,no
mol_5,1,6,"D(5) D(6) H(7) R(9) R(10) R(11)",1.0000,1.0000,1.0000,3.0000,yes
mol_6,1,6,"D(7) D(8) H(9) R(11) R(12) R(13)",0.4519,0.6785,0.4694,1.5999,no
mol_7,1,6,"D(6) D(7) H(8) R(11) R(12) R(13)",0.4670,0.6828,0.4447,1.5945,no
mol_8,1,6,"D(4) D(5) H(6) R(9) R(10) R(11)",0.8678,0.9978,0.9197,2.7854,no
mol_9,1,6,"D(7) D(8) H(9) R(11) R(12) R(13)",0.4819,0.6872,0.4796,1.6487,no
mol_10,1,6,"D(6) D(7) H(8) R(10) R(11) R(12)",0.8867,0.9990,0.9393,2.8250,no
mol_11,1,6,"D(5) D(8) H(9) R(12) R(13) R(14)",0.8460,0.9932,0.6869,2.5261,no
mol_12,1,6,"D(4) D(5) H(6) R(9) R(10) R(11)",0.9113,0.9974,0.9193,2.8281,no
mol_14,1,6,"D(4) D(5) H(6) R(8) R(9) R(10)",0.8824,0.9989,0.9490,2.8303,no
mol_15,1,6,"D(4) D(5) H(6) R(9) R(10) R(11)",0.9668,0.9997,0.8237,2.7902,no
mol_17,1,6,"D(5) D(8) H(10) R(12) R(13) R(14)",0.9646,0.9996,0.8270,2.7912,no
mol_18,1,6,"D(4) D(5) H(6) R(8) R(9) R(10)",0.8172,0.9904,0.8246,2.6323,no
mol_19,1,6,"D(4) D(5) H(6) R(11) R(12) R(13)",0.8200,0.9911,0.6550,2.4661,no
