Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,5,"D(4) D(5) H(6) R(10) R(11)",0.9313,0.9991,0.7166,2.6470,no
mol_2,1,5,"D(4) D(5) H(6) R(10) R(11)",0.7924,0.9920,0.6891,2.4735,no
mol_3,1,5,"D(4) D(5) H(6) R(10) R(11)",0.9930,1.0000,0.9643,2.9572,no
mol_4,1,5,"D(5) D(7) H(8) R(11) R(12)",0.7959,0.9918,0.6583,2.4460,no
mol_5,1,5,"D(5) D(6) H(7) R(10) R(11)",1.0000,1.0000,1.0000,3.0000,yes
mol_6,1,5,"D(7) D(8) H(9) R(12) R(13)",0.4107,0.6029,0.4640,1.4776,no
mol_7,1,5,"D(6) D(7) H(8) R(12) R(13)",0.4273,0.6065,0.4394,1.4732,no
mol_8,1,5,"D(4) D(5) H(6) R(10) R(11)",0.8576,0.9981,0.9202,2.7759,no
mol_9,1,5,"D(7) D(8) H(9) R(12) R(13)",0.4437,0.6102,0.4732,1.5270,no
mol_10,1,5,"D(6) D(7) H(8) R(11) R(12)",0.8786,0.9991,0.9390,2.8167,no
mol_11,1,5,"D(5) D(8) H(9) R(13) R(14)",0.8319,0.9945,0.6875,2.5140,no
mol_12,1,5,"D(4) D(5) H(6) R(10) R(11)",0.9034,0.9978,0.9196,2.8208,no
mol_14,1,5,"D(4) D(5) H(6) R(9) R(10)",0.8737,0.9990,0.9489,2.8216,no
mol_15,1,5,"D(4) D(5) H(6) R(10) R(11)",0.9638,0.9998,0.8238,2.7874,no
mol_17,1,5,"D(5) D(8) H(10) R(13) R(14)",0.9613,0.9997,0.8271,2.7881,no
mol_18,1,5,"D(4) D(5) H(6) R(9) R(10)",0.8005,0.9923,0.8257,2.6185,no
mol_19,1,5,"D(4) D(5) H(6) R(12) R(13)",0.8032,0.9929,0.6557,2.4518,no
