Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,5,"D(4) D(5) R(9) R(10) R(11)",0.9660,0.9997,0.7211,2.6869,no
mol_2,1,5,"D(4) D(5) R(9) R(10) R(11)",0.9046,0.9958,0.7097,2.6101,no
mol_3,1,5,"D(4) D(5) R(9) R(10) R(11)",0.9439,0.9992,0.9367,2.8798,no
mol_4,1,5,"D(5) D(7) R(10) R(11) R(12)",0.9129,0.9951,0.6800,2.5881,no
mol_5,1,5,"D(5) D(6) R(9) R(10) R(11)",0.9496,0.9992,0.9613,2.9101,no
mol_6,1,5,"D(7) D(8) R(11) R(12) R(13)",0.4489,0.6888,0.4480,1.5856,no
mol_7,1,5,"D(6) D(7) R(11) R(12) R(13)",0.4615,0.6927,0.4262,1.5803,no
mol_8,1,5,"D(4) D(5) R(9) R(10) R(11)",0.9833,0.9998,0.9652,2.9483,no
mol_9,1,5,"D(7) D(8) R(11) R(12) R(13)",0.4751,0.6969,0.4621,1.6341,no
mol_10,1,5,"D(6) D(7) R(10) R(11) R(12)",0.9915,0.9999,0.9720,2.9634,no
mol_11,1,5,"D(5) D(8) R(12) R(13) R(14)",0.9310,0.9972,0.7094,2.6376,no
mol_12,1,5,"D(4) D(5) R(9) R(10) R(11)",0.9042,0.9945,0.8761,2.7747,no
mol_13,1,5,"D(5) D(7) R(11) R(12) R(13)",0.0201,0.8630,0.3713,1.2543,no
mol_14,1,5,"D(4) D(5) R(8) R(9) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_15,1,5,"D(4) D(5) R(9) R(10) R(11)",0.9304,0.9983,0.7988,2.7274,no
mol_17,1,5,"D(5) D(8) R(12) R(13) R(14)",0.9648,0.9998,0.8277,2.7923,no
mol_18,1,5,"D(4) D(5) R(8) R(9) R(10)",0.9145,0.9957,0.8522,2.7624,no
mol_19,1,5,"D(4) D(5) R(11) R(12) R(13)",0.9082,0.9965,0.6728,2.5775,no
mol_20,1,5,"D(4) D(5) R(7) R(8) R(9)",0.9216,0.9978,0.7414,2.6608,no
