Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"D(4) H(6) R(10) R(11)",0.9770,0.9980,0.6922,2.6672,no
mol_2,1,4,"D(4) H(6) R(10) R(11)",0.9422,0.9837,0.6471,2.5729,no
mol_3,1,4,"D(4) H(6) R(10) R(11)",1.0000,1.0000,1.0000,3.0000,yes
mol_4,1,4,"D(5) H(8) R(11) R(12)",0.9338,0.9830,0.6190,2.5359,no
mol_5,1,4,"D(5) H(7) R(10) R(11)",0.9953,1.0000,0.9648,2.9600,no
mol_6,1,4,"D(7) H(9) R(12) R(13)",0.4201,0.4761,0.4283,1.3245,no
mol_7,1,4,"D(6) H(8) R(12) R(13)",0.4179,0.4816,0.4106,1.3101,no
mol_8,1,4,"D(4) H(6) R(10) R(11)",0.8874,0.9961,0.9279,2.8114,no
mol_9,1,4,"D(7) H(9) R(12) R(13)",0.4113,0.4869,0.4475,1.3457,no
mol_10,1,4,"D(6) H(8) R(11) R(12)",0.8874,0.9981,0.9285,2.8140,no
mol_11,1,4,"D(5) H(9) R(13) R(14)",0.9473,0.9885,0.6621,2.5978,no
mol_12,1,4,"D(4) H(6) R(10) R(11)",0.9574,0.9952,0.9202,2.8728,no
mol_13,1,4,"D(5) H(8) R(12) R(11)",0.4256,0.9003,0.4694,1.7953,no
mol_14,1,4,"D(4) H(6) R(9) R(10)",0.8878,0.9979,0.9303,2.8160,no
mol_15,1,4,"D(4) H(6) R(10) R(11)",0.9850,0.9995,0.7899,2.7744,no
mol_16,1,4,"D(7) H(9) R(12) R(11)",0.3524,0.9847,0.5537,1.8908,no
mol_17,1,4,"D(5) H(10) R(13) R(14)",0.9900,0.9993,0.8697,2.8590,no
mol_18,1,4,"D(4) H(6) R(9) R(10)",0.9375,0.9839,0.7756,2.6970,no
mol_19,1,4,"D(4) H(6) R(12) R(13)",0.9489,0.9853,0.6184,2.5526,no
