Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"D(5) H(6) R(10)",0.9996,0.9996,0.6982,2.6975,no
mol_2,1,3,"D(5) H(6) R(10)",0.9995,0.9959,0.6327,2.6281,no
mol_3,1,3,"D(5) H(6) R(10)",0.9992,1.0000,0.9618,2.9610,no
mol_4,1,3,"D(7) H(8) R(11)",0.9984,0.9961,0.5987,2.5932,no
mol_5,1,3,"D(6) H(7) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_6,1,3,"D(8) H(9) R(12)",0.9875,0.9967,0.5031,2.4874,no
mol_7,1,3,"D(7) H(8) R(12)",0.9942,0.9980,0.4871,2.4793,no
mol_8,1,3,"D(5) H(6) R(10)",0.8910,0.9989,0.8821,2.7720,no
mol_9,1,3,"D(8) H(9) R(12)",0.9984,0.9993,0.5442,2.5419,no
mol_10,1,3,"D(7) H(8) R(11)",0.8969,0.9996,0.9208,2.8172,no
mol_11,1,3,"D(8) H(9) R(13)",0.9958,0.9974,0.6381,2.6313,no
mol_12,1,3,"D(5) H(6) R(10)",0.9921,0.9992,0.9116,2.9028,no
mol_13,1,3,"D(7) H(8) R(12)",0.6430,0.8065,0.2952,1.7447,no
mol_14,1,3,"D(5) H(6) R(9)",0.8914,0.9993,0.9254,2.8162,no
mol_15,1,3,"D(5) H(6) R(10)",0.9993,0.9999,0.8176,2.8168,no
mol_16,1,3,"D(8) H(9) R(12)",0.6853,0.7863,0.3107,1.7823,no
mol_17,1,3,"D(8) H(10) R(13)",0.9995,0.9998,0.8172,2.8166,no
mol_18,1,3,"D(5) H(6) R(9)",0.9990,0.9964,0.7508,2.7462,no
mol_19,1,3,"D(5) H(6) R(12)",0.9977,0.9963,0.6088,2.6028,no
