Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,5,"A(3) A(2) D(4) D(5) R(9)",0.5918,0.8454,0.3689,1.8062,no
mol_3,1,5,"A(1) A(3) D(5) D(6) R(10)",0.6447,0.8542,0.4186,1.9175,no
mol_4,1,5,"A(1) A(3) D(5) D(6) R(10)",0.6419,0.8534,0.4954,1.9908,no
mol_5,1,5,"A(2) A(4) D(6) D(7) R(10)",0.6405,0.8531,0.4918,1.9854,no
mol_6,1,5,"A(1) A(3) D(5) D(6) R(10)",0.6390,0.8537,0.4363,1.9289,no
mol_8,1,5,"A(1) A(3) D(6) D(7) R(11)",0.6434,0.8539,0.4707,1.9680,no
mol_10,1,5,"A(1) A(3) D(5) D(6) R(10)",0.6438,0.8543,0.4988,1.9969,no
mol_11,1,5,"A(1) A(3) D(5) D(6) R(10)",0.6407,0.8531,0.4955,1.9894,no
mol_12,1,5,"A(2) A(4) D(6) D(7) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_13,1,5,"A(1) A(3) D(7) D(8) R(13)",0.6486,0.8550,0.5013,2.0049,no
mol_14,1,5,"A(1) A(3) D(5) D(6) R(11)",0.6368,0.8525,0.4858,1.9751,no
mol_15,1,5,"A(1) A(3) D(5) D(6) R(11)",0.6487,0.8550,0.4877,1.9915,no
mol_16,1,5,"A(1) A(3) D(6) D(7) R(11)",0.6391,0.8541,0.4560,1.9491,no
mol_17,1,5,"A(1) A(3) D(5) D(6) R(9)",0.6411,0.8533,0.4897,1.9841,no
mol_18,1,5,"A(1) A(3) D(7) D(8) R(13)",0.6462,0.8549,0.4806,1.9817,no
mol_19,1,5,"A(1) A(3) D(5) D(6) R(10)",0.6437,0.8542,0.5012,1.9990,no
