Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,5,"A(2) D(4) D(5) R(8) R(9)",0.5940,0.8485,0.3687,1.8112,no
mol_3,1,5,"A(3) D(5) D(6) R(9) R(10)",0.6478,0.8579,0.4154,1.9212,no
mol_4,1,5,"A(3) D(5) D(6) R(9) R(10)",0.6451,0.8571,0.4910,1.9932,no
mol_5,1,5,"A(4) D(6) D(7) R(9) R(10)",0.6437,0.8568,0.4890,1.9895,no
mol_6,1,5,"A(3) D(5) D(6) R(9) R(10)",0.6422,0.8574,0.4327,1.9323,no
mol_8,1,5,"A(3) D(6) D(7) R(10) R(11)",0.6466,0.8576,0.4686,1.9728,no
mol_10,1,5,"A(3) D(5) D(6) R(9) R(10)",0.6470,0.8580,0.4956,2.0005,no
mol_11,1,5,"A(3) D(5) D(6) R(9) R(10)",0.6440,0.8569,0.4910,1.9918,no
mol_12,1,5,"A(4) D(6) D(7) R(9) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_13,1,5,"A(3) D(7) D(8) R(12) R(13)",0.6518,0.8587,0.4977,2.0082,no
mol_14,1,5,"A(3) D(5) D(6) R(10) R(11)",0.6401,0.8562,0.4810,1.9773,no
mol_15,1,5,"A(3) D(5) D(6) R(10) R(11)",0.6519,0.8587,0.4840,1.9946,no
mol_16,1,5,"A(3) D(6) D(7) R(10) R(11)",0.6422,0.8578,0.4534,1.9534,no
mol_17,1,5,"A(3) D(5) D(6) R(8) R(9)",0.6443,0.8570,0.4858,1.9872,no
mol_18,1,5,"A(3) D(7) D(8) R(12) R(13)",0.6494,0.8586,0.4778,1.9858,no
mol_19,1,5,"A(3) D(5) D(6) R(9) R(10)",0.6468,0.8579,0.4979,2.0026,no
