Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(2) D(4) D(5) R(9)",0.9247,0.9963,0.7137,2.6348,no
mol_3,1,4,"A(3) D(5) D(6) R(10)",0.9960,0.9994,0.8380,2.8334,no
mol_4,1,4,"A(3) D(5) D(6) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_5,1,4,"A(4) D(6) D(7) R(10)",0.9981,1.0000,0.9460,2.9441,no
mol_6,1,4,"A(3) D(5) D(6) R(10)",0.9774,0.9983,0.7804,2.7562,no
mol_8,1,4,"A(3) D(6) D(7) R(11)",0.9965,0.9984,0.8404,2.8353,no
mol_10,1,4,"A(3) D(5) D(6) R(10)",0.9938,0.9994,0.9229,2.9161,no
mol_11,1,4,"A(3) D(5) D(6) R(10)",0.9986,1.0000,0.9945,2.9931,no
mol_12,1,4,"A(4) D(6) D(7) R(10)",0.6044,0.8211,0.4907,1.9161,no
mol_13,1,4,"A(3) D(7) D(8) R(13)",0.9907,0.9988,0.8851,2.8746,no
mol_14,1,4,"A(3) D(5) D(6) R(11)",0.9936,1.0000,0.9598,2.9533,no
mol_15,1,4,"A(3) D(5) D(6) R(11)",0.9920,0.9996,0.6677,2.6593,no
mol_16,1,4,"A(3) D(6) D(7) R(11)",0.9852,0.9990,0.7649,2.7490,no
mol_17,1,4,"A(3) D(5) D(6) R(9)",0.9989,1.0000,0.9846,2.9835,no
mol_18,1,4,"A(3) D(7) D(8) R(13)",0.9911,0.9985,0.8415,2.8312,no
mol_19,1,4,"A(3) D(5) D(6) R(10)",0.9939,0.9995,0.9261,2.9195,no
