Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"D(4) D(5) R(8) R(9)",0.9430,0.9971,0.7151,2.6552,no
mol_3,1,4,"D(5) D(6) R(9) R(10)",0.9917,0.9994,0.8630,2.8541,no
mol_4,1,4,"D(5) D(6) R(9) R(10)",0.9994,1.0000,0.9846,2.9840,no
mol_5,1,4,"D(6) D(7) R(9) R(10)",0.9997,1.0000,0.9573,2.9570,no
mol_6,1,4,"D(5) D(6) R(9) R(10)",0.9918,0.9995,0.8067,2.7980,no
mol_8,1,4,"D(6) D(7) R(10) R(11)",0.9856,0.9984,0.8500,2.8340,no
mol_10,1,4,"D(5) D(6) R(9) R(10)",0.9929,0.9996,0.9373,2.9298,no
mol_11,1,4,"D(5) D(6) R(9) R(10)",0.9996,1.0000,0.9838,2.9835,no
mol_12,1,4,"D(6) D(7) R(9) R(10)",0.9936,0.9996,0.6665,2.6598,no
mol_13,1,4,"D(7) D(8) R(12) R(13)",0.9876,0.9989,0.8641,2.8506,no
mol_14,1,4,"D(5) D(6) R(10) R(11)",0.9969,1.0000,0.9291,2.9260,no
mol_15,1,4,"D(5) D(6) R(10) R(11)",0.9926,0.9996,0.6717,2.6638,no
mol_16,1,4,"D(6) D(7) R(10) R(11)",0.9980,1.0000,0.7824,2.7804,no
mol_17,1,4,"D(5) D(6) R(8) R(9)",1.0000,1.0000,1.0000,3.0000,yes
mol_18,1,4,"D(7) D(8) R(12) R(13)",0.9885,0.9990,0.8513,2.8388,no
mol_19,1,4,"D(5) D(6) R(9) R(10)",0.9940,0.9997,0.9398,2.9335,no
