Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"D(4) D(5) R(9)",0.9394,0.9961,0.7139,2.6495,no
mol_3,1,3,"D(5) D(6) R(10)",0.9980,0.9992,0.8626,2.8598,no
mol_4,1,3,"D(5) D(6) R(10)",0.9994,1.0000,0.9845,2.9839,no
mol_5,1,3,"D(6) D(7) R(10)",0.9997,1.0000,0.9573,2.9570,no
mol_6,1,3,"D(5) D(6) R(10)",0.9976,0.9994,0.8063,2.8033,no
mol_8,1,3,"D(6) D(7) R(11)",0.9997,0.9979,0.8498,2.8474,no
mol_10,1,3,"D(5) D(6) R(10)",0.9995,0.9995,0.9371,2.9360,no
mol_11,1,3,"D(5) D(6) R(10)",0.9996,1.0000,0.9838,2.9834,no
mol_12,1,3,"D(6) D(7) R(10)",0.9996,0.9995,0.6658,2.6650,no
mol_13,1,3,"D(7) D(8) R(13)",0.9966,0.9986,0.8636,2.8588,no
mol_14,1,3,"D(5) D(6) R(11)",0.9969,1.0000,0.9290,2.9259,no
mol_15,1,3,"D(5) D(6) R(11)",0.9965,0.9994,0.6708,2.6667,no
mol_16,1,3,"D(6) D(7) R(11)",0.9980,1.0000,0.7823,2.7803,no
mol_17,1,3,"D(5) D(6) R(9)",1.0000,1.0000,1.0000,3.0000,yes
mol_18,1,3,"D(7) D(8) R(13)",0.9988,0.9987,0.8509,2.8484,no
mol_19,1,3,"D(5) D(6) R(10)",0.9993,0.9997,0.9396,2.9386,no
