HypoID,Survival,Site,Vector,Volume,Select,Matches,Inactive,Adjusted,BEDROC,RefLig
DRRR_1,5.1164,0.9891,0.9997,0.6583,1.3232,14,0.0000,5.1164,1.0000,mol_1
ADRR_1,4.9468,0.9885,0.9997,0.6585,1.1541,14,0.0000,4.9468,1.0000,mol_1
ADRR_2,4.8559,0.9169,0.9488,0.6097,1.2344,14,0.0000,4.8559,1.0000,mol_1
AADR_1,4.6741,0.9109,0.9463,0.6098,1.0610,14,0.0000,4.6741,1.0000,mol_1
DRR_1,4.7964,0.9936,0.9996,0.6574,0.9997,14,0.0000,4.7964,1.0000,mol_1
DRR_2,4.7946,0.9890,0.9978,0.6714,0.9904,14,0.0000,4.7946,1.0000,mol_3
DRR_3,4.7551,0.9998,1.0000,0.6645,0.9447,14,0.0000,4.7551,1.0000,mol_1
RRR_1,4.7361,0.9914,0.9996,0.6570,0.9420,14,0.0000,4.7361,1.0000,mol_1
ARR_1,4.7066,0.9887,0.9996,0.6577,0.9145,14,0.0000,4.7066,1.0000,mol_1
ADR_1,4.6685,0.9587,0.9230,0.7165,0.9241,14,0.0000,4.6685,1.0000,mol_3
ADR_2,4.6330,0.9940,0.9996,0.6572,0.8361,14,0.0000,4.6330,1.0000,mol_1
ADR_3,4.6080,0.9998,1.0000,0.6645,0.7976,14,0.0000,4.6080,1.0000,mol_1
ADR_4,4.5564,0.9494,0.9318,0.6038,0.9253,14,0.0000,4.5564,1.0000,mol_1
ARR_2,4.5291,0.9327,0.9388,0.6063,0.9052,14,0.0000,4.5291,1.0000,mol_1
