Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(1) D(3) D(4) R(10)",0.9911,1.0000,0.8196,2.8107,no
mol_2,1,4,"A(1) D(4) D(5) R(11)",0.9835,0.9999,0.4908,2.4742,no
mol_3,1,4,"A(2) D(3) D(4) R(8)",0.6144,0.6332,0.2220,1.4696,no
mol_4,1,4,"A(1) D(3) D(4) R(10)",0.9749,0.9994,0.3576,2.3319,no
mol_5,1,4,"A(1) D(4) D(5) R(10)",0.9729,0.9992,0.3449,2.3170,no
mol_6,1,4,"A(2) D(3) D(4) R(7)",0.6164,0.6342,0.2266,1.4773,no
mol_7,1,4,"A(1) D(3) D(4) R(9)",0.6155,0.6331,0.2158,1.4645,no
mol_8,1,4,"A(1) D(3) D(4) R(9)",0.9889,1.0000,0.4162,2.4051,no
mol_9,1,4,"A(1) D(2) D(3) R(9)",0.6138,0.6315,0.2242,1.4695,no
mol_10,1,4,"A(1) D(2) D(3) R(8)",0.9972,1.0000,0.8877,2.8849,no
mol_11,1,4,"A(1) D(3) D(4) R(10)",0.9986,1.0000,0.9059,2.9044,no
mol_12,1,4,"A(1) D(2) D(3) R(9)",0.9918,1.0000,0.8286,2.8204,no
mol_13,1,4,"A(1) D(3) D(4) R(10)",0.9797,0.9997,0.3577,2.3371,no
mol_14,1,4,"A(1) D(2) D(3) R(9)",0.9730,0.9994,0.3561,2.3284,no
mol_15,1,4,"A(1) D(2) D(3) R(9)",0.9904,0.9999,0.8198,2.8101,no
mol_16,1,4,"A(1) D(3) D(4) R(10)",0.9951,1.0000,0.8913,2.8864,no
mol_17,1,4,"A(1) D(2) D(3) R(10)",0.6147,0.6330,0.2223,1.4700,no
mol_18,1,4,"A(1) D(2) D(3) R(10)",0.9618,0.9991,0.3336,2.2945,no
mol_19,1,4,"A(1) D(5) D(6) R(11)",0.9825,0.9998,0.5367,2.5189,no
mol_20,1,4,"A(1) D(2) D(3) R(9)",0.6148,0.6329,0.2130,1.4607,no
mol_21,1,4,"A(1) D(2) D(3) R(9)",0.9833,0.9998,0.5035,2.4866,no
mol_22,1,4,"A(1) D(2) D(3) R(9)",0.9773,0.9995,0.3726,2.3493,no
mol_23,1,4,"A(1) D(3) D(4) R(9)",0.9676,0.9993,0.3133,2.2802,no
mol_24,1,4,"A(1) D(2) D(3) R(9)",0.6148,0.6330,0.2178,1.4656,no
mol_25,1,4,"A(1) D(2) D(3) R(10)",0.6147,0.6331,0.2223,1.4701,no
mol_26,1,4,"A(1) D(4) D(5) R(10)",0.6145,0.6328,0.2224,1.4696,no
mol_27,1,4,"A(1) D(2) D(3) R(10)",0.9764,0.9995,0.3749,2.3508,no
mol_28,1,4,"A(1) D(4) D(5) R(12)",0.6145,0.6332,0.1908,1.4385,no
mol_29,1,4,"A(1) D(4) D(5) R(10)",0.9799,0.9995,0.6073,2.5867,no
mol_30,1,4,"A(1) D(2) D(3) R(7)",0.6139,0.6324,0.2282,1.4744,no
mol_31,1,4,"A(1) D(2) D(3) R(10)",0.9795,0.9998,0.4274,2.4067,no
mol_32,1,4,"A(1) D(2) D(3) R(9)",0.9833,0.9998,0.5707,2.5539,no
mol_33,1,4,"A(1) D(3) D(4) R(9)",1.0000,1.0000,1.0000,3.0000,yes
mol_34,1,4,"A(1) D(2) D(3) R(9)",0.6146,0.6332,0.2226,1.4704,no
mol_35,1,4,"A(1) D(3) D(4) R(9)",0.9849,0.9999,0.5619,2.5467,no
mol_36,1,4,"A(1) D(2) D(3) R(8)",0.9880,1.0000,0.4629,2.4509,no
mol_37,1,4,"A(2) D(3) D(4) R(8)",0.9818,0.9997,0.5577,2.5392,no
mol_38,1,4,"A(1) D(5) D(6) R(11)",0.6151,0.6337,0.2126,1.4614,no
mol_39,1,4,"A(1) D(2) D(3) R(9)",0.9746,0.9994,0.3844,2.3583,no
mol_40,1,4,"A(1) D(4) D(5) R(10)",0.6144,0.6332,0.2101,1.4578,no
mol_41,1,4,"A(1) D(4) D(5) R(9)",0.9930,1.0000,0.8508,2.8437,no
mol_42,1,4,"A(1) D(4) D(5) R(10)",0.9936,1.0000,0.8105,2.8041,no
mol_43,1,4,"A(1) D(2) D(3) R(10)",0.9731,0.9994,0.3459,2.3184,no
mol_44,1,4,"A(1) D(2) D(3) R(8)",0.6146,0.6334,0.2287,1.4767,no
mol_45,1,4,"A(1) D(4) D(5) R(9)",0.9751,0.9993,0.3870,2.3615,no
mol_46,1,4,"A(1) D(3) D(4) R(9)",0.6144,0.6329,0.2221,1.4694,no
mol_47,1,4,"A(1) D(4) D(5) R(11)",0.9838,0.9999,0.5030,2.4866,no
mol_48,1,4,"A(1) D(2) D(3) R(9)",0.9832,0.9998,0.4282,2.4112,no
mol_49,1,4,"A(1) D(4) D(6) R(11)",0.9959,1.0000,0.8055,2.8014,no
mol_50,1,4,"A(1) D(3) D(4) R(10)",0.6136,0.6324,0.2131,1.4591,no
mol_51,1,4,"A(1) D(4) D(5) R(11)",0.9952,1.0000,0.8456,2.8408,no
mol_52,1,4,"A(1) D(2) D(3) R(9)",0.6145,0.6332,0.2157,1.4634,no
mol_53,1,4,"A(1) D(3) D(4) R(11)",0.9850,0.9998,0.5013,2.4861,no
mol_54,1,4,"A(1) D(4) D(5) R(12)",0.9812,0.9998,0.5340,2.5149,no
mol_55,1,4,"A(1) D(4) D(5) R(12)",0.9763,0.9994,0.3970,2.3726,no
mol_56,1,4,"A(1) D(5) D(6) R(12)",0.6152,0.6341,0.2079,1.4572,no
mol_57,1,4,"A(1) D(4) D(5) R(11)",0.9924,1.0000,0.9012,2.8935,no
mol_58,1,4,"A(1) D(5) D(6) R(12)",0.6149,0.6332,0.1986,1.4468,no
mol_59,1,4,"A(1) D(2) D(3) R(9)",0.9743,0.9993,0.3812,2.3547,no
mol_60,1,4,"A(1) D(2) D(3) R(8)",0.6160,0.6336,0.2284,1.4780,no
mol_61,1,4,"A(1) D(2) D(3) R(9)",0.9844,0.9999,0.4811,2.4654,no
mol_62,1,4,"A(1) D(2) D(3) R(8)",0.9905,1.0000,0.4399,2.4304,no
mol_63,1,4,"A(1) D(3) D(4) R(10)",0.9932,1.0000,0.8064,2.7996,no
mol_64,1,4,"A(1) D(2) D(3) R(9)",0.6145,0.6330,0.2275,1.4750,no
