Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"D(3) D(4) R(8) R(10)",0.9926,1.0000,0.8174,2.8100,no
mol_2,1,4,"D(4) D(5) R(9) R(11)",0.9864,0.9999,0.4883,2.4747,no
mol_3,1,4,"D(3) D(4) R(7) R(8)",0.6330,0.6456,0.2228,1.5013,no
mol_4,1,4,"D(3) D(4) R(8) R(10)",0.9791,0.9995,0.3549,2.3336,no
mol_5,1,4,"D(4) D(5) R(8) R(10)",0.9773,0.9994,0.3418,2.3185,no
mol_6,1,4,"D(3) D(4) R(6) R(7)",0.6349,0.6465,0.2275,1.5089,no
mol_7,1,4,"D(3) D(4) R(7) R(9)",0.6341,0.6454,0.2166,1.4961,no
mol_8,1,4,"D(3) D(4) R(7) R(9)",0.9911,0.9999,0.4155,2.4065,no
mol_9,1,4,"D(2) D(3) R(8) R(9)",0.6324,0.6439,0.2251,1.5014,no
mol_10,1,4,"D(2) D(3) R(6) R(8)",0.9977,1.0000,0.8896,2.8873,no
mol_11,1,4,"D(3) D(4) R(7) R(10)",0.9988,1.0000,0.9068,2.9056,no
mol_12,1,4,"D(2) D(3) R(7) R(9)",0.9932,1.0000,0.8261,2.8193,no
mol_13,1,4,"D(3) D(4) R(8) R(10)",0.9832,0.9998,0.3566,2.3395,no
mol_14,1,4,"D(2) D(3) R(7) R(9)",0.9774,0.9995,0.3532,2.3301,no
mol_15,1,4,"D(2) D(3) R(7) R(9)",0.9920,0.9999,0.8159,2.8079,no
mol_16,1,4,"D(3) D(4) R(8) R(10)",0.9960,1.0000,0.8965,2.8925,no
mol_17,1,4,"D(2) D(3) R(8) R(10)",0.6332,0.6454,0.2231,1.5017,no
mol_18,1,4,"D(2) D(3) R(8) R(10)",0.9684,0.9993,0.3297,2.2974,no
mol_19,1,4,"D(5) D(6) R(9) R(11)",0.9855,0.9999,0.5300,2.5154,no
mol_20,1,4,"D(2) D(3) R(7) R(9)",0.6332,0.6453,0.2138,1.4923,no
mol_21,1,4,"D(2) D(3) R(7) R(9)",0.9862,0.9999,0.5013,2.4873,no
mol_22,1,4,"D(2) D(3) R(7) R(9)",0.9811,0.9996,0.3701,2.3508,no
mol_23,1,4,"D(3) D(4) R(8) R(9)",0.9732,0.9995,0.3101,2.2828,no
mol_24,1,4,"D(2) D(3) R(7) R(9)",0.6333,0.6454,0.2186,1.4973,no
mol_25,1,4,"D(2) D(3) R(8) R(10)",0.6332,0.6455,0.2231,1.5019,no
mol_26,1,4,"D(4) D(5) R(8) R(10)",0.6331,0.6451,0.2232,1.5014,no
mol_27,1,4,"D(2) D(3) R(8) R(10)",0.9804,0.9996,0.3732,2.3532,no
mol_28,1,4,"D(4) D(5) R(10) R(12)",0.6330,0.6456,0.1915,1.4701,no
mol_29,1,4,"D(4) D(5) R(8) R(10)",0.9828,0.9997,0.6245,2.6070,no
mol_30,1,4,"D(2) D(3) R(6) R(7)",0.6325,0.6448,0.2291,1.5063,no
mol_31,1,4,"D(2) D(3) R(8) R(10)",0.9831,0.9999,0.4239,2.4068,no
mol_32,1,4,"D(2) D(3) R(7) R(9)",0.9862,0.9999,0.5644,2.5505,no
mol_33,1,4,"D(3) D(4) R(8) R(9)",1.0000,1.0000,1.0000,3.0000,yes
mol_34,1,4,"D(2) D(3) R(7) R(9)",0.6331,0.6456,0.2234,1.5022,no
mol_35,1,4,"D(3) D(4) R(7) R(9)",0.9875,0.9999,0.5570,2.5444,no
