Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"D(3) D(4) R(8) R(10)",0.6329,0.6469,0.2291,1.5089,no
mol_2,1,4,"D(4) D(5) R(9) R(11)",0.6316,0.6454,0.2211,1.4982,no
mol_3,1,4,"D(3) D(4) R(7) R(8)",0.9988,1.0000,0.9628,2.9616,no
mol_4,1,4,"D(3) D(4) R(8) R(10)",0.6318,0.6453,0.2184,1.4955,no
mol_5,1,4,"D(4) D(5) R(8) R(10)",0.6328,0.6454,0.2257,1.5039,no
mol_6,1,4,"D(3) D(4) R(6) R(7)",0.9931,0.9999,0.4648,2.4578,no
mol_7,1,4,"D(3) D(4) R(7) R(9)",0.9908,0.9999,0.4275,2.4182,no
mol_8,1,4,"D(3) D(4) R(7) R(9)",0.6331,0.6464,0.2102,1.4897,no
mol_9,1,4,"D(2) D(3) R(8) R(9)",0.9967,1.0000,0.4407,2.4375,no
mol_10,1,4,"D(2) D(3) R(6) R(8)",0.6331,0.6457,0.2070,1.4858,no
mol_11,1,4,"D(3) D(4) R(7) R(10)",0.6330,0.6459,0.2100,1.4890,no
mol_12,1,4,"D(2) D(3) R(7) R(9)",0.6332,0.6445,0.2120,1.4896,no
mol_13,1,4,"D(3) D(4) R(8) R(10)",0.6319,0.6465,0.2071,1.4856,no
mol_14,1,4,"D(2) D(3) R(7) R(9)",0.6312,0.6443,0.2203,1.4958,no
mol_15,1,4,"D(2) D(3) R(7) R(9)",0.6325,0.6465,0.2208,1.4999,no
mol_16,1,4,"D(3) D(4) R(8) R(10)",0.6327,0.6449,0.2192,1.4968,no
mol_17,1,4,"D(2) D(3) R(8) R(10)",0.9981,1.0000,0.4510,2.4491,no
mol_18,1,4,"D(2) D(3) R(8) R(10)",0.6334,0.6453,0.2271,1.5058,no
mol_19,1,4,"D(5) D(6) R(9) R(11)",0.6319,0.6464,0.2194,1.4977,no
mol_20,1,4,"D(2) D(3) R(7) R(9)",0.9990,1.0000,0.4142,2.4132,no
mol_21,1,4,"D(2) D(3) R(7) R(9)",0.6318,0.6455,0.2236,1.5009,no
mol_22,1,4,"D(2) D(3) R(7) R(9)",0.6319,0.6457,0.2235,1.5011,no
mol_23,1,4,"D(3) D(4) R(8) R(9)",0.6331,0.6456,0.2110,1.4897,no
mol_24,1,4,"D(2) D(3) R(7) R(9)",0.9972,1.0000,0.4219,2.4191,no
mol_25,1,4,"D(2) D(3) R(8) R(10)",0.9988,1.0000,0.4498,2.4486,no
mol_26,1,4,"D(4) D(5) R(8) R(10)",0.9932,0.9999,0.8134,2.8065,no
mol_27,1,4,"D(2) D(3) R(8) R(10)",0.6312,0.6454,0.2207,1.4974,no
mol_28,1,4,"D(4) D(5) R(10) R(12)",0.9957,1.0000,0.4449,2.4405,no
