Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"D(3) D(4) R(8)",0.9983,1.0000,0.8183,2.8166,no
mol_2,1,3,"D(4) D(5) R(9)",0.9984,0.9999,0.4893,2.4876,no
mol_3,1,3,"D(3) D(4) R(7)",0.7713,0.5308,0.2118,1.5139,no
mol_4,1,3,"D(3) D(4) R(8)",0.9986,0.9994,0.3564,2.3544,no
mol_5,1,3,"D(4) D(5) R(8)",0.9982,0.9992,0.3436,2.3411,no
mol_6,1,3,"D(3) D(4) R(6)",0.7723,0.5319,0.2164,1.5206,no
mol_7,1,3,"D(3) D(4) R(7)",0.7714,0.5305,0.2061,1.5080,no
mol_8,1,3,"D(3) D(4) R(7)",0.9996,0.9999,0.4159,2.4154,no
mol_9,1,3,"D(2) D(3) R(8)",0.7705,0.5286,0.2139,1.5131,no
mol_10,1,3,"D(2) D(3) R(6)",0.9997,1.0000,0.8887,2.8885,no
mol_11,1,3,"D(3) D(4) R(7)",0.9995,1.0000,0.9064,2.9060,no
mol_12,1,3,"D(2) D(3) R(7)",0.9982,1.0000,0.8271,2.8252,no
mol_13,1,3,"D(3) D(4) R(8)",0.9989,0.9997,0.3572,2.3559,no
mol_14,1,3,"D(2) D(3) R(7)",0.9969,0.9994,0.3548,2.3510,no
mol_15,1,3,"D(2) D(3) R(7)",0.9989,0.9999,0.8173,2.8161,no
mol_16,1,3,"D(3) D(4) R(8)",0.9985,1.0000,0.8947,2.8932,no
mol_17,1,3,"D(2) D(3) R(8)",0.7713,0.5306,0.2122,1.5140,no
mol_18,1,3,"D(2) D(3) R(8)",0.9996,0.9991,0.3318,2.3305,no
mol_19,1,3,"D(5) D(6) R(9)",0.9990,0.9998,0.5325,2.5313,no
mol_20,1,3,"D(2) D(3) R(7)",0.7713,0.5305,0.2034,1.5052,no
mol_21,1,3,"D(2) D(3) R(7)",0.9987,0.9998,0.5022,2.5007,no
mol_22,1,3,"D(2) D(3) R(7)",0.9988,0.9995,0.3714,2.3698,no
mol_23,1,3,"D(3) D(4) R(8)",0.9997,0.9994,0.3119,2.3110,no
mol_24,1,3,"D(2) D(3) R(7)",0.7716,0.5306,0.2078,1.5101,no
mol_25,1,3,"D(2) D(3) R(8)",0.7713,0.5307,0.2122,1.5142,no
mol_26,1,3,"D(4) D(5) R(8)",0.7709,0.5301,0.2123,1.5133,no
mol_27,1,3,"D(2) D(3) R(8)",0.9983,0.9995,0.3741,2.3719,no
mol_28,1,3,"D(4) D(5) R(10)",0.7711,0.5307,0.1823,1.4842,no
mol_29,1,3,"D(4) D(5) R(8)",0.9905,0.9995,0.6180,2.6080,no
mol_30,1,3,"D(2) D(3) R(6)",0.7705,0.5296,0.2178,1.5179,no
mol_31,1,3,"D(2) D(3) R(8)",0.9988,0.9998,0.4255,2.4241,no
mol_32,1,3,"D(2) D(3) R(7)",0.9988,0.9998,0.5667,2.5653,no
mol_33,1,3,"D(3) D(4) R(8)",1.0000,1.0000,1.0000,3.0000,yes
mol_34,1,3,"D(2) D(3) R(7)",0.7713,0.5308,0.2125,1.5146,no
mol_35,1,3,"D(3) D(4) R(7)",0.9990,0.9999,0.5588,2.5576,no
mol_36,1,3,"D(2) D(3) R(7)",0.9982,0.9999,0.4620,2.4601,no
mol_37,1,3,"D(3) D(4) R(7)",0.9988,0.9997,0.5531,2.5517,no
mol_38,1,3,"D(5) D(6) R(9)",0.7717,0.5316,0.2030,1.5063,no
mol_39,1,3,"D(2) D(3) R(8)",0.9983,0.9994,0.3830,2.3807,no
mol_40,1,3,"D(4) D(5) R(8)",0.7711,0.5309,0.2006,1.5026,no
mol_41,1,3,"D(4) D(5) R(8)",0.9990,1.0000,0.8488,2.8477,no
mol_42,1,3,"D(4) D(5) R(9)",0.9985,1.0000,0.8084,2.8070,no
mol_43,1,3,"D(2) D(3) R(8)",0.9972,0.9994,0.3446,2.3412,no
mol_44,1,3,"D(2) D(3) R(7)",0.7713,0.5311,0.2182,1.5206,no
mol_45,1,3,"D(4) D(5) R(8)",0.9973,0.9993,0.3857,2.3823,no
mol_46,1,3,"D(3) D(4) R(8)",0.7714,0.5305,0.2119,1.5138,no
mol_47,1,3,"D(4) D(5) R(9)",0.9971,0.9999,0.5027,2.4997,no
mol_48,1,3,"D(2) D(3) R(8)",0.9976,0.9998,0.4279,2.4254,no
mol_49,1,3,"D(4) D(6) R(9)",0.9961,0.9999,0.8061,2.8022,no
mol_50,1,3,"D(3) D(4) R(8)",0.7707,0.5298,0.2034,1.5039,no
mol_51,1,3,"D(4) D(5) R(9)",0.9961,1.0000,0.8433,2.8394,no
mol_52,1,3,"D(2) D(3) R(7)",0.7712,0.5307,0.2060,1.5078,no
mol_53,1,3,"D(3) D(4) R(9)",0.9985,0.9998,0.5000,2.4983,no
mol_54,1,3,"D(4) D(5) R(10)",0.9989,0.9998,0.5296,2.5283,no
mol_55,1,3,"D(4) D(5) R(10)",0.9992,0.9994,0.3930,2.3915,no
mol_56,1,3,"D(5) D(6) R(10)",0.7717,0.5319,0.1986,1.5022,no
mol_57,1,3,"D(4) D(5) R(9)",0.9992,1.0000,0.9004,2.8996,no
mol_58,1,3,"D(5) D(6) R(10)",0.7715,0.5309,0.1898,1.4921,no
mol_59,1,3,"D(2) D(3) R(7)",0.9979,0.9993,0.3798,2.3770,no
mol_60,1,3,"D(2) D(3) R(7)",0.7719,0.5312,0.2180,1.5211,no
mol_61,1,3,"D(2) D(3) R(7)",0.9989,0.9999,0.4796,2.4784,no
mol_62,1,3,"D(2) D(3) R(6)",0.9987,1.0000,0.4397,2.4384,no
mol_63,1,3,"D(3) D(4) R(8)",0.9952,1.0000,0.8043,2.7994,no
mol_64,1,3,"D(2) D(3) R(7)",0.7714,0.5306,0.2170,1.5191,no
mol_65,1,3,"D(4) D(5) R(9)",0.9993,1.0000,0.9184,2.9177,no
mol_66,1,3,"D(3) D(4) R(8)",0.7722,0.5321,0.1843,1.4887,no
mol_67,1,3,"D(3) D(4) R(8)",0.7697,0.5270,0.1717,1.4684,no
mol_68,1,3,"D(2) D(3) R(8)",0.7713,0.5312,0.2144,1.5168,no
mol_69,1,3,"D(2) D(3) R(8)",0.9985,0.9999,0.4587,2.4571,no
mol_70,1,3,"D(2) D(3) R(8)",0.7711,0.5308,0.2109,1.5127,no
mol_71,1,3,"D(2) D(3) R(8)",0.7705,0.5286,0.2139,1.5131,no
mol_72,1,3,"D(2) D(3) R(8)",0.9989,0.9999,0.4571,2.4560,no
mol_73,1,3,"D(3) D(4) R(8)",1.0000,1.0000,1.0000,3.0000,no
mol_74,1,3,"D(3) D(4) R(8)",0.9989,0.9999,0.4408,2.4397,no
mol_75,1,3,"D(2) D(3) R(7)",0.9987,0.9999,0.4552,2.4538,no
mol_76,1,3,"D(3) D(4) R(8)",0.9985,0.9994,0.3382,2.3360,no
mol_77,1,3,"D(2) D(3) R(8)",0.9985,0.9999,0.4659,2.4644,no
mol_78,1,3,"D(2) D(3) R(7)",0.9985,0.9999,0.4560,2.4544,no
mol_79,1,3,"D(2) D(4) R(8)",0.7709,0.5298,0.2035,1.5041,no
mol_80,1,3,"D(5) D(6) R(10)",0.9995,1.0000,0.9202,2.9197,no
mol_81,1,3,"D(5) D(6) R(9)",0.7705,0.5301,0.1991,1.4997,no
mol_82,1,3,"D(3) D(4) R(8)",0.7713,0.5310,0.2030,1.5054,no
mol_83,1,3,"D(3) D(4) R(8)",0.7732,0.5334,0.1977,1.5042,no
mol_84,1,3,"D(4) D(6) R(8)",0.9978,0.9997,0.3528,2.3503,no
mol_85,1,3,"D(5) D(6) R(8)",0.9993,0.9995,0.3419,2.3407,no
mol_86,1,3,"D(2) D(3) R(9)",0.7708,0.5302,0.2122,1.5132,no
mol_87,1,3,"D(5) D(6) R(9)",0.7703,0.5279,0.2027,1.5008,no
mol_88,1,3,"D(4) D(6) R(9)",0.9989,0.9999,0.3429,2.3417,no
mol_89,1,3,"D(5) D(6) R(9)",0.7717,0.5316,0.2030,1.5063,no
mol_90,1,3,"D(4) D(6) R(9)",0.9961,0.9999,0.8061,2.8022,no
mol_91,1,3,"D(5) D(6) R(8)",0.9993,0.9999,0.4462,2.4454,no
mol_92,1,3,"D(4) D(6) R(8)",0.9990,0.9999,0.4331,2.4320,no
mol_93,1,3,"D(5) D(6) R(8)",0.9993,0.9995,0.3419,2.3407,no
mol_94,1,3,"D(4) D(6) R(8)",0.9978,0.9997,0.3528,2.3503,no
mol_95,1,3,"D(4) D(5) R(10)",0.7708,0.5299,0.1976,1.4983,no
mol_96,1,3,"D(3) D(4) R(10)",0.9909,0.9997,0.6581,2.6487,no
mol_97,1,3,"D(2) D(4) R(8)",0.7707,0.5297,0.2035,1.5039,no
mol_98,1,3,"D(4) D(5) R(9)",0.9981,1.0000,0.8167,2.8148,no
mol_99,1,3,"D(4) D(5) R(10)",0.9970,0.9999,0.5853,2.5822,no
mol_100,1,3,"D(4) D(5) R(9)",0.9911,0.9998,0.7145,2.7054,no
mol_101,1,3,"D(3) D(4) R(10)",0.9967,1.0000,0.7798,2.7765,no
mol_102,1,3,"D(3) D(4) R(10)",0.9909,0.9997,0.6581,2.6487,no
mol_103,1,3,"D(3) D(4) R(10)",0.9992,0.9998,0.3131,2.3120,no
mol_104,1,3,"D(4) D(5) R(9)",0.9981,1.0000,0.8167,2.8148,no
mol_105,1,3,"D(4) D(5) R(9)",0.9992,0.9999,0.3953,2.3944,no
mol_106,1,3,"D(4) D(5) R(9)",0.7709,0.5305,0.1901,1.4916,no
mol_107,1,3,"D(4) D(5) R(10)",0.9978,0.9994,0.3001,2.2973,no
mol_108,1,3,"D(7) D(8) R(11)",0.7711,0.5309,0.1945,1.4965,no
mol_109,1,3,"D(4) D(5) R(9)",0.9966,0.9999,0.7505,2.7471,no
mol_110,1,3,"D(7) D(8) R(11)",0.7713,0.5311,0.1945,1.4968,no
mol_111,1,3,"D(5) D(6) R(9)",0.7717,0.5315,0.1987,1.5019,no
mol_112,1,3,"D(7) D(8) R(11)",0.9984,1.0000,0.4239,2.4223,no
mol_113,1,3,"D(5) D(6) R(9)",0.9994,0.9994,0.3163,2.3151,no
