HypoID,Survival,Site,Vector,Volume,Select,Matches,Inactive,Adjusted,BEDROC,RefLig
DDRR_1,5.5261,0.8524,0.8651,0.4211,1.3011,122,0.0000,5.5261,0.9968,mol_33
ADDR_1,5.2941,0.8438,0.8604,0.4222,1.0814,122,0.0000,5.2941,1.0000,mol_33
DDRR_2,5.2867,0.7644,0.7795,0.3579,1.2986,122,0.0000,5.2867,0.9920,mol_44
ADDR_2,5.0396,0.7530,0.7716,0.3572,1.0715,122,0.0000,5.0396,1.0000,mol_44
DRR_1,5.4741,0.9998,1.0000,0.4433,0.9447,122,0.0000,5.4741,0.9933,mol_33
DDR_1,5.3786,0.9535,0.9069,0.4715,0.9603,122,0.0000,5.3786,0.9969,mol_57
ADR_1,5.3271,0.9998,0.9999,0.4434,0.7976,122,0.0000,5.3271,1.0000,mol_33
DDR_2,5.2019,0.9118,0.8214,0.4177,0.9645,122,0.0000,5.2019,0.9977,mol_33
DRR_2,5.1867,0.8765,0.8314,0.4293,0.9631,122,0.0000,5.1867,0.8688,mol_33
ADR_2,5.0602,0.8418,0.8180,0.4291,0.8849,122,0.0000,5.0602,0.9834,mol_33
ADD_1,4.9856,0.9169,0.8150,0.4170,0.7504,122,0.0000,4.9856,1.0000,mol_33
ADR_3,4.7648,0.7377,0.7108,0.3545,0.8754,122,0.0000,4.7648,0.9981,mol_44
