Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,6,"A(1) A(2) A(4) H(10) R(11) R(14)",0.9671,0.9963,0.8007,2.7642,no
mol_2,1,6,"A(2) A(4) A(3) H(7) R(9) R(12)",0.5630,0.6894,0.5679,1.8203,no
mol_3,1,6,"A(1) A(3) A(4) H(8) R(12) R(15)",0.9911,0.9999,0.7464,2.7374,no
mol_4,1,6,"A(2) A(3) A(4) H(8) R(10) R(13)",0.5670,0.6716,0.5242,1.7629,no
mol_5,1,6,"A(1) A(2) A(4) H(6) R(10) R(13)",0.5632,0.6981,0.5185,1.7798,no
mol_6,1,6,"A(2) A(3) A(4) H(10) R(11) R(14)",0.5605,0.6717,0.5383,1.7705,no
mol_7,1,6,"A(2) A(3) A(4) H(8) R(12) R(15)",0.5526,0.6888,0.5395,1.7809,no
mol_8,1,6,"A(1) A(3) A(4) H(8) R(12) R(15)",0.5571,0.6907,0.5729,1.8207,no
mol_9,1,6,"A(2) A(4) A(3) H(10) R(12) R(15)",0.4710,0.6658,0.5135,1.6503,no
mol_10,1,6,"A(1) A(3) A(4) H(9) R(13) R(16)",0.5554,0.6891,0.5206,1.7651,no
mol_11,1,6,"A(1) A(3) A(4) H(9) R(12) R(15)",1.0000,1.0000,1.0000,3.0000,yes
mol_12,1,6,"A(1) A(2) A(4) H(6) R(8) R(11)",0.5604,0.6873,0.5799,1.8276,no
mol_13,1,6,"A(1) A(3) A(4) H(8) R(11) R(14)",0.9721,0.9993,0.7833,2.7547,no
mol_14,1,6,"A(1) A(3) A(4) H(10) R(13) R(16)",0.5562,0.6670,0.7132,1.9363,no
mol_15,1,6,"A(3) A(4) A(1) H(8) R(12) R(15)",0.5480,0.6907,0.6653,1.9041,no
mol_16,1,6,"A(3) A(4) A(1) H(9) R(11) R(14)",0.5630,0.6723,0.5253,1.7607,no
mol_17,1,6,"A(1) A(3) A(4) H(10) R(14) R(17)",0.5523,0.6692,0.7067,1.9282,no
mol_18,1,6,"A(2) A(4) A(3) H(10) R(11) R(14)",0.5549,0.6703,0.6203,1.8454,no
mol_19,1,6,"A(2) A(3) A(4) H(11) R(14) R(17)",0.5492,0.6706,0.7053,1.9251,no
mol_20,1,6,"A(1) A(3) A(4) H(10) R(14) R(17)",0.3180,0.6798,0.5717,1.5695,no
mol_21,1,6,"A(2) A(4) A(3) H(9) R(11) R(14)",0.9624,0.9944,0.8157,2.7725,no
mol_22,1,6,"A(1) A(3) A(4) H(9) R(13) R(16)",0.5468,0.6892,0.5259,1.7619,no
mol_23,1,6,"A(1) A(3) A(4) H(9) R(13) R(16)",0.5603,0.6945,0.5513,1.8062,no
mol_24,1,6,"A(1) A(3) A(4) H(10) R(13) R(16)",0.9734,0.9993,0.7879,2.7607,no
