Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,5,"A(3) A(4) A(2) H(10) R(14)",0.9586,0.7591,0.5715,2.2892,no
mol_2,1,5,"A(1) A(3) A(4) H(7) R(12)",1.0000,1.0000,1.0000,3.0000,yes
mol_3,1,5,"A(2) A(4) A(3) H(8) R(15)",0.9799,0.7804,0.5767,2.3370,no
mol_4,1,5,"A(1) A(4) A(3) H(8) R(13)",0.9636,0.9988,0.8791,2.8415,no
mol_5,1,5,"A(3) A(4) A(2) H(6) R(13)",0.9890,0.9997,0.8547,2.8434,no
mol_6,1,5,"A(1) A(4) A(3) H(10) R(14)",0.9751,0.9992,0.9133,2.8876,no
mol_7,1,5,"A(1) A(4) A(3) H(8) R(15)",0.9917,0.9998,0.8660,2.8575,no
mol_8,1,5,"A(2) A(4) A(3) H(8) R(15)",0.9905,0.9998,0.7640,2.7543,no
mol_9,1,5,"A(1) A(3) A(4) H(10) R(15)",0.8707,0.9898,0.6328,2.4933,no
mol_10,1,5,"A(2) A(4) A(3) H(9) R(16)",0.9931,0.9999,0.8184,2.8114,no
mol_11,1,5,"A(2) A(4) A(3) H(9) R(15)",0.9795,0.7824,0.5835,2.3454,no
mol_12,1,5,"A(3) A(4) A(2) H(6) R(11)",0.9936,1.0000,0.8503,2.8439,no
mol_13,1,5,"A(2) A(4) A(3) H(8) R(14)",0.9759,0.7721,0.5799,2.3278,no
mol_14,1,5,"A(2) A(4) A(3) H(10) R(16)",0.9752,0.9988,0.7385,2.7126,no
mol_15,1,5,"A(2) A(1) A(4) H(8) R(15)",0.9937,0.9996,0.6926,2.6859,no
mol_16,1,5,"A(2) A(1) A(4) H(9) R(14)",0.9778,0.9991,0.8375,2.8143,no
mol_17,1,5,"A(2) A(4) A(3) H(10) R(17)",0.9763,0.9994,0.7241,2.6998,no
mol_18,1,5,"A(1) A(3) A(4) H(10) R(14)",0.9798,0.9993,0.7723,2.7514,no
mol_19,1,5,"A(1) A(4) A(3) H(11) R(17)",0.9754,0.9996,0.7330,2.7080,no
mol_20,1,5,"A(2) A(4) A(3) H(10) R(17)",0.8719,0.7866,0.5218,2.1804,no
mol_21,1,5,"A(1) A(3) A(4) H(9) R(14)",0.9645,0.7677,0.5643,2.2965,no
mol_22,1,5,"A(2) A(4) A(3) H(9) R(16)",0.9883,0.9997,0.6671,2.6551,no
mol_23,1,5,"A(2) A(4) A(3) H(9) R(16)",0.9940,0.9998,0.8923,2.8861,no
mol_24,1,5,"A(2) A(4) A(3) H(10) R(16)",0.9735,0.7712,0.5655,2.3101,no
