Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,6,"A(1) A(2) H(10) R(11) R(12) R(14)",0.5713,0.6617,0.5541,1.7871,no
mol_2,1,6,"A(2) A(4) H(7) R(9) R(10) R(12)",1.0000,1.0000,1.0000,3.0000,yes
mol_3,1,6,"A(1) A(3) H(8) R(12) R(13) R(15)",0.5647,0.6901,0.5605,1.8153,no
mol_4,1,6,"A(2) A(3) H(8) R(10) R(11) R(13)",0.9660,0.9990,0.8791,2.8442,no
mol_5,1,6,"A(1) A(2) H(6) R(10) R(12) R(13)",0.9901,0.9998,0.8549,2.8447,no
mol_6,1,6,"A(2) A(3) H(10) R(11) R(12) R(14)",0.9753,0.9994,0.9141,2.8887,no
mol_7,1,6,"A(2) A(3) H(8) R(12) R(13) R(15)",0.9818,0.9997,0.8660,2.8475,no
mol_8,1,6,"A(1) A(3) H(8) R(12) R(13) R(15)",0.9875,0.9997,0.7633,2.7505,no
mol_9,1,6,"A(2) A(4) H(10) R(12) R(13) R(15)",0.3100,0.6830,0.5996,1.5926,no
mol_10,1,6,"A(1) A(3) H(9) R(13) R(14) R(16)",0.9877,0.9999,0.8185,2.8062,no
mol_11,1,6,"A(1) A(3) H(9) R(12) R(13) R(15)",0.5586,0.6877,0.5711,1.8174,no
mol_12,1,6,"A(1) A(2) H(6) R(8) R(9) R(11)",0.9936,1.0000,0.8500,2.8436,no
mol_13,1,6,"A(1) A(3) H(8) R(11) R(12) R(14)",0.5781,0.6909,0.5628,1.8317,no
mol_14,1,6,"A(1) A(3) H(10) R(13) R(14) R(16)",0.9750,0.9991,0.7381,2.7122,no
mol_15,1,6,"A(3) A(4) H(8) R(12) R(14) R(15)",0.9803,0.9994,0.6917,2.6715,no
mol_16,1,6,"A(3) A(4) H(9) R(11) R(13) R(14)",0.9794,0.9993,0.8380,2.8167,no
mol_17,1,6,"A(1) A(3) H(10) R(14) R(15) R(17)",0.9722,0.9994,0.7234,2.6950,no
mol_18,1,6,"A(2) A(4) H(10) R(11) R(12) R(14)",0.9781,0.9994,0.7717,2.7492,no
mol_19,1,6,"A(2) A(3) H(11) R(14) R(15) R(17)",0.9691,0.9995,0.7318,2.7004,no
mol_20,1,6,"A(1) A(3) H(10) R(14) R(15) R(17)",0.4407,0.6644,0.5017,1.6068,no
mol_21,1,6,"A(2) A(4) H(9) R(11) R(12) R(14)",0.5813,0.6611,0.5479,1.7903,no
mol_22,1,6,"A(1) A(3) H(9) R(13) R(14) R(16)",0.9764,0.9995,0.6665,2.6424,no
mol_23,1,6,"A(1) A(3) H(9) R(13) R(14) R(16)",0.9933,0.9998,0.8923,2.8854,no
mol_24,1,6,"A(1) A(3) H(10) R(13) R(14) R(16)",0.5775,0.6899,0.5495,1.8169,no
