Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(4) A(2) H(10) R(11)",0.9539,0.9977,0.5712,2.5229,no
mol_2,1,4,"A(3) A(4) H(7) R(9)",1.0000,1.0000,1.0000,3.0000,yes
mol_3,1,4,"A(4) A(3) H(8) R(12)",0.9748,0.9978,0.5767,2.5493,no
mol_4,1,4,"A(4) A(3) H(8) R(10)",0.9602,0.9998,0.8787,2.8388,no
mol_5,1,4,"A(4) A(2) H(6) R(10)",0.9886,1.0000,0.8547,2.8434,no
mol_6,1,4,"A(4) A(3) H(10) R(11)",0.9729,0.9999,0.9129,2.8858,no
mol_7,1,4,"A(4) A(3) H(8) R(12)",0.9910,1.0000,0.8660,2.8570,no
mol_8,1,4,"A(4) A(3) H(8) R(12)",0.9913,1.0000,0.7641,2.7553,no
mol_9,1,4,"A(3) A(4) H(10) R(12)",0.8595,0.9936,0.6331,2.4862,no
mol_10,1,4,"A(4) A(3) H(9) R(13)",0.9923,1.0000,0.8185,2.8107,no
mol_11,1,4,"A(4) A(3) H(9) R(12)",0.9749,0.9979,0.5834,2.5561,no
mol_12,1,4,"A(4) A(2) H(6) R(8)",0.9931,1.0000,0.8501,2.8432,no
mol_13,1,4,"A(4) A(3) H(8) R(11)",0.9713,0.9976,0.5798,2.5486,no
mol_14,1,4,"A(4) A(3) H(10) R(13)",0.9734,1.0000,0.7385,2.7119,no
mol_15,1,4,"A(1) A(4) H(8) R(12)",0.9935,1.0000,0.6925,2.6860,no
mol_16,1,4,"A(1) A(4) H(9) R(11)",0.9762,1.0000,0.8374,2.8135,no
mol_17,1,4,"A(4) A(3) H(10) R(14)",0.9746,1.0000,0.7240,2.6986,no
mol_18,1,4,"A(3) A(4) H(10) R(11)",0.9785,1.0000,0.7721,2.7507,no
mol_19,1,4,"A(4) A(3) H(11) R(14)",0.9735,1.0000,0.7328,2.7062,no
mol_20,1,4,"A(4) A(3) H(10) R(14)",0.8609,0.9955,0.5218,2.3782,no
mol_21,1,4,"A(3) A(4) H(9) R(11)",0.9598,0.9980,0.5641,2.5219,no
mol_22,1,4,"A(4) A(3) H(9) R(13)",0.9873,1.0000,0.6670,2.6543,no
mol_23,1,4,"A(4) A(3) H(9) R(13)",0.9957,1.0000,0.8923,2.8880,no
mol_24,1,4,"A(4) A(3) H(10) R(13)",0.9706,0.9976,0.5653,2.5336,no
