Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"A(2) A(4) H(10)",0.9641,0.9964,0.5534,2.5139,no
mol_2,1,3,"A(4) A(3) H(7)",0.9956,1.0000,0.8923,2.8878,no
mol_3,1,3,"A(3) A(4) H(8)",0.9938,0.9965,0.5578,2.5481,no
mol_4,1,3,"A(3) A(4) H(8)",0.9622,0.9999,0.8922,2.8543,no
mol_5,1,3,"A(2) A(4) H(6)",0.9843,1.0000,0.8606,2.8449,no
mol_6,1,3,"A(3) A(4) H(10)",0.9755,1.0000,0.8757,2.8512,no
mol_7,1,3,"A(3) A(4) H(8)",0.9943,1.0000,0.9309,2.9252,no
mol_8,1,3,"A(3) A(4) H(8)",0.9965,1.0000,0.7331,2.7296,no
mol_9,1,3,"A(4) A(3) H(10)",0.8491,0.9904,0.6491,2.4886,no
mol_10,1,3,"A(3) A(4) H(9)",0.9960,1.0000,0.9020,2.8980,no
mol_11,1,3,"A(3) A(4) H(9)",0.9907,0.9965,0.5647,2.5519,no
mol_12,1,3,"A(2) A(4) H(6)",0.9964,1.0000,0.7777,2.7740,no
mol_13,1,3,"A(3) A(4) H(8)",0.9967,0.9961,0.5372,2.5300,no
mol_14,1,3,"A(3) A(4) H(10)",0.9747,1.0000,0.7056,2.6803,no
mol_15,1,3,"A(4) A(1) H(8)",0.9935,1.0000,0.6915,2.6850,no
mol_16,1,3,"A(4) A(1) H(9)",0.9780,1.0000,0.8703,2.8482,no
mol_17,1,3,"A(3) A(4) H(10)",0.9767,1.0000,0.7211,2.6978,no
mol_18,1,3,"A(4) A(3) H(10)",0.9807,1.0000,0.7438,2.7245,no
mol_19,1,3,"A(3) A(4) H(11)",0.9759,1.0000,0.7016,2.6775,no
mol_20,1,3,"A(3) A(4) H(10)",0.8487,0.9936,0.5436,2.3859,no
mol_21,1,3,"A(4) A(3) H(9)",0.9700,0.9967,0.5573,2.5239,no
mol_22,1,3,"A(3) A(4) H(9)",0.9928,0.9999,0.6944,2.6871,no
mol_23,1,3,"A(3) A(4) H(9)",1.0000,1.0000,1.0000,3.0000,yes
mol_24,1,3,"A(3) A(4) H(10)",0.9994,0.9962,0.5711,2.5666,no
