Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(2) H(10) R(11) R(14)",0.9656,0.6763,0.5713,2.2132,no
mol_2,1,4,"A(4) H(7) R(9) R(12)",1.0000,1.0000,1.0000,3.0000,yes
mol_3,1,4,"A(3) H(8) R(12) R(15)",0.9956,0.7099,0.5770,2.2825,no
mol_4,1,4,"A(3) H(8) R(10) R(13)",0.9635,0.9985,0.8772,2.8392,no
mol_5,1,4,"A(2) H(6) R(10) R(13)",0.9884,0.9996,0.8546,2.8426,no
mol_6,1,4,"A(3) H(10) R(11) R(14)",0.9764,0.9990,0.9127,2.8881,no
mol_7,1,4,"A(3) H(8) R(12) R(15)",0.9935,0.9998,0.8660,2.8593,no
mol_8,1,4,"A(3) H(8) R(12) R(15)",0.9978,0.9997,0.7641,2.7616,no
mol_9,1,4,"A(4) H(10) R(12) R(15)",0.8619,0.9863,0.6296,2.4778,no
mol_10,1,4,"A(3) H(9) R(13) R(16)",0.9944,0.9999,0.8187,2.8130,no
mol_11,1,4,"A(3) H(9) R(12) R(15)",0.9957,0.7124,0.5837,2.2918,no
mol_12,1,4,"A(2) H(6) R(8) R(11)",0.9940,1.0000,0.8501,2.8441,no
mol_13,1,4,"A(3) H(8) R(11) R(14)",0.9938,0.6992,0.5798,2.2728,no
mol_14,1,4,"A(3) H(10) R(13) R(16)",0.9755,0.9985,0.7383,2.7123,no
mol_15,1,4,"A(4) H(8) R(12) R(15)",0.9958,0.9995,0.6925,2.6879,no
mol_16,1,4,"A(4) H(9) R(11) R(14)",0.9782,0.9988,0.8377,2.8147,no
mol_17,1,4,"A(3) H(10) R(14) R(17)",0.9777,0.9992,0.7238,2.7007,no
mol_18,1,4,"A(4) H(10) R(11) R(14)",0.9806,0.9991,0.7715,2.7512,no
mol_19,1,4,"A(3) H(11) R(14) R(17)",0.9786,0.9995,0.7321,2.7102,no
mol_20,1,4,"A(3) H(10) R(14) R(17)",0.8619,0.7160,0.5194,2.0973,no
mol_21,1,4,"A(4) H(9) R(11) R(14)",0.9706,0.6880,0.5641,2.2227,no
mol_22,1,4,"A(3) H(9) R(13) R(16)",0.9926,0.9997,0.6674,2.6597,no
mol_23,1,4,"A(3) H(9) R(13) R(16)",0.9972,0.9997,0.8924,2.8893,no
mol_24,1,4,"A(3) H(10) R(13) R(16)",0.9954,0.6978,0.5650,2.2582,no
