Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,5,"A(1) A(2) A(3) D(5) R(10)",0.9900,1.0000,0.9441,2.9340,no
mol_2,1,5,"A(1) A(2) A(3) D(5) R(10)",0.9901,1.0000,0.9720,2.9621,no
mol_3,1,5,"A(2) A(1) A(4) D(5) R(11)",0.9523,0.9980,0.8209,2.7712,no
mol_4,1,5,"A(1) A(2) A(3) D(5) R(10)",0.9789,0.9999,0.9128,2.8915,no
mol_5,1,5,"A(1) A(2) A(4) D(6) R(10)",0.9502,0.9983,0.8199,2.7684,no
mol_6,1,5,"A(1) A(2) A(4) D(6) R(10)",0.9406,0.9982,0.7200,2.6589,no
mol_7,1,5,"A(1) A(2) A(4) D(6) R(11)",0.9582,0.9989,0.7312,2.6883,no
mol_8,1,5,"A(1) A(2) A(3) D(5) R(10)",0.5412,0.9559,0.6788,2.1759,no
mol_9,1,5,"A(1) A(2) A(3) D(5) R(10)",0.9937,1.0000,0.9787,2.9724,no
mol_10,1,5,"A(1) A(2) A(4) D(6) R(9)",0.9532,0.9984,0.8071,2.7587,no
mol_11,1,5,"A(1) A(2) A(4) D(6) R(11)",0.9170,0.9991,0.9034,2.8195,no
mol_12,1,5,"A(1) A(2) A(4) D(6) R(11)",0.9537,0.9985,0.8714,2.8236,no
mol_13,1,5,"A(1) A(2) A(4) D(6) R(10)",0.9517,0.9983,0.7798,2.7298,no
mol_14,1,5,"A(2) A(3) A(4) D(6) R(10)",0.9474,0.9985,0.7545,2.7004,no
mol_15,1,5,"A(1) A(2) A(3) D(5) R(10)",0.9642,0.9998,0.9022,2.8662,no
mol_16,1,5,"A(1) A(2) A(4) D(6) R(10)",0.9503,0.9987,0.7810,2.7300,no
mol_17,1,5,"A(1) A(2) A(3) D(5) R(11)",1.0000,1.0000,1.0000,3.0000,yes
mol_18,1,5,"A(1) A(2) A(3) D(5) R(10)",0.9821,0.9999,0.9399,2.9219,no
