Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(1) A(3) R(9) R(10)",0.9898,1.0000,0.9442,2.9340,no
mol_2,1,4,"A(1) A(3) R(9) R(10)",0.9936,0.9999,0.9717,2.9653,no
mol_3,1,4,"A(2) A(4) R(9) R(11)",0.9166,0.9977,0.8244,2.7388,no
mol_4,1,4,"A(1) A(3) R(9) R(10)",0.9898,0.9998,0.9122,2.9017,no
mol_5,1,4,"A(1) A(4) R(9) R(10)",0.9403,0.9979,0.8252,2.7634,no
mol_6,1,4,"A(1) A(4) R(9) R(10)",0.9499,0.9975,0.7253,2.6726,no
mol_7,1,4,"A(1) A(4) R(10) R(11)",0.9615,0.9984,0.7346,2.6946,no
mol_8,1,4,"A(1) A(3) R(9) R(10)",0.7114,0.9394,0.6823,2.3332,no
mol_9,1,4,"A(1) A(3) R(9) R(10)",0.9958,1.0000,0.9787,2.9745,no
mol_10,1,4,"A(1) A(4) R(8) R(9)",0.9464,0.9981,0.8120,2.7565,no
mol_11,1,4,"A(1) A(4) R(10) R(11)",0.9431,0.9968,0.9075,2.8474,no
mol_12,1,4,"A(1) A(4) R(10) R(11)",0.9492,0.9980,0.8748,2.8220,no
mol_13,1,4,"A(1) A(4) R(9) R(10)",0.9358,0.9980,0.7845,2.7183,no
mol_14,1,4,"A(2) A(4) R(9) R(10)",0.9502,0.9979,0.7592,2.7073,no
mol_15,1,4,"A(1) A(3) R(9) R(10)",0.9924,0.9994,0.9006,2.8924,no
mol_16,1,4,"A(1) A(4) R(9) R(10)",0.9508,0.9982,0.7866,2.7356,no
mol_17,1,4,"A(1) A(3) R(10) R(11)",1.0000,1.0000,1.0000,3.0000,yes
mol_18,1,4,"A(1) A(3) R(9) R(10)",0.9899,0.9998,0.9391,2.9289,no
