Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(3) D(5) R(8) R(9)",0.9950,1.0000,0.9429,2.9378,no
mol_2,1,4,"A(3) D(5) R(8) R(9)",0.9977,1.0000,0.9718,2.9694,no
mol_3,1,4,"A(4) D(5) R(10) R(9)",0.9283,0.9982,0.8221,2.7487,no
mol_4,1,4,"A(3) D(5) R(8) R(9)",0.9951,0.9998,0.9112,2.9061,no
mol_5,1,4,"A(4) D(6) R(8) R(9)",0.9645,0.9984,0.8170,2.7799,no
mol_6,1,4,"A(4) D(6) R(8) R(9)",0.9785,0.9981,0.7161,2.6927,no
mol_7,1,4,"A(4) D(6) R(9) R(10)",0.9823,0.9989,0.7279,2.7090,no
mol_8,1,4,"A(3) D(5) R(8) R(9)",0.9622,0.9014,0.5878,2.4514,no
mol_9,1,4,"A(3) D(5) R(8) R(9)",0.9982,1.0000,0.9783,2.9765,no
mol_10,1,4,"A(4) D(6) R(7) R(8)",0.9689,0.9985,0.8048,2.7721,no
mol_11,1,4,"A(4) D(6) R(9) R(10)",0.9232,0.9983,0.8997,2.8212,no
mol_12,1,4,"A(4) D(6) R(9) R(10)",0.9729,0.9985,0.8669,2.8383,no
mol_13,1,4,"A(4) D(6) R(8) R(9)",0.9587,0.9984,0.7770,2.7341,no
mol_14,1,4,"A(4) D(6) R(8) R(9)",0.9766,0.9984,0.7483,2.7233,no
mol_15,1,4,"A(3) D(5) R(8) R(9)",0.9830,0.9997,0.9007,2.8833,no
mol_16,1,4,"A(4) D(6) R(8) R(9)",0.9747,0.9986,0.7755,2.7488,no
mol_17,1,4,"A(3) D(5) R(9) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_18,1,4,"A(3) D(5) R(8) R(9)",0.9957,0.9999,0.9390,2.9346,no
