Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"D(5) R(8) R(9) R(10)",0.9943,0.9999,0.9431,2.9373,no
mol_2,1,4,"D(5) R(8) R(9) R(10)",0.9929,0.9999,0.9710,2.9639,no
mol_3,1,4,"D(5) R(10) R(9) R(11)",0.9662,0.9965,0.8164,2.7791,no
mol_4,1,4,"D(5) R(8) R(9) R(10)",0.9827,0.9998,0.9114,2.8938,no
mol_5,1,4,"D(6) R(8) R(9) R(10)",0.9810,0.9970,0.8235,2.8015,no
mol_6,1,4,"D(6) R(8) R(9) R(10)",0.9675,0.9967,0.7243,2.6884,no
mol_7,1,4,"D(6) R(9) R(10) R(11)",0.9796,0.9980,0.7340,2.7116,no
mol_8,1,4,"D(5) R(8) R(9) R(10)",0.5704,0.9038,0.6310,2.1052,no
mol_9,1,4,"D(5) R(8) R(9) R(10)",0.9950,1.0000,0.9782,2.9731,no
mol_10,1,4,"D(6) R(7) R(8) R(9)",0.9814,0.9973,0.8107,2.7894,no
mol_11,1,4,"D(6) R(9) R(10) R(11)",0.9118,0.9975,0.9130,2.8222,no
mol_12,1,4,"D(6) R(9) R(10) R(11)",0.9795,0.9973,0.8720,2.8488,no
mol_13,1,4,"D(6) R(8) R(9) R(10)",0.9848,0.9970,0.7825,2.7643,no
mol_14,1,4,"D(6) R(8) R(9) R(10)",0.9731,0.9972,0.7582,2.7284,no
mol_15,1,4,"D(5) R(8) R(9) R(10)",0.9675,0.9995,0.9015,2.8685,no
mol_16,1,4,"D(6) R(8) R(9) R(10)",0.9754,0.9975,0.7852,2.7581,no
mol_17,1,4,"D(5) R(9) R(10) R(11)",1.0000,1.0000,1.0000,3.0000,yes
mol_18,1,4,"D(5) R(8) R(9) R(10)",0.9865,0.9998,0.9381,2.9244,no
