Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,7,"A(2) A(3) D(5) H(6) R(8) R(9) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_2,1,7,"A(2) A(1) D(3) H(6) R(8) R(9) R(10)",0.9068,0.9808,0.7086,2.5962,no
mol_3,1,7,"A(3) A(2) D(4) H(7) R(8) R(9) R(10)",0.9096,0.8881,0.7048,2.5024,no
mol_4,1,7,"A(3) A(2) D(4) H(7) R(9) R(10) R(11)",0.8016,0.8969,0.5832,2.2816,no
mol_5,1,7,"A(4) A(3) D(5) H(7) R(9) R(8) R(10)",0.9312,0.9177,0.7641,2.6131,no
mol_6,1,7,"A(3) A(2) D(4) H(7) R(8) R(9) R(11)",0.7665,0.9679,0.6637,2.3980,no
mol_7,1,7,"A(3) A(2) D(4) H(6) R(8) R(9) R(10)",0.7645,0.7684,0.5842,2.1170,no
mol_8,1,7,"A(3) A(2) D(4) H(7) R(8) R(9) R(10)",0.9259,0.9948,0.9078,2.8285,no
mol_9,1,7,"A(3) A(2) D(4) H(5) R(9) R(10) R(11)",0.9086,0.9040,0.6608,2.4733,no
mol_11,1,7,"A(3) A(2) D(4) H(6) R(7) R(8) R(9)",0.9416,0.9572,0.8507,2.7495,no
mol_12,1,7,"A(3) A(2) D(4) H(6) R(7) R(8) R(9)",0.7695,0.7457,0.6302,2.1454,no
mol_13,1,7,"A(2) A(1) D(3) H(5) R(7) R(8) R(9)",0.8015,0.9757,0.6676,2.4448,no
mol_14,1,7,"A(3) A(2) D(4) H(6) R(8) R(9) R(10)",0.7102,0.7383,0.5382,1.9867,no
mol_15,1,7,"A(2) A(1) D(3) H(5) R(6) R(7) R(8)",0.7877,0.7552,0.6583,2.2011,no
mol_16,1,7,"A(3) A(2) D(4) H(7) R(9) R(10) R(11)",0.9148,0.9774,0.6970,2.5891,no
mol_17,1,7,"A(1) A(2) D(3) H(4) R(5) R(6) R(7)",0.3998,0.9620,0.7970,2.1588,no
mol_18,1,7,"A(2) A(1) D(4) H(5) R(8) R(7) R(9)",0.4026,0.8019,0.6372,1.8417,no
mol_19,1,7,"A(3) A(2) D(4) H(7) R(8) R(9) R(10)",0.9115,0.8898,0.7031,2.5044,no
mol_20,1,7,"A(2) A(1) D(3) H(5) R(7) R(8) R(9)",0.8523,0.7765,0.5978,2.2267,no
mol_21,1,7,"A(3) A(2) D(4) H(6) R(8) R(9) R(10)",0.9242,0.9134,0.6636,2.5013,no
mol_22,1,7,"A(4) A(3) D(5) H(7) R(9) R(10) R(11)",0.8235,0.8920,0.5751,2.2906,no
mol_23,1,7,"A(3) A(2) D(4) H(7) R(9) R(10) R(11)",0.8903,0.9052,0.6306,2.4262,no
mol_24,1,7,"A(2) A(1) D(3) H(5) R(7) R(8) R(9)",0.9066,0.9073,0.6473,2.4613,no
mol_25,1,7,"A(3) A(2) D(4) H(7) R(9) R(10) R(11)",0.6823,0.9218,0.5341,2.1382,no
mol_26,1,7,"A(4) A(3) D(5) H(7) R(9) R(8) R(10)",0.9318,0.9081,0.7566,2.5965,no
mol_27,1,7,"A(2) A(1) D(3) H(6) R(7) R(8) R(9)",0.7854,0.9907,0.7179,2.4940,no
