Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,6,"A(2) A(3) D(5) H(6) R(8) R(9)",1.0000,1.0000,1.0000,3.0000,yes
mol_2,1,6,"A(2) A(1) D(3) H(6) R(8) R(9)",0.9073,0.9781,0.7078,2.5932,no
mol_3,1,6,"A(3) A(2) D(4) H(7) R(8) R(9)",0.9169,0.8813,0.7035,2.5016,no
mol_4,1,6,"A(3) A(2) D(4) H(7) R(9) R(10)",0.8165,0.9418,0.5783,2.3366,no
mol_5,1,6,"A(4) A(3) D(5) H(7) R(9) R(8)",0.9441,0.9542,0.7604,2.6587,no
mol_6,1,6,"A(3) A(2) D(4) H(7) R(8) R(9)",0.7769,0.9606,0.6518,2.3893,no
mol_7,1,6,"A(3) A(2) D(4) H(6) R(8) R(9)",0.7728,0.7226,0.5796,2.0750,no
mol_8,1,6,"A(3) A(2) D(4) H(7) R(8) R(9)",0.9299,0.9988,0.9056,2.8344,no
mol_9,1,6,"A(3) A(2) D(4) H(5) R(9) R(10)",0.9206,0.9396,0.6579,2.5181,no
mol_11,1,6,"A(3) A(2) D(4) H(6) R(7) R(8)",0.9462,0.9844,0.8474,2.7779,no
mol_12,1,6,"A(3) A(2) D(4) H(6) R(7) R(8)",0.7745,0.6963,0.6256,2.0965,no
mol_13,1,6,"A(2) A(1) D(3) H(5) R(7) R(8)",0.8091,0.9719,0.6613,2.4424,no
mol_14,1,6,"A(3) A(2) D(4) H(6) R(8) R(9)",0.7172,0.6875,0.5332,1.9379,no
mol_15,1,6,"A(2) A(1) D(3) H(5) R(6) R(7)",0.7934,0.7070,0.6535,2.1539,no
mol_16,1,6,"A(3) A(2) D(4) H(7) R(9) R(10)",0.9150,0.9736,0.6946,2.5832,no
mol_17,1,6,"A(1) A(2) D(3) H(4) R(5) R(6)",0.3638,0.9870,0.7837,2.1345,no
mol_18,1,6,"A(2) A(1) D(4) H(5) R(8) R(7)",0.3850,0.7591,0.6318,1.7760,no
mol_19,1,6,"A(3) A(2) D(4) H(7) R(8) R(9)",0.9134,0.8667,0.7009,2.4811,no
mol_20,1,6,"A(2) A(1) D(3) H(5) R(7) R(8)",0.8573,0.7301,0.5956,2.1831,no
mol_21,1,6,"A(3) A(2) D(4) H(6) R(8) R(9)",0.9261,0.9550,0.6612,2.5422,no
mol_22,1,6,"A(4) A(3) D(5) H(7) R(9) R(10)",0.8300,0.8962,0.5723,2.2984,no
mol_23,1,6,"A(3) A(2) D(4) H(7) R(9) R(10)",0.8851,0.9478,0.6288,2.4616,no
mol_24,1,6,"A(2) A(1) D(3) H(5) R(7) R(8)",0.9185,0.9453,0.6436,2.5074,no
mol_25,1,6,"A(3) A(2) D(4) H(7) R(9) R(10)",0.7067,0.9740,0.5236,2.2044,no
mol_26,1,6,"A(4) A(3) D(5) H(7) R(9) R(8)",0.9423,0.9502,0.7533,2.6458,no
mol_27,1,6,"A(2) A(1) D(3) H(6) R(7) R(8)",0.7971,0.9908,0.7083,2.4962,no
