Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,7,"A(2) D(5) D(4) H(6) R(9) R(8) R(10)",0.8762,0.9624,0.8613,2.6999,no
mol_2,1,7,"A(2) D(3) D(4) H(6) R(9) R(8) R(10)",0.7999,0.9178,0.6484,2.3662,no
mol_3,1,7,"A(3) D(4) D(5) H(7) R(9) R(8) R(10)",0.6844,0.7497,0.6644,2.0985,no
mol_4,1,7,"A(3) D(4) D(5) H(7) R(10) R(9) R(11)",0.4218,0.7185,0.6441,1.7844,no
mol_5,1,7,"A(4) D(5) D(6) H(7) R(8) R(9) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_6,1,7,"A(3) D(4) D(5) H(7) R(9) R(8) R(11)",0.7036,0.8716,0.6470,2.2222,no
mol_7,1,7,"A(3) D(4) D(5) H(6) R(9) R(8) R(10)",0.6175,0.7026,0.6097,1.9297,no
mol_8,1,7,"A(3) D(4) D(5) H(7) R(9) R(8) R(10)",0.8700,0.9757,0.8427,2.6884,no
mol_11,1,7,"A(3) D(4) D(5) H(6) R(8) R(7) R(9)",0.9290,0.9929,0.9413,2.8633,no
mol_12,1,7,"A(3) D(4) D(5) H(6) R(8) R(7) R(9)",0.6193,0.7146,0.6708,2.0047,no
mol_13,1,7,"A(2) D(3) D(4) H(5) R(8) R(7) R(9)",0.4644,0.6668,0.6410,1.7722,no
mol_14,1,7,"A(3) D(4) D(5) H(6) R(9) R(8) R(10)",0.5886,0.7134,0.5954,1.8974,no
mol_15,1,7,"A(2) D(3) D(4) H(5) R(7) R(6) R(8)",0.6292,0.7074,0.6907,2.0273,no
mol_16,1,7,"A(3) D(4) D(5) H(7) R(10) R(9) R(11)",0.7974,0.9068,0.6458,2.3500,no
mol_19,1,7,"A(3) D(4) D(5) H(7) R(9) R(8) R(10)",0.6734,0.7760,0.6852,2.1346,no
mol_20,1,7,"A(2) D(3) D(4) H(5) R(8) R(7) R(9)",0.5680,0.6657,0.5699,1.8036,no
mol_21,1,7,"A(3) D(4) D(5) H(6) R(9) R(8) R(10)",0.9449,0.9995,0.8319,2.7764,no
mol_22,1,7,"A(4) D(5) D(6) H(7) R(10) R(9) R(11)",0.5848,0.5530,0.5085,1.6464,no
mol_23,1,7,"A(3) D(4) D(5) H(7) R(10) R(9) R(11)",0.9049,0.9989,0.7951,2.6989,no
mol_24,1,7,"A(2) D(3) D(4) H(5) R(8) R(7) R(9)",0.9406,0.9992,0.8264,2.7662,no
mol_25,1,7,"A(3) D(4) D(5) H(7) R(10) R(9) R(11)",0.4406,0.6356,0.5188,1.5950,no
mol_26,1,7,"A(4) D(5) D(6) H(7) R(8) R(9) R(10)",0.9759,0.9998,0.9854,2.9611,no
mol_27,1,7,"A(2) D(3) D(4) H(6) R(8) R(7) R(9)",0.4485,0.7000,0.7242,1.8727,no
