Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,6,"A(2) D(4) H(6) R(9) R(8) R(10)",0.9286,0.9623,0.8738,2.7646,no
mol_2,1,6,"A(2) D(4) H(6) R(9) R(8) R(10)",0.8322,0.9206,0.6624,2.4152,no
mol_3,1,6,"A(3) D(5) H(7) R(9) R(8) R(10)",0.7757,0.7486,0.7019,2.2261,no
mol_4,1,6,"A(3) D(5) H(7) R(10) R(9) R(11)",0.7120,0.9989,0.6887,2.3997,no
mol_5,1,6,"A(4) D(6) H(7) R(8) R(9) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_6,1,6,"A(3) D(5) H(7) R(9) R(8) R(11)",0.7826,0.8686,0.6832,2.3345,no
mol_7,1,6,"A(3) D(5) H(6) R(9) R(8) R(10)",0.8513,0.7691,0.6454,2.2658,no
mol_8,1,6,"A(3) D(5) H(7) R(9) R(8) R(10)",0.9037,0.9768,0.8532,2.7338,no
mol_11,1,6,"A(3) D(5) H(6) R(8) R(7) R(9)",0.9590,0.9919,0.9442,2.8952,no
mol_12,1,6,"A(3) D(5) H(6) R(8) R(7) R(9)",0.8619,0.7757,0.7085,2.3460,no
mol_13,1,6,"A(2) D(4) H(5) R(8) R(7) R(9)",0.7376,0.8980,0.6896,2.3251,no
mol_14,1,6,"A(3) D(5) H(6) R(9) R(8) R(10)",0.8628,0.7755,0.6257,2.2640,no
mol_15,1,6,"A(2) D(4) H(5) R(7) R(6) R(8)",0.8514,0.7682,0.7348,2.3544,no
mol_16,1,6,"A(3) D(5) H(7) R(10) R(9) R(11)",0.8542,0.9094,0.6652,2.4288,no
mol_19,1,6,"A(3) D(5) H(7) R(9) R(8) R(10)",0.7947,0.7831,0.7360,2.3137,no
mol_20,1,6,"A(2) D(4) H(5) R(8) R(7) R(9)",0.7425,0.7801,0.6302,2.1528,no
mol_21,1,6,"A(3) D(5) H(6) R(9) R(8) R(10)",0.9653,0.9991,0.8306,2.7950,no
mol_22,1,6,"A(4) D(6) H(7) R(10) R(9) R(11)",0.7391,0.6935,0.5502,1.9828,no
mol_23,1,6,"A(3) D(5) H(7) R(10) R(9) R(11)",0.9354,0.9977,0.7898,2.7230,no
mol_24,1,6,"A(2) D(4) H(5) R(8) R(7) R(9)",0.9396,0.9992,0.8261,2.7649,no
mol_25,1,6,"A(3) D(5) H(7) R(10) R(9) R(11)",0.7075,0.8634,0.5596,2.1305,no
mol_26,1,6,"A(4) D(6) H(7) R(8) R(9) R(10)",0.9801,0.9997,0.9838,2.9636,no
mol_27,1,6,"A(2) D(4) H(6) R(8) R(7) R(9)",0.7076,0.9556,0.7606,2.4238,no
