Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,5,"A(3) D(5) H(6) R(9) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_2,1,5,"A(1) D(3) H(6) R(9) R(10)",0.9567,0.9981,0.7076,2.6624,no
mol_3,1,5,"A(2) D(4) H(7) R(9) R(10)",0.9687,0.9776,0.7076,2.6538,no
mol_4,1,5,"A(2) D(4) H(7) R(10) R(11)",0.9251,0.9168,0.6081,2.4501,no
mol_5,1,5,"A(3) D(5) H(7) R(8) R(10)",0.9625,0.9285,0.7732,2.6642,no
mol_6,1,5,"A(2) D(4) H(7) R(9) R(11)",0.9554,0.9974,0.7181,2.6709,no
mol_7,1,5,"A(2) D(4) H(6) R(9) R(10)",0.9468,0.9990,0.6198,2.5656,no
mol_8,1,5,"A(2) D(4) H(7) R(9) R(10)",0.9742,0.9926,0.9029,2.8698,no
mol_9,1,5,"A(2) D(4) H(5) R(10) R(11)",0.9447,0.9278,0.6664,2.5390,no
mol_10,1,5,"A(2) D(4) H(6) R(8) R(9)",0.9788,0.9512,0.6742,2.6043,no
mol_11,1,5,"A(2) D(4) H(6) R(8) R(9)",0.9620,0.9523,0.8616,2.7759,no
mol_12,1,5,"A(2) D(4) H(6) R(8) R(9)",0.9238,0.9979,0.6612,2.5830,no
mol_13,1,5,"A(1) D(3) H(5) R(8) R(9)",0.9805,0.9984,0.7259,2.7049,no
mol_14,1,5,"A(2) D(4) H(6) R(9) R(10)",0.8905,0.9966,0.5704,2.4575,no
mol_15,1,5,"A(1) D(3) H(5) R(7) R(8)",0.9409,0.9989,0.6907,2.6306,no
mol_16,1,5,"A(2) D(4) H(7) R(10) R(11)",0.9586,0.9980,0.7047,2.6613,no
mol_17,1,5,"A(2) D(3) H(4) R(6) R(7)",0.9658,0.9553,0.8788,2.7999,no
mol_18,1,5,"A(1) D(4) H(5) R(7) R(9)",0.9571,0.9995,0.6840,2.6406,no
mol_19,1,5,"A(2) D(4) H(7) R(9) R(10)",0.9726,0.9998,0.7169,2.6893,no
mol_20,1,5,"A(1) D(3) H(5) R(8) R(9)",0.9612,0.9984,0.6134,2.5731,no
mol_21,1,5,"A(2) D(4) H(6) R(9) R(10)",0.9319,0.9220,0.6667,2.5206,no
mol_22,1,5,"A(3) D(5) H(7) R(10) R(11)",0.9249,0.9632,0.5872,2.4752,no
mol_23,1,5,"A(2) D(4) H(7) R(10) R(11)",0.8979,0.9190,0.6266,2.4436,no
mol_24,1,5,"A(1) D(3) H(5) R(8) R(9)",0.9372,0.9234,0.6571,2.5178,no
mol_25,1,5,"A(2) D(4) H(7) R(10) R(11)",0.9258,0.9130,0.5791,2.4179,no
mol_26,1,5,"A(3) D(5) H(7) R(8) R(10)",0.9486,0.9194,0.7616,2.6296,no
mol_27,1,5,"A(1) D(3) H(6) R(8) R(9)",0.9742,0.9959,0.7867,2.7569,no
