Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(2) D(5) H(6) R(9)",1.0000,1.0000,1.0000,3.0000,yes
mol_2,1,4,"A(2) D(3) H(6) R(9)",0.9127,0.9849,0.7251,2.6227,no
mol_3,1,4,"A(3) D(4) H(7) R(9)",0.9286,0.9311,0.7022,2.5619,no
mol_4,1,4,"A(3) D(4) H(7) R(10)",0.9305,0.9414,0.5481,2.4199,no
mol_5,1,4,"A(4) D(5) H(7) R(8)",0.9762,0.9705,0.7554,2.7021,no
mol_6,1,4,"A(3) D(4) H(7) R(9)",0.8419,0.9840,0.6330,2.4589,no
mol_7,1,4,"A(3) D(4) H(6) R(9)",0.8297,0.8457,0.5126,2.1880,no
mol_8,1,4,"A(3) D(4) H(7) R(9)",0.9421,0.9988,0.9000,2.8409,no
mol_9,1,4,"A(3) D(4) H(5) R(10)",0.9719,0.9573,0.6529,2.5822,no
mol_10,1,4,"A(3) D(4) H(6) R(8)",0.7817,0.7265,0.4591,1.9673,no
mol_11,1,4,"A(3) D(4) H(6) R(8)",0.9662,0.9937,0.8710,2.8308,no
mol_12,1,4,"A(3) D(4) H(6) R(8)",0.8137,0.8325,0.5511,2.1973,no
mol_13,1,4,"A(2) D(3) H(5) R(8)",0.8807,0.9667,0.6007,2.4482,no
mol_14,1,4,"A(3) D(4) H(6) R(9)",0.7528,0.8180,0.4535,2.0243,no
mol_15,1,4,"A(2) D(3) H(5) R(7)",0.8358,0.8382,0.5852,2.2593,no
mol_16,1,4,"A(3) D(4) H(7) R(10)",0.9256,0.9848,0.7142,2.6246,no
mol_17,1,4,"A(1) D(3) H(4) R(6)",0.2927,0.9762,0.7699,2.0389,no
mol_18,1,4,"A(2) D(4) H(5) R(7)",0.6925,0.8262,0.5739,2.0926,no
mol_19,1,4,"A(3) D(4) H(7) R(9)",0.9378,0.9268,0.6997,2.5643,no
mol_20,1,4,"A(2) D(3) H(5) R(8)",0.8861,0.8478,0.5753,2.3092,no
mol_21,1,4,"A(3) D(4) H(6) R(9)",0.9566,0.9776,0.6807,2.6148,no
mol_22,1,4,"A(4) D(5) H(7) R(10)",0.9607,0.9209,0.5536,2.4352,no
mol_23,1,4,"A(3) D(4) H(7) R(10)",0.9095,0.9772,0.6625,2.5492,no
mol_24,1,4,"A(2) D(3) H(5) R(8)",0.9641,0.9690,0.6447,2.5777,no
mol_25,1,4,"A(3) D(4) H(7) R(10)",0.8445,0.9616,0.4773,2.2833,no
mol_26,1,4,"A(4) D(5) H(7) R(8)",0.9868,0.9708,0.7569,2.7145,no
mol_27,1,4,"A(2) D(3) H(6) R(8)",0.8680,0.9598,0.6229,2.4507,no
