Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_2,1,5,"A(2) H(6) R(9) R(8) R(11)",0.8353,0.8978,0.6620,2.3950,no
mol_3,1,5,"A(3) H(7) R(9) R(8) R(11)",0.7738,0.8002,0.7008,2.2748,no
mol_4,1,5,"A(3) H(7) R(10) R(9) R(12)",0.6894,0.9996,0.6888,2.3779,no
mol_5,1,5,"A(4) H(7) R(8) R(9) R(11)",1.0000,1.0000,1.0000,3.0000,yes
mol_6,1,5,"A(3) H(7) R(9) R(8) R(10)",0.7771,0.8038,0.6815,2.2624,no
mol_7,1,5,"A(3) H(6) R(9) R(8) R(11)",0.8266,0.8229,0.6595,2.3089,no
mol_8,1,5,"A(3) H(7) R(9) R(8) R(11)",0.9147,0.9699,0.8538,2.7384,no
mol_9,1,5,"A(3) H(5) R(10) R(9) R(8)",0.8355,0.9971,0.8059,2.6385,no
mol_11,1,5,"A(3) H(6) R(8) R(7) R(10)",0.9592,0.9899,0.9441,2.8932,no
mol_12,1,5,"A(3) H(6) R(8) R(7) R(10)",0.8446,0.8452,0.7221,2.4118,no
mol_13,1,5,"A(2) H(5) R(8) R(7) R(10)",0.7193,0.8890,0.7046,2.3129,no
mol_14,1,5,"A(3) H(6) R(9) R(8) R(11)",0.8557,0.8461,0.6329,2.3347,no
mol_15,1,5,"A(2) H(5) R(7) R(6) R(9)",0.8321,0.8390,0.7516,2.4227,no
mol_16,1,5,"A(3) H(7) R(10) R(9) R(12)",0.8423,0.8822,0.6663,2.3909,no
mol_17,1,5,"A(1) H(4) R(6) R(5) R(8)",0.3023,0.9824,0.8256,2.1103,no
mol_19,1,5,"A(3) H(7) R(9) R(8) R(11)",0.7849,0.7787,0.7360,2.2997,no
mol_20,1,5,"A(2) H(5) R(8) R(7) R(10)",0.7351,0.8350,0.6284,2.1985,no
mol_21,1,5,"A(3) H(6) R(9) R(8) R(11)",0.9718,0.9996,0.8314,2.8028,no
mol_22,1,5,"A(4) H(7) R(10) R(9) R(12)",0.7159,0.8103,0.5775,2.1037,no
mol_23,1,5,"A(3) H(7) R(10) R(9) R(12)",0.9443,0.9985,0.7912,2.7340,no
mol_24,1,5,"A(2) H(5) R(8) R(7) R(10)",0.9554,0.9992,0.8276,2.7822,no
mol_25,1,5,"A(3) H(7) R(10) R(9) R(12)",0.6883,0.9533,0.6051,2.2467,no
mol_26,1,5,"A(4) H(7) R(8) R(9) R(11)",0.9806,0.9999,0.9850,2.9655,no
mol_27,1,5,"A(2) H(6) R(8) R(7) R(10)",0.6905,0.9557,0.7751,2.4212,no
