Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"A(3) H(6) R(9)",1.0000,1.0000,1.0000,3.0000,yes
mol_2,1,3,"A(1) H(6) R(9)",0.9988,0.9955,0.6588,2.6531,no
mol_3,1,3,"A(2) H(7) R(9)",0.9984,0.9969,0.6642,2.6594,no
mol_4,1,3,"A(2) H(7) R(10)",0.9994,0.9975,0.5735,2.5704,no
mol_5,1,3,"A(3) H(7) R(8)",0.9806,0.9999,0.7517,2.7323,no
mol_6,1,3,"A(2) H(7) R(9)",0.9993,0.9962,0.6917,2.6872,no
mol_7,1,3,"A(2) H(6) R(9)",0.9995,0.9972,0.5861,2.5827,no
mol_8,1,3,"A(2) H(7) R(9)",0.9989,0.9998,0.8904,2.8892,no
mol_9,1,3,"A(2) H(5) R(10)",0.9986,0.9997,0.6614,2.6596,no
mol_10,1,3,"A(2) H(6) R(8)",0.9986,0.9987,0.6743,2.6716,no
mol_11,1,3,"A(2) H(6) R(8)",0.9997,0.9981,0.8252,2.8230,no
mol_12,1,3,"A(2) H(6) R(8)",0.9993,0.9939,0.6001,2.5933,no
mol_13,1,3,"A(1) H(5) R(8)",0.9986,0.9989,0.7290,2.7264,no
mol_14,1,3,"A(2) H(6) R(9)",0.9976,0.9858,0.4849,2.4684,no
mol_15,1,3,"A(1) H(5) R(7)",0.9993,0.9968,0.6447,2.6408,no
mol_16,1,3,"A(2) H(7) R(10)",0.9993,0.9954,0.6621,2.6567,no
mol_17,1,3,"A(2) H(4) R(6)",0.9997,0.9987,0.8462,2.8447,no
mol_18,1,3,"A(1) H(5) R(7)",0.9990,0.9985,0.6573,2.6548,no
mol_19,1,3,"A(2) H(7) R(9)",0.9990,0.9995,0.6996,2.6980,no
mol_20,1,3,"A(1) H(5) R(8)",0.9997,0.9957,0.5747,2.5701,no
mol_21,1,3,"A(2) H(6) R(9)",0.9988,0.9988,0.6454,2.6430,no
mol_22,1,3,"A(3) H(7) R(10)",0.9990,0.9995,0.5584,2.5569,no
mol_23,1,3,"A(2) H(7) R(10)",0.9991,0.9960,0.5357,2.5307,no
mol_24,1,3,"A(1) H(5) R(8)",0.9992,0.9989,0.6424,2.6405,no
mol_25,1,3,"A(2) H(7) R(10)",0.9994,0.9972,0.5380,2.5346,no
mol_26,1,3,"A(3) H(7) R(8)",0.9958,0.9996,0.7528,2.7482,no
mol_27,1,3,"A(1) H(6) R(8)",0.9994,0.9999,0.7774,2.7766,no
