Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,5,"D(4) H(6) R(9) R(8) R(10)",0.9237,0.9533,0.8729,2.7500,no
mol_2,1,5,"D(4) H(6) R(9) R(8) R(10)",0.8326,0.9056,0.6567,2.3949,no
mol_3,1,5,"D(5) H(7) R(9) R(8) R(10)",0.7694,0.7006,0.6927,2.1627,no
mol_4,1,5,"D(5) H(7) R(10) R(9) R(11)",0.6885,0.9983,0.6852,2.3720,no
mol_5,1,5,"D(6) H(7) R(8) R(9) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_6,1,5,"D(5) H(7) R(9) R(8) R(11)",0.8151,0.8177,0.6973,2.3302,no
mol_7,1,5,"D(5) H(6) R(9) R(8) R(10)",0.8376,0.7115,0.6461,2.1952,no
mol_8,1,5,"D(5) H(7) R(9) R(8) R(10)",0.9091,0.9726,0.8463,2.7280,no
mol_11,1,5,"D(5) H(6) R(8) R(7) R(9)",0.9573,0.9903,0.9430,2.8906,no
mol_12,1,5,"D(5) H(6) R(8) R(7) R(9)",0.8489,0.7197,0.7073,2.2760,no
mol_13,1,5,"D(4) H(5) R(8) R(7) R(9)",0.7190,0.8671,0.6782,2.2644,no
mol_14,1,5,"D(5) H(6) R(9) R(8) R(10)",0.8526,0.7197,0.6286,2.2009,no
mol_15,1,5,"D(4) H(5) R(7) R(6) R(8)",0.8385,0.7103,0.7301,2.2788,no
mol_16,1,5,"D(5) H(7) R(10) R(9) R(11)",0.8446,0.8890,0.6627,2.3964,no
mol_19,1,5,"D(5) H(7) R(9) R(8) R(10)",0.7842,0.7386,0.7266,2.2494,no
mol_20,1,5,"D(4) H(5) R(8) R(7) R(9)",0.7248,0.7250,0.6291,2.0789,no
mol_21,1,5,"D(5) H(6) R(9) R(8) R(10)",0.9669,0.9986,0.8275,2.7931,no
mol_22,1,5,"D(6) H(7) R(10) R(9) R(11)",0.7239,0.5990,0.5343,1.8571,no
mol_23,1,5,"D(5) H(7) R(10) R(9) R(11)",0.9373,0.9967,0.7853,2.7194,no
mol_24,1,5,"D(4) H(5) R(8) R(7) R(9)",0.9363,0.9990,0.8266,2.7619,no
mol_25,1,5,"D(5) H(7) R(10) R(9) R(11)",0.7153,0.8575,0.5918,2.1647,no
mol_26,1,5,"D(6) H(7) R(8) R(9) R(10)",0.9798,0.9996,0.9823,2.9617,no
mol_27,1,5,"D(4) H(6) R(8) R(7) R(9)",0.6903,0.9369,0.7378,2.3650,no
