Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_2,1,4,"H(6) R(8) R(10) R(11)",0.9779,0.9995,0.6719,2.6493,no
mol_3,1,4,"H(7) R(8) R(10) R(11)",0.9858,0.8395,0.7147,2.5400,no
mol_4,1,4,"H(7) R(9) R(11) R(12)",0.9614,0.9989,0.6874,2.6477,no
mol_5,1,4,"H(7) R(9) R(10) R(11)",1.0000,1.0000,1.0000,3.0000,yes
mol_6,1,4,"H(7) R(8) R(11) R(10)",0.8809,0.9806,0.7001,2.5616,no
mol_7,1,4,"H(6) R(8) R(10) R(11)",0.9630,0.8454,0.6578,2.4662,no
mol_8,1,4,"H(7) R(8) R(10) R(11)",0.9639,0.9994,0.8542,2.8176,no
mol_9,1,4,"H(5) R(9) R(11) R(8)",0.8767,0.9993,0.7980,2.6740,no
mol_11,1,4,"H(6) R(7) R(9) R(10)",0.9760,0.9987,0.9443,2.9190,no
mol_12,1,4,"H(6) R(7) R(9) R(10)",0.9603,0.8327,0.7217,2.5146,no
mol_13,1,4,"H(5) R(7) R(9) R(10)",0.9586,0.9989,0.7096,2.6671,no
mol_14,1,4,"H(6) R(8) R(10) R(11)",0.9303,0.8232,0.6328,2.3863,no
mol_15,1,4,"H(5) R(6) R(8) R(9)",0.9679,0.8324,0.7555,2.5557,no
mol_16,1,4,"H(7) R(9) R(11) R(12)",0.9827,0.9993,0.6726,2.6546,no
mol_17,1,4,"H(4) R(5) R(7) R(8)",0.9711,0.9961,0.9067,2.8740,no
mol_19,1,4,"H(7) R(8) R(10) R(11)",0.9829,0.9297,0.7477,2.6603,no
mol_20,1,4,"H(5) R(7) R(9) R(10)",0.9596,0.8410,0.6389,2.4396,no
mol_21,1,4,"H(6) R(8) R(10) R(11)",0.9812,0.9996,0.8324,2.8131,no
mol_22,1,4,"H(7) R(9) R(11) R(12)",0.9750,0.8426,0.5895,2.4071,no
mol_23,1,4,"H(7) R(9) R(11) R(12)",0.9671,0.9997,0.7940,2.7608,no
mol_24,1,4,"H(5) R(7) R(9) R(10)",0.9805,0.9997,0.8276,2.8077,no
mol_25,1,4,"H(7) R(9) R(11) R(12)",0.8771,0.8797,0.5835,2.3403,no
mol_26,1,4,"H(7) R(9) R(10) R(11)",0.9897,0.9999,0.9853,2.9749,no
mol_27,1,4,"H(6) R(7) R(9) R(10)",0.9682,0.9995,0.7908,2.7584,no
