Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"H(6) R(8) R(9)",0.9887,0.9803,0.8663,2.8354,no
mol_2,1,3,"H(6) R(8) R(9)",0.9761,0.8501,0.5831,2.4093,no
mol_3,1,3,"H(7) R(8) R(9)",0.9964,0.6208,0.6659,2.2831,no
mol_4,1,3,"H(7) R(9) R(10)",0.9810,0.9635,0.6246,2.5692,no
mol_5,1,3,"H(7) R(9) R(8)",0.9741,0.9871,0.9132,2.8744,no
mol_6,1,3,"H(7) R(8) R(9)",0.9588,0.7656,0.5890,2.3134,no
mol_7,1,3,"H(6) R(8) R(9)",0.9939,0.6092,0.5720,2.1751,no
mol_8,1,3,"H(7) R(8) R(9)",0.9765,0.9876,0.8673,2.8315,no
mol_9,1,3,"H(5) R(9) R(10)",0.9836,0.9689,0.7434,2.6959,no
mol_10,1,3,"H(6) R(10) R(8)",0.8320,0.8030,0.5973,2.2324,no
mol_11,1,3,"H(6) R(7) R(8)",1.0000,1.0000,1.0000,3.0000,yes
mol_12,1,3,"H(6) R(7) R(8)",0.9814,0.6758,0.6149,2.2721,no
mol_13,1,3,"H(5) R(7) R(8)",0.9690,0.8815,0.6393,2.4898,no
mol_14,1,3,"H(6) R(8) R(9)",0.9810,0.7173,0.5346,2.2329,no
mol_15,1,3,"H(5) R(6) R(7)",0.9803,0.6396,0.6407,2.2605,no
mol_16,1,3,"H(7) R(9) R(10)",0.9815,0.8289,0.5756,2.3860,no
mol_17,1,3,"H(4) R(5) R(6)",0.9838,0.9978,0.9552,2.9368,no
mol_18,1,3,"H(5) R(8) R(7)",0.9683,0.6490,0.6360,2.2533,no
mol_19,1,3,"H(7) R(8) R(9)",0.9864,0.6209,0.6447,2.2520,no
mol_20,1,3,"H(5) R(7) R(8)",0.9668,0.6340,0.5733,2.1741,no
mol_21,1,3,"H(6) R(8) R(9)",0.9934,0.9698,0.7409,2.7041,no
mol_22,1,3,"H(7) R(9) R(10)",0.9922,0.8059,0.5891,2.3872,no
mol_23,1,3,"H(7) R(9) R(10)",0.9966,0.9208,0.6521,2.5695,no
mol_24,1,3,"H(5) R(7) R(8)",0.9781,0.9635,0.7331,2.6747,no
mol_25,1,3,"H(7) R(9) R(10)",0.9623,0.9566,0.5719,2.4909,no
mol_26,1,3,"H(7) R(9) R(8)",0.9804,0.9757,0.8745,2.8306,no
mol_27,1,3,"H(6) R(7) R(8)",0.9760,0.9499,0.7116,2.6376,no
