Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,5,"A(3) D(7) R(11) R(12) R(13)",1.0000,1.0000,1.0000,3.0000,yes
mol_2,1,5,"A(3) D(5) R(10) R(11) R(12)",0.7477,0.7746,0.6541,2.1764,no
mol_3,1,5,"A(3) D(7) R(12) R(13) R(14)",0.9924,0.9999,0.9801,2.9724,no
mol_4,1,5,"A(4) D(7) R(11) R(13) R(14)",0.4150,0.9590,0.5957,1.9697,no
mol_5,1,5,"A(3) D(7) R(9) R(10) R(11)",0.7314,0.7698,0.6584,2.1596,no
mol_6,1,5,"A(3) D(7) R(11) R(12) R(13)",0.9757,0.9999,0.9748,2.9504,no
mol_7,1,5,"A(4) D(6) R(12) R(15) R(14)",0.4125,0.8606,0.5368,1.8099,no
mol_8,1,5,"A(4) D(7) R(11) R(13) R(14)",0.4167,0.8537,0.5423,1.8128,no
mol_9,1,5,"A(3) D(5) R(12) R(13) R(14)",0.7524,0.7763,0.6501,2.1788,no
mol_10,1,5,"A(4) D(7) R(11) R(13) R(14)",0.4173,0.8510,0.5402,1.8085,no
mol_11,1,5,"A(3) D(7) R(11) R(12) R(13)",0.9900,0.9999,0.9643,2.9543,no
mol_12,1,5,"A(3) D(6) R(11) R(12) R(13)",0.8833,0.9900,0.8602,2.7335,no
mol_13,1,5,"A(3) D(6) R(11) R(12) R(13)",0.8733,0.9823,0.8034,2.6591,no
mol_14,1,5,"A(4) D(7) R(10) R(12) R(13)",0.4153,0.8540,0.5494,1.8187,no
mol_15,1,5,"A(3) D(7) R(10) R(11) R(12)",0.9883,1.0000,0.9793,2.9676,no
mol_16,1,5,"A(3) D(5) R(11) R(12) R(13)",0.6923,0.7559,0.5971,2.0453,no
mol_17,1,5,"A(3) D(5) R(11) R(12) R(13)",0.7391,0.7690,0.6466,2.1547,no
mol_18,1,5,"A(3) D(6) R(11) R(12) R(13)",0.8632,0.9878,0.8220,2.6731,no
mol_19,1,5,"A(4) D(7) R(12) R(13) R(14)",0.8257,0.8114,0.7181,2.3552,no
mol_20,1,5,"A(4) D(7) R(12) R(13) R(14)",0.8348,0.9773,0.7701,2.5823,no
mol_21,1,5,"A(4) D(6) R(12) R(13) R(14)",0.7520,0.9694,0.7678,2.4893,no
mol_22,1,5,"A(3) D(5) R(12) R(13) R(14)",0.7078,0.7966,0.6616,2.1660,no
