Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"A(3) R(12) R(13)",1.0000,1.0000,1.0000,3.0000,yes
mol_2,1,3,"A(3) R(12) R(11)",0.9858,0.9958,0.4308,2.4125,no
mol_3,1,3,"A(3) R(13) R(14)",0.9985,1.0000,0.9757,2.9741,no
mol_4,1,3,"A(4) R(13) R(14)",0.9738,0.9890,0.6554,2.6183,no
mol_5,1,3,"A(3) R(11) R(10)",0.9889,0.9977,0.4307,2.4172,no
mol_6,1,3,"A(3) R(12) R(13)",0.9965,0.9997,0.9572,2.9534,no
mol_7,1,3,"A(4) R(14) R(15)",0.9834,0.9959,0.4195,2.3989,no
mol_8,1,3,"A(4) R(14) R(13)",0.9849,0.9978,0.4326,2.4154,no
mol_9,1,3,"A(3) R(14) R(13)",0.9868,0.9959,0.4196,2.4022,no
mol_10,1,3,"A(4) R(14) R(13)",0.9872,0.9946,0.3980,2.3798,no
mol_11,1,3,"A(3) R(12) R(13)",0.9940,0.9998,0.9586,2.9524,no
mol_12,1,3,"A(3) R(12) R(13)",0.9953,0.9992,0.8185,2.8129,no
mol_13,1,3,"A(3) R(12) R(13)",0.9906,0.9975,0.7984,2.7865,no
mol_14,1,3,"A(4) R(13) R(12)",0.9847,0.9974,0.4015,2.3836,no
mol_15,1,3,"A(3) R(11) R(12)",0.9993,0.9999,0.9718,2.9709,no
mol_16,1,3,"A(3) R(13) R(12)",0.9908,0.9959,0.4309,2.4176,no
mol_17,1,3,"A(3) R(13) R(12)",0.9889,0.9975,0.4663,2.4527,no
mol_18,1,3,"A(3) R(12) R(13)",0.9966,0.9992,0.7687,2.7646,no
mol_19,1,3,"A(4) R(13) R(14)",0.9933,0.7478,0.6831,2.4242,no
mol_20,1,3,"A(4) R(13) R(14)",0.9937,0.9989,0.7520,2.7446,no
mol_21,1,3,"A(4) R(13) R(14)",0.9935,0.9974,0.6720,2.6628,no
mol_22,1,3,"A(3) R(13) R(14)",0.9756,0.8033,0.6091,2.3881,no
