Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(2) R(9) R(12) R(13)",0.9764,0.9922,0.8331,2.8017,no
mol_2,1,4,"A(2) R(10) R(12) R(13)",1.0000,1.0000,1.0000,3.0000,yes
mol_3,1,4,"A(2) R(9) R(12) R(13)",0.9781,0.9984,0.9170,2.8935,no
mol_4,1,4,"A(3) R(10) R(13) R(14)",0.9653,0.9986,0.9223,2.8861,no
mol_5,1,4,"A(4) R(12) R(15) R(16)",0.9912,0.8891,0.5220,2.4023,no
mol_6,1,4,"A(3) R(10) R(13) R(14)",0.9573,0.9964,0.5759,2.5296,no
mol_7,1,4,"A(4) R(12) R(15) R(16)",0.9766,0.8599,0.4735,2.3100,no
mol_8,1,4,"A(3) R(10) R(13) R(14)",0.9743,0.9993,0.9347,2.9082,no
mol_9,1,4,"A(3) R(10) R(13) R(14)",0.9531,0.9310,0.8070,2.6912,no
mol_10,1,4,"A(2) R(10) R(12) R(13)",0.9435,0.9163,0.7728,2.6326,no
mol_11,1,4,"A(4) R(11) R(14) R(15)",0.9104,0.9671,0.5065,2.3840,no
mol_12,1,4,"A(1) R(8) R(10) R(11)",0.9549,0.8287,0.5352,2.3189,no
mol_13,1,4,"A(5) R(12) R(15) R(16)",0.9544,0.9954,0.8037,2.7535,no
mol_14,1,4,"A(2) R(11) R(13) R(14)",0.9676,0.9002,0.6864,2.5543,no
mol_15,1,4,"A(3) R(11) R(13) R(14)",0.9951,0.9811,0.7769,2.7531,no
mol_16,1,4,"A(2) R(10) R(12) R(13)",0.9411,0.9651,0.5773,2.4835,no
mol_17,1,4,"A(2) R(11) R(13) R(14)",0.9438,0.9842,0.5968,2.5248,no
mol_18,1,4,"A(4) R(11) R(14) R(15)",0.9045,0.8021,0.6604,2.3670,no
mol_19,1,4,"A(3) R(11) R(13) R(14)",0.9494,0.9450,0.7898,2.6842,no
mol_20,1,4,"A(3) R(10) R(13) R(14)",0.9663,0.9979,0.8952,2.8594,no
mol_21,1,4,"A(3) R(11) R(13) R(14)",0.9793,0.9970,0.8902,2.8666,no
mol_22,1,4,"A(2) R(12) R(14) R(15)",0.9452,0.9105,0.7973,2.6531,no
mol_23,1,4,"A(1) R(8) R(10) R(11)",0.9528,0.9328,0.5389,2.4245,no
mol_24,1,4,"A(3) R(10) R(13) R(14)",0.9653,0.9949,0.8467,2.8069,no
mol_25,1,4,"A(4) R(12) R(15) R(16)",0.9253,0.9637,0.4997,2.3888,no
mol_26,1,4,"A(4) R(11) R(14) R(15)",0.9721,0.8327,0.4773,2.2820,no
mol_27,1,4,"A(3) R(10) R(13) R(14)",0.9581,0.8143,0.4942,2.2665,no
mol_28,1,4,"A(4) R(12) R(14) R(15)",0.9794,0.9973,0.5796,2.5563,no
mol_29,1,4,"A(2) R(11) R(13) R(14)",0.9694,0.8514,0.5446,2.3654,no
mol_30,1,4,"A(4) R(12) R(15) R(16)",0.9566,0.7955,0.6012,2.3532,no
mol_31,1,4,"A(4) R(11) R(14) R(15)",0.9645,0.8147,0.4718,2.2510,no
mol_32,1,4,"A(5) R(12) R(15) R(16)",0.9477,0.9631,0.4909,2.4017,no
mol_33,1,4,"A(3) R(11) R(13) R(14)",0.9798,0.7968,0.4489,2.2254,no
mol_34,1,4,"A(3) R(12) R(14) R(15)",0.9651,0.9906,0.8207,2.7764,no
mol_35,1,4,"A(1) R(8) R(10) R(11)",0.9574,0.8318,0.5372,2.3264,no
mol_36,1,4,"A(1) R(8) R(10) R(11)",0.9602,0.8677,0.5524,2.3803,no
mol_37,1,4,"A(1) R(8) R(10) R(11)",0.9569,0.8295,0.5361,2.3225,no
