Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"D(6) R(12) R(13)",0.9968,0.9998,0.8507,2.8473,no
mol_2,1,3,"D(3) R(12) R(13)",1.0000,1.0000,1.0000,3.0000,yes
mol_3,1,3,"D(6) R(12) R(13)",0.9964,0.9994,0.9333,2.9291,no
mol_4,1,3,"D(6) R(13) R(14)",0.9915,0.9985,0.9282,2.9182,no
mol_5,1,3,"D(9) R(15) R(16)",0.9983,0.8766,0.5158,2.3907,no
mol_6,1,3,"D(6) R(13) R(14)",0.9930,0.9995,0.5640,2.5566,no
mol_7,1,3,"D(8) R(15) R(16)",0.9943,0.8834,0.4698,2.3475,no
mol_8,1,3,"D(6) R(13) R(14)",0.9901,0.9992,0.9225,2.9117,no
mol_9,1,3,"D(4) R(13) R(14)",0.9873,0.9470,0.8148,2.7491,no
mol_10,1,3,"D(5) R(12) R(13)",0.9929,0.9440,0.8387,2.7757,no
mol_11,1,3,"D(7) R(14) R(15)",0.9919,0.9964,0.4908,2.4791,no
mol_12,1,3,"D(2) R(10) R(11)",0.9885,0.8984,0.5571,2.4440,no
mol_13,1,3,"D(9) R(15) R(16)",0.9973,0.9978,0.8142,2.8094,no
mol_14,1,3,"D(5) R(13) R(14)",0.9914,0.9088,0.6992,2.5993,no
mol_15,1,3,"D(7) R(13) R(14)",0.9969,1.0000,0.7818,2.7787,no
mol_16,1,3,"D(3) R(12) R(13)",0.9992,0.9985,0.5631,2.5608,no
mol_17,1,3,"D(3) R(13) R(14)",0.9754,0.9851,0.5843,2.5448,no
mol_18,1,3,"D(8) R(14) R(15)",0.9965,0.7486,0.6250,2.3701,no
mol_19,1,3,"D(6) R(13) R(14)",0.9852,0.9624,0.7835,2.7311,no
mol_20,1,3,"D(6) R(13) R(14)",0.9882,0.9979,0.9073,2.8934,no
mol_21,1,3,"D(6) R(13) R(14)",0.9896,0.9984,0.9027,2.8908,no
mol_22,1,3,"D(7) R(14) R(15)",0.9943,0.9382,0.8586,2.7911,no
mol_23,1,3,"D(2) R(10) R(11)",0.9775,0.9956,0.5402,2.5134,no
mol_24,1,3,"D(6) R(13) R(14)",0.9981,0.9993,0.8591,2.8566,no
mol_25,1,3,"D(7) R(15) R(16)",0.9933,0.9969,0.4848,2.4750,no
mol_26,1,3,"D(8) R(14) R(15)",0.9926,0.9027,0.4916,2.3868,no
mol_27,1,3,"D(6) R(13) R(14)",0.9969,0.7578,0.5039,2.2586,no
mol_28,1,3,"D(5) R(14) R(15)",0.9970,0.9998,0.5702,2.5671,no
mol_29,1,3,"D(3) R(13) R(14)",0.9966,0.8889,0.5600,2.4456,no
mol_30,1,3,"D(7) R(15) R(16)",0.9966,0.7621,0.6060,2.3647,no
mol_31,1,3,"D(8) R(14) R(15)",0.9918,0.9057,0.4890,2.3865,no
mol_32,1,3,"D(9) R(15) R(16)",0.9910,0.9996,0.4794,2.4700,no
mol_33,1,3,"D(7) R(13) R(14)",0.9972,0.9003,0.4549,2.3524,no
mol_34,1,3,"D(4) R(14) R(15)",0.9914,0.9990,0.8514,2.8418,no
mol_35,1,3,"D(2) R(10) R(11)",0.9888,0.8983,0.5583,2.4455,no
mol_36,1,3,"D(2) R(10) R(11)",0.9965,0.9333,0.5511,2.4808,no
mol_37,1,3,"D(2) R(10) R(11)",0.9895,0.8963,0.5578,2.4437,no
