Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"R(9) R(12) R(13)",0.9982,0.9945,0.8649,2.8577,no
mol_2,1,3,"R(10) R(12) R(13)",1.0000,1.0000,1.0000,3.0000,yes
mol_3,1,3,"R(9) R(12) R(13)",0.9953,0.9983,0.9306,2.9242,no
mol_4,1,3,"R(10) R(13) R(14)",0.9919,0.9940,0.9066,2.8925,no
mol_5,1,3,"R(12) R(15) R(16)",0.9974,0.8599,0.5222,2.3795,no
mol_6,1,3,"R(10) R(13) R(14)",0.9734,0.9762,0.5637,2.5133,no
mol_7,1,3,"R(12) R(15) R(16)",0.9758,0.8103,0.4730,2.2591,no
mol_8,1,3,"R(10) R(13) R(14)",0.9844,0.9980,0.9186,2.9010,no
mol_9,1,3,"R(10) R(13) R(14)",0.9760,0.9439,0.8327,2.7526,no
mol_10,1,3,"R(10) R(12) R(13)",0.9876,0.9443,0.8429,2.7749,no
mol_11,1,3,"R(11) R(14) R(15)",0.9573,0.8595,0.4910,2.3078,no
mol_12,1,3,"R(8) R(10) R(11)",0.9716,0.8399,0.5579,2.3694,no
mol_13,1,3,"R(12) R(15) R(16)",0.9838,0.9875,0.8256,2.7969,no
mol_14,1,3,"R(11) R(13) R(14)",0.9788,0.8250,0.6422,2.4460,no
mol_15,1,3,"R(11) R(13) R(14)",0.9983,0.9770,0.7850,2.7603,no
mol_16,1,3,"R(10) R(12) R(13)",0.9765,0.8903,0.5562,2.4230,no
mol_17,1,3,"R(11) R(13) R(14)",0.9789,0.9771,0.5931,2.5490,no
mol_18,1,3,"R(11) R(14) R(15)",0.9757,0.6526,0.5787,2.2070,no
mol_19,1,3,"R(11) R(13) R(14)",0.9755,0.9581,0.7978,2.7314,no
mol_20,1,3,"R(10) R(13) R(14)",0.9875,0.9943,0.8944,2.8762,no
mol_21,1,3,"R(11) R(13) R(14)",0.9884,0.9974,0.9039,2.8897,no
mol_22,1,3,"R(12) R(14) R(15)",0.9841,0.9383,0.8639,2.7863,no
mol_23,1,3,"R(8) R(10) R(11)",0.9608,0.9308,0.5434,2.4350,no
mol_24,1,3,"R(10) R(13) R(14)",0.9905,0.9933,0.8865,2.8702,no
mol_25,1,3,"R(12) R(15) R(16)",0.9607,0.8738,0.4854,2.3198,no
mol_26,1,3,"R(11) R(14) R(15)",0.9948,0.8289,0.4887,2.3123,no
mol_27,1,3,"R(10) R(13) R(14)",0.9883,0.7317,0.4809,2.2009,no
mol_28,1,3,"R(12) R(14) R(15)",0.9823,0.9916,0.5742,2.5481,no
mol_29,1,3,"R(11) R(13) R(14)",0.9840,0.8499,0.5589,2.3927,no
mol_30,1,3,"R(12) R(15) R(16)",0.9957,0.6876,0.5495,2.2329,no
mol_31,1,3,"R(11) R(14) R(15)",0.9952,0.8224,0.4872,2.3048,no
mol_32,1,3,"R(12) R(15) R(16)",0.9608,0.9137,0.4824,2.3569,no
mol_33,1,3,"R(11) R(13) R(14)",0.9971,0.7712,0.4519,2.2202,no
mol_34,1,3,"R(12) R(14) R(15)",0.9913,0.9932,0.8633,2.8479,no
mol_35,1,3,"R(8) R(10) R(11)",0.9713,0.8366,0.5582,2.3661,no
mol_36,1,3,"R(8) R(10) R(11)",0.9722,0.7815,0.5386,2.2923,no
mol_37,1,3,"R(8) R(10) R(11)",0.9735,0.8390,0.5584,2.3709,no
