Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,5,"A(1) A(2) D(3) R(6) R(7)",0.9136,0.9969,0.6291,2.5397,no
mol_2,1,5,"A(1) A(3) D(5) R(10) R(11)",0.9671,0.9997,0.6639,2.6307,no
mol_3,1,5,"A(1) A(3) D(5) R(10) R(11)",0.9417,0.9981,0.6868,2.6266,no
mol_4,1,5,"A(1) A(2) D(3) R(7) R(8)",0.5145,0.9643,0.5265,2.0052,no
mol_5,1,5,"A(2) A(1) D(3) R(8) R(9)",0.9158,0.9983,0.5869,2.5010,no
mol_6,1,5,"A(1) A(3) D(4) R(7) R(8)",0.9445,0.9992,0.6406,2.5842,no
mol_7,1,5,"A(1) A(3) D(5) R(8) R(9)",0.4707,0.9711,0.4514,1.8932,no
mol_8,1,5,"A(1) A(3) D(5) R(10) R(11)",0.9559,0.9994,0.5853,2.5407,no
mol_9,1,5,"A(1) A(4) D(6) R(10) R(11)",0.5688,0.8948,0.4869,1.9505,no
mol_10,1,5,"A(1) A(2) D(5) R(8) R(9)",0.9124,0.9963,0.6481,2.5568,no
mol_11,1,5,"A(1) A(2) D(3) R(7) R(8)",0.9224,0.9973,0.6300,2.5497,no
mol_12,1,5,"A(1) A(2) D(3) R(7) R(8)",0.8896,0.9958,0.6400,2.5253,no
mol_13,1,5,"A(1) A(3) D(5) R(8) R(9)",0.9748,0.9997,0.6323,2.6068,no
mol_14,1,5,"A(1) A(2) D(5) R(8) R(9)",0.9303,0.9976,0.6324,2.5603,no
mol_15,1,5,"A(2) A(1) D(3) R(7) R(8)",0.9143,0.9983,0.5666,2.4793,no
mol_16,1,5,"A(1) A(3) D(5) R(8) R(9)",0.9001,0.9986,0.6244,2.5231,no
mol_17,1,5,"A(1) A(2) D(3) R(7) R(8)",0.9173,0.9965,0.6493,2.5631,no
mol_18,1,5,"A(1) A(3) D(5) R(8) R(9)",0.9587,0.9995,0.6851,2.6433,no
mol_19,1,5,"A(1) A(2) D(3) R(6) R(7)",0.9136,0.9969,0.6291,2.5397,no
mol_20,1,5,"A(1) A(3) D(5) R(8) R(9)",0.5385,0.9790,0.5002,2.0177,no
mol_21,1,5,"A(2) A(3) D(4) R(7) R(8)",0.1336,0.7897,0.3934,1.3167,no
mol_23,1,5,"A(1) A(2) D(3) R(7) R(8)",0.9310,0.9978,0.6674,2.5962,no
mol_24,1,5,"A(1) A(4) D(5) R(8) R(9)",0.9614,0.9983,0.5741,2.5338,no
mol_27,1,5,"A(1) A(3) D(6) R(10) R(11)",0.9598,0.9991,0.6515,2.6104,no
mol_28,1,5,"A(1) A(3) D(5) R(8) R(9)",0.9684,0.9991,0.7613,2.7287,no
mol_29,1,5,"A(1) A(2) D(3) R(8) R(9)",0.5197,0.9663,0.5510,2.0370,no
mol_31,1,5,"A(1) A(2) D(3) R(6) R(8)",0.9373,0.9986,0.6527,2.5887,no
mol_32,1,5,"A(1) A(2) D(3) R(7) R(8)",0.9203,0.9971,0.6269,2.5442,no
mol_33,1,5,"A(2) A(3) D(4) R(9) R(8)",0.4444,0.7342,0.4265,1.6051,no
mol_35,1,5,"A(1) A(4) D(5) R(8) R(9)",0.5469,0.9781,0.6188,2.1438,no
mol_36,1,5,"A(1) A(3) D(5) R(9) R(10)",0.5269,0.9771,0.7098,2.2138,no
mol_37,1,5,"A(3) A(4) D(6) R(11) R(10)",0.6270,0.6142,0.3764,1.6176,no
mol_38,1,5,"A(1) A(3) D(5) R(10) R(11)",0.9052,0.9959,0.6308,2.5319,no
mol_39,1,5,"A(1) A(2) D(3) R(8) R(9)",0.9224,0.9969,0.6492,2.5685,no
mol_40,1,5,"A(1) A(2) D(3) R(7) R(8)",0.9100,0.9963,0.6479,2.5542,no
mol_41,1,5,"A(1) A(2) D(3) R(7) R(8)",0.9962,0.9999,0.6531,2.6492,no
mol_42,1,5,"A(1) A(2) D(7) R(10) R(11)",0.9226,0.9991,0.6526,2.5743,no
mol_43,1,5,"A(1) A(2) D(3) R(7) R(8)",0.9656,0.9998,0.6457,2.6111,no
mol_44,1,5,"A(1) A(2) D(5) R(9) R(10)",0.9410,0.9985,0.6569,2.5964,no
mol_45,1,5,"A(1) A(3) D(5) R(10) R(11)",1.0000,1.0000,1.0000,3.0000,yes
mol_46,1,5,"A(1) A(3) D(5) R(8) R(9)",0.9022,0.9958,0.6426,2.5407,no
mol_47,1,5,"A(1) A(3) D(5) R(8) R(9)",0.5411,0.9747,0.5833,2.0991,no
mol_48,1,5,"A(1) A(3) D(5) R(8) R(9)",0.9001,0.9986,0.6244,2.5231,no
