Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(1) A(2) D(3) R(6)",0.9091,0.9980,0.6298,2.5369,no
mol_2,1,4,"A(1) A(3) D(5) R(10)",0.9641,0.9997,0.6638,2.6276,no
mol_3,1,4,"A(1) A(3) D(5) R(10)",0.9377,0.9981,0.6878,2.6237,no
mol_4,1,4,"A(1) A(2) D(3) R(7)",0.6534,0.9552,0.5322,2.1408,no
mol_5,1,4,"A(2) A(1) D(3) R(8)",0.9159,0.9991,0.5885,2.5035,no
mol_6,1,4,"A(1) A(3) D(4) R(7)",0.9400,0.9992,0.6415,2.5807,no
mol_7,1,4,"A(1) A(3) D(5) R(8)",0.5901,0.9717,0.4562,2.0180,no
mol_8,1,4,"A(1) A(3) D(5) R(10)",0.9526,0.9994,0.5847,2.5367,no
mol_9,1,4,"A(1) A(4) D(6) R(10)",0.6853,0.9638,0.4861,2.1351,no
mol_10,1,4,"A(1) A(2) D(5) R(8)",0.9091,0.9980,0.6494,2.5564,no
mol_11,1,4,"A(1) A(2) D(3) R(7)",0.9192,0.9985,0.6305,2.5482,no
mol_12,1,4,"A(1) A(2) D(3) R(7)",0.8836,0.9980,0.6414,2.5231,no
mol_13,1,4,"A(1) A(3) D(5) R(8)",0.9731,0.9998,0.6319,2.6048,no
mol_14,1,4,"A(1) A(2) D(5) R(8)",0.9265,0.9983,0.6327,2.5576,no
mol_15,1,4,"A(2) A(1) D(3) R(7)",0.9144,0.9990,0.5680,2.4814,no
mol_16,1,4,"A(1) A(3) D(5) R(8)",0.8919,0.9986,0.6236,2.5140,no
mol_17,1,4,"A(1) A(2) D(3) R(7)",0.9153,0.9984,0.6506,2.5643,no
mol_18,1,4,"A(1) A(3) D(5) R(8)",0.9559,0.9996,0.6857,2.6413,no
mol_19,1,4,"A(1) A(2) D(3) R(6)",0.9091,0.9980,0.6298,2.5369,no
mol_20,1,4,"A(1) A(3) D(5) R(8)",0.6921,0.9679,0.5011,2.1611,no
mol_21,1,4,"A(2) A(3) D(4) R(7)",0.2072,0.7702,0.3620,1.3395,no
mol_23,1,4,"A(1) A(2) D(3) R(7)",0.9270,0.9981,0.6686,2.5937,no
mol_24,1,4,"A(1) A(4) D(5) R(8)",0.9576,0.9979,0.5743,2.5297,no
mol_27,1,4,"A(1) A(3) D(6) R(10)",0.9562,0.9990,0.6513,2.6065,no
mol_28,1,4,"A(1) A(3) D(5) R(8)",0.9673,0.9992,0.7601,2.7267,no
mol_29,1,4,"A(1) A(2) D(3) R(8)",0.6607,0.9567,0.5569,2.1742,no
mol_31,1,4,"A(1) A(2) D(3) R(6)",0.9331,0.9989,0.6533,2.5852,no
mol_32,1,4,"A(1) A(2) D(3) R(7)",0.9171,0.9983,0.6274,2.5429,no
mol_33,1,4,"A(2) A(3) D(4) R(9)",0.5218,0.6732,0.4094,1.6044,no
mol_35,1,4,"A(1) A(4) D(5) R(8)",0.7045,0.9656,0.6199,2.2900,no
mol_36,1,4,"A(1) A(3) D(5) R(9)",0.6748,0.9671,0.7044,2.3463,no
mol_37,1,4,"A(3) A(4) D(6) R(11)",0.6769,0.5403,0.3750,1.5922,no
mol_38,1,4,"A(1) A(3) D(5) R(10)",0.9028,0.9985,0.6351,2.5364,no
mol_39,1,4,"A(1) A(2) D(3) R(8)",0.9207,0.9986,0.6503,2.5696,no
mol_40,1,4,"A(1) A(2) D(3) R(7)",0.9059,0.9978,0.6492,2.5529,no
mol_41,1,4,"A(1) A(2) D(3) R(7)",0.9965,1.0000,0.6530,2.6494,no
mol_42,1,4,"A(1) A(2) D(7) R(10)",0.9162,0.9991,0.6518,2.5672,no
mol_43,1,4,"A(1) A(2) D(3) R(7)",0.9636,0.9999,0.6452,2.6087,no
mol_44,1,4,"A(1) A(2) D(5) R(9)",0.9390,0.9990,0.6576,2.5956,no
mol_45,1,4,"A(1) A(3) D(5) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_46,1,4,"A(1) A(3) D(5) R(8)",0.8998,0.9985,0.6469,2.5451,no
mol_47,1,4,"A(1) A(3) D(5) R(8)",0.6933,0.9622,0.5800,2.2354,no
mol_48,1,4,"A(1) A(3) D(5) R(8)",0.8919,0.9986,0.6236,2.5140,no
