Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"A(1) A(2) D(3)",0.9986,1.0000,0.9760,2.9746,no
mol_2,1,3,"A(1) A(3) D(5)",0.9921,0.9999,0.6482,2.6403,no
mol_3,1,3,"A(1) A(3) D(5)",0.9927,0.9999,0.8537,2.8463,no
mol_4,1,3,"A(1) A(2) D(3)",0.6762,0.9555,0.7376,2.3693,no
mol_5,1,3,"A(2) A(1) D(3)",0.9798,0.9999,0.8409,2.8206,no
mol_6,1,3,"A(1) A(3) D(4)",0.9930,0.9999,0.7361,2.7290,no
mol_7,1,3,"A(1) A(3) D(5)",0.6788,0.9560,0.5314,2.1662,no
mol_8,1,3,"A(1) A(3) D(5)",0.9928,0.9999,0.6269,2.6197,no
mol_9,1,3,"A(1) A(4) D(6)",0.6822,0.9585,0.5847,2.2254,no
mol_10,1,3,"A(1) A(2) D(5)",0.9997,1.0000,0.9843,2.9839,no
mol_11,1,3,"A(1) A(2) D(3)",0.9990,1.0000,0.9519,2.9509,no
mol_12,1,3,"A(1) A(2) D(3)",0.9974,1.0000,0.9798,2.9772,no
mol_13,1,3,"A(1) A(3) D(5)",0.9872,0.9998,0.8594,2.8465,no
mol_14,1,3,"A(1) A(2) D(5)",0.9979,1.0000,0.9445,2.9424,no
mol_15,1,3,"A(2) A(1) D(3)",0.9796,0.9999,0.8277,2.8073,no
mol_16,1,3,"A(1) A(3) D(5)",0.9896,0.9995,0.8501,2.8392,no
mol_17,1,3,"A(1) A(2) D(3)",0.9994,1.0000,0.9795,2.9788,no
mol_18,1,3,"A(1) A(3) D(5)",0.9943,1.0000,0.6954,2.6897,no
mol_19,1,3,"A(1) A(2) D(3)",0.9986,1.0000,0.9760,2.9746,no
mol_20,1,3,"A(1) A(3) D(5)",0.7044,0.9579,0.5746,2.2369,no
mol_21,1,3,"A(1) A(3) D(4)",0.9931,0.9945,0.4394,2.4270,no
mol_22,1,3,"A(1) A(2) D(3)",0.9884,0.9939,0.4060,2.3883,no
mol_23,1,3,"A(1) A(2) D(3)",0.9936,1.0000,0.9098,2.9034,no
mol_24,1,3,"A(1) A(4) D(5)",0.9887,0.9999,0.7420,2.7306,no
mol_25,1,3,"A(1) A(2) D(3)",0.9986,0.9954,0.4785,2.4726,no
mol_26,1,3,"A(1) A(2) D(3)",0.9925,0.9939,0.4078,2.3942,no
mol_27,1,3,"A(1) A(3) D(6)",0.9910,0.9999,0.8857,2.8766,no
mol_28,1,3,"A(1) A(3) D(5)",0.9850,0.9998,0.7742,2.7589,no
mol_29,1,3,"A(1) A(2) D(3)",0.6784,0.9557,0.7554,2.3895,no
mol_30,1,3,"A(1) A(2) D(3)",0.9984,0.9999,0.5540,2.5523,no
mol_31,1,3,"A(1) A(2) D(3)",0.9944,1.0000,0.8783,2.8727,no
mol_32,1,3,"A(1) A(2) D(3)",0.9977,1.0000,0.9527,2.9504,no
mol_33,1,3,"A(1) A(3) D(4)",0.9899,0.9942,0.4424,2.4265,no
mol_34,1,3,"A(1) A(2) D(3)",0.9807,0.9990,0.5282,2.5079,no
mol_35,1,3,"A(1) A(4) D(5)",0.7110,0.9585,0.6584,2.3279,no
mol_36,1,3,"A(1) A(3) D(5)",0.6972,0.9574,0.6422,2.2969,no
mol_37,1,3,"A(1) A(4) D(6)",0.9908,0.9943,0.3503,2.3354,no
mol_38,1,3,"A(1) A(3) D(5)",0.9985,1.0000,0.7025,2.7010,no
mol_39,1,3,"A(1) A(2) D(3)",0.9997,1.0000,0.9569,2.9566,no
mol_40,1,3,"A(1) A(2) D(3)",1.0000,1.0000,1.0000,3.0000,yes
mol_41,1,3,"A(1) A(2) D(3)",0.9889,0.9999,0.8859,2.8747,no
mol_42,1,3,"A(1) A(2) D(7)",0.9903,0.9997,0.9067,2.8967,no
mol_43,1,3,"A(1) A(2) D(3)",0.9892,0.9999,0.9037,2.8928,no
mol_44,1,3,"A(1) A(2) D(5)",0.9938,1.0000,0.9451,2.9389,no
mol_45,1,3,"A(1) A(3) D(5)",0.9914,0.9999,0.6319,2.6232,no
mol_46,1,3,"A(1) A(3) D(5)",0.9990,1.0000,0.7446,2.7436,no
mol_47,1,3,"A(1) A(3) D(5)",0.6988,0.9571,0.6392,2.2951,no
mol_48,1,3,"A(1) A(3) D(5)",0.9896,0.9995,0.8501,2.8392,no
