Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"A(1) A(2) R(6)",0.9397,0.9992,0.8533,2.7922,no
mol_2,1,3,"A(1) A(3) R(10)",0.9267,0.9990,0.6311,2.5568,no
mol_3,1,3,"A(1) A(3) R(10)",0.9235,0.9987,0.7839,2.7061,no
mol_4,1,3,"A(1) A(2) R(7)",0.7670,0.9385,0.7048,2.4102,no
mol_5,1,3,"A(2) A(1) R(8)",0.9378,0.9992,0.7798,2.7168,no
mol_6,1,3,"A(1) A(3) R(7)",0.9280,0.9991,0.7419,2.6690,no
mol_7,1,3,"A(1) A(3) R(8)",0.7354,0.9715,0.6181,2.3249,no
mol_8,1,3,"A(1) A(3) R(10)",0.8519,0.9951,0.6924,2.5394,no
mol_9,1,3,"A(1) A(4) R(10)",0.7763,0.9587,0.5936,2.3286,no
mol_10,1,3,"A(1) A(2) R(8)",0.9265,0.9989,0.8667,2.7921,no
mol_11,1,3,"A(1) A(2) R(7)",0.9315,0.9991,0.8389,2.7695,no
mol_12,1,3,"A(1) A(2) R(7)",0.9564,0.9995,0.8781,2.8340,no
mol_13,1,3,"A(1) A(3) R(8)",0.9174,0.9989,0.8360,2.7523,no
mol_14,1,3,"A(1) A(2) R(8)",0.9353,0.9991,0.8458,2.7802,no
mol_15,1,3,"A(2) A(1) R(7)",0.9396,0.9992,0.7557,2.6946,no
mol_16,1,3,"A(1) A(3) R(8)",1.0000,1.0000,1.0000,3.0000,yes
mol_17,1,3,"A(1) A(2) R(7)",0.9238,0.9988,0.8644,2.7871,no
mol_18,1,3,"A(1) A(3) R(8)",0.9292,0.9989,0.6625,2.5906,no
mol_19,1,3,"A(1) A(2) R(6)",0.9397,0.9992,0.8533,2.7922,no
mol_20,1,3,"A(1) A(3) R(8)",0.7955,0.9540,0.5575,2.3070,no
mol_21,1,3,"A(1) A(3) R(8)",0.9304,0.9715,0.4717,2.3737,no
mol_22,1,3,"A(1) A(2) R(7)",0.9203,0.9706,0.4445,2.3354,no
mol_23,1,3,"A(1) A(2) R(7)",0.9296,0.9989,0.8565,2.7850,no
mol_24,1,3,"A(1) A(4) R(8)",0.9132,0.9982,0.7467,2.6581,no
mol_25,1,3,"A(1) A(2) R(6)",0.9397,0.9714,0.4797,2.3907,no
mol_26,1,3,"A(1) A(2) R(6)",0.9740,0.9596,0.4665,2.4001,no
mol_27,1,3,"A(1) A(3) R(10)",0.9310,0.9991,0.8570,2.7871,no
mol_28,1,3,"A(1) A(3) R(8)",0.9181,0.9991,0.7793,2.6965,no
mol_29,1,3,"A(1) A(2) R(8)",0.7713,0.9403,0.7314,2.4429,no
mol_30,1,3,"A(1) A(2) R(7)",0.8101,0.9426,0.4181,2.1708,no
mol_31,1,3,"A(1) A(2) R(6)",0.9387,0.9993,0.8365,2.7745,no
mol_32,1,3,"A(1) A(2) R(7)",0.9312,0.9990,0.8362,2.7664,no
mol_33,1,3,"A(1) A(3) R(8)",0.9251,0.9707,0.4723,2.3681,no
mol_34,1,3,"A(1) A(2) R(6)",0.8355,0.9491,0.4200,2.2046,no
mol_35,1,3,"A(1) A(4) R(8)",0.7996,0.9493,0.6325,2.3813,no
mol_36,1,3,"A(1) A(3) R(9)",0.7887,0.9549,0.6226,2.3662,no
mol_37,1,3,"A(1) A(4) R(10)",0.8918,0.9679,0.3718,2.2314,no
mol_38,1,3,"A(1) A(3) R(10)",0.9251,0.9988,0.6299,2.5538,no
mol_39,1,3,"A(1) A(2) R(8)",0.9196,0.9987,0.8505,2.7688,no
mol_40,1,3,"A(1) A(2) R(7)",0.9413,0.9992,0.8750,2.8155,no
mol_41,1,3,"A(1) A(2) R(7)",0.8923,0.9979,0.8475,2.7378,no
mol_42,1,3,"A(1) A(2) R(10)",0.9752,0.9999,0.9171,2.8922,no
mol_43,1,3,"A(1) A(2) R(7)",0.9218,0.9987,0.8638,2.7842,no
mol_44,1,3,"A(1) A(2) R(9)",0.9195,0.9988,0.8620,2.7804,no
mol_45,1,3,"A(1) A(3) R(10)",0.8905,0.9976,0.6191,2.5072,no
mol_46,1,3,"A(1) A(3) R(8)",0.9257,0.9988,0.6653,2.5899,no
mol_47,1,3,"A(1) A(3) R(8)",0.7818,0.9423,0.6116,2.3357,no
mol_48,1,3,"A(1) A(3) R(8)",1.0000,1.0000,1.0000,3.0000,no
