mol_id,title,num_confs,has_sites
1,46183900,1,1
2,70833120,1,1
3,127030603,1,1
4,127031251,1,1
5,127031819,1,1
6,127030602,1,1
7,46938262,1,1
8,127027883,1,1
9,127027885,1,1
10,70833218,1,1
11,127031818,1,1
12,59563759,1,1
13,127028820,1,1
14,59563769,1,1
15,46183898,1,1
16,59563782,1,1
17,46184600,1,1
18,59563724,1,1
19,127031527,1,1
20,127027582,1,1
21,123155509,1,1
22,127028821,1,1
23,127028822,1,1
24,127027581,1,1
25,127030609,1,1
26,127028823,1,1
27,59563827,1,1
28,127029119,1,1
29,127031535,1,1
30,127031536,1,1
31,127028824,1,1
32,127031252,1,1
33,127026938,1,1
34,46184852,1,1
35,59563696,1,1
36,127028205,1,1
37,127028206,1,1
38,127027884,1,1
39,127031223,1,1
40,86270887,1,1
41,91806730,1,1
42,127026636,1,1
43,127031817,1,1
44,59563754,1,1
45,59563729,1,1
46,49820218,1,1
47,127027580,1,1
48,134128281,1,1
