Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(1) A(2) A(3) D(5)",0.9974,0.9998,0.8458,2.8430,no
mol_2,1,4,"A(1) A(2) A(3) D(5)",0.9757,0.9971,0.6234,2.5962,no
mol_3,1,4,"A(1) A(2) A(4) D(6)",0.9903,0.9997,0.8060,2.7959,no
mol_4,1,4,"A(1) A(2) A(4) D(6)",0.9879,0.9992,0.8238,2.8109,no
mol_5,1,4,"A(1) A(2) A(4) D(6)",0.9745,0.9975,0.5765,2.5485,no
mol_6,1,4,"A(1) A(2) A(3) D(5)",0.9912,0.9994,0.8159,2.8065,no
mol_7,1,4,"A(1) A(2) A(3) D(6)",0.9898,0.9994,0.7743,2.7635,no
mol_8,1,4,"A(1) A(2) A(3) D(7)",0.9752,0.9980,0.6324,2.6056,no
mol_9,1,4,"A(1) A(2) A(3) D(7)",0.9711,0.9969,0.5909,2.5590,no
mol_10,1,4,"A(1) A(2) A(3) D(6)",0.9974,0.9998,0.7339,2.7310,no
mol_11,1,4,"A(1) A(2) A(5) D(8)",0.9681,0.9960,0.6196,2.5837,no
mol_12,1,4,"A(1) A(2) A(3) D(7)",0.9929,0.9995,0.7357,2.7280,no
mol_13,1,4,"A(1) A(2) A(5) D(7)",0.9834,0.9992,0.7116,2.6942,no
mol_14,1,4,"A(1) A(2) A(4) D(6)",0.9859,0.9996,0.5654,2.5508,no
mol_15,1,4,"A(1) A(2) A(4) D(6)",0.9788,0.9983,0.6887,2.6659,no
mol_16,1,4,"A(1) A(2) A(4) D(6)",0.9950,1.0000,0.7434,2.7384,no
mol_17,1,4,"A(1) A(2) A(3) D(5)",0.9874,0.9995,0.8357,2.8226,no
mol_18,1,4,"A(1) A(2) A(3) D(5)",0.9950,0.9997,0.8756,2.8702,no
mol_19,1,4,"A(1) A(2) A(3) D(5)",0.9938,1.0000,0.5854,2.5792,no
mol_20,1,4,"A(1) A(2) A(3) D(5)",0.9792,0.9985,0.7740,2.7517,no
mol_21,1,4,"A(1) A(2) A(3) D(5)",0.9956,1.0000,0.5873,2.5830,no
mol_22,1,4,"A(1) A(2) A(3) D(5)",0.9935,0.9997,0.8189,2.8121,no
mol_23,1,4,"A(1) A(2) A(3) D(5)",0.9909,0.9997,0.8504,2.8410,no
mol_24,1,4,"A(1) A(2) A(3) D(5)",0.9749,0.9969,0.6022,2.5740,no
mol_28,1,4,"A(1) A(2) A(3) D(5)",0.9970,0.9999,0.6252,2.6222,no
mol_29,1,4,"A(1) A(2) A(4) D(7)",0.9708,0.9969,0.6178,2.5856,no
mol_30,1,4,"A(1) A(2) A(3) D(5)",0.9745,0.9974,0.6421,2.6140,no
mol_31,1,4,"A(1) A(2) A(4) D(6)",0.9742,0.9968,0.7065,2.6776,no
mol_32,1,4,"A(1) A(2) A(4) D(6)",0.9854,0.9991,0.6005,2.5849,no
mol_33,1,4,"A(1) A(2) A(4) D(6)",0.9983,0.9999,0.5842,2.5824,no
mol_34,1,4,"A(1) A(2) A(3) D(5)",0.9941,0.9998,0.6056,2.5996,no
mol_35,1,4,"A(1) A(2) A(3) D(5)",0.9896,0.9997,0.6082,2.5975,no
mol_36,1,4,"A(1) A(2) A(3) D(5)",0.9924,0.9998,0.9128,2.9050,no
mol_37,1,4,"A(1) A(2) A(4) D(7)",1.0000,1.0000,1.0000,3.0000,yes
mol_38,1,4,"A(1) A(2) A(3) D(5)",0.9928,0.9999,0.9479,2.9406,no
mol_39,1,4,"A(2) A(4) A(3) D(8)",0.2607,0.3242,0.2853,0.8703,no
mol_40,1,4,"A(1) A(2) A(4) D(6)",0.9901,0.9993,0.8874,2.8767,no
mol_41,1,4,"A(1) A(2) A(4) D(6)",0.9850,0.9993,0.9072,2.8915,no
mol_42,1,4,"A(1) A(2) A(3) D(5)",0.9952,0.9999,0.9428,2.9379,no
mol_45,1,4,"A(1) A(2) A(4) D(7)",1.0000,1.0000,1.0000,3.0000,no
mol_46,1,4,"A(1) A(2) A(3) D(5)",0.9952,0.9999,0.9428,2.9379,no
mol_47,1,4,"A(1) A(2) A(3) D(5)",0.9922,0.9995,0.5722,2.5639,no
mol_48,1,4,"A(1) A(2) A(3) D(4)",0.9831,0.9993,0.5805,2.5629,no
mol_49,1,4,"A(1) A(2) A(5) D(7)",0.9956,1.0000,0.7823,2.7778,no
mol_50,1,4,"A(1) A(2) A(3) D(5)",0.9909,0.9994,0.6377,2.6280,no
mol_51,1,4,"A(1) A(2) A(3) D(5)",0.9909,0.9995,0.8085,2.7989,no
mol_52,1,4,"A(1) A(2) A(3) D(4)",0.9907,0.9997,0.6537,2.6441,no
mol_53,1,4,"A(1) A(2) A(3) D(5)",0.9988,1.0000,0.6243,2.6231,no
mol_54,1,4,"A(1) A(2) A(3) D(6)",0.9956,0.9999,0.8175,2.8130,no
mol_55,1,4,"A(2) A(3) A(4) D(6)",0.9930,0.9995,0.8269,2.8194,no
mol_56,1,4,"A(1) A(2) A(4) D(6)",0.9807,0.9983,0.6857,2.6647,no
