Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(2) A(3) D(5) R(8)",0.9977,0.9988,0.8453,2.8417,no
mol_2,1,4,"A(2) A(3) D(5) R(7)",0.9850,0.9808,0.6235,2.5893,no
mol_3,1,4,"A(2) A(4) D(6) R(9)",0.9930,0.9957,0.8061,2.7947,no
mol_4,1,4,"A(2) A(4) D(6) R(9)",0.9935,0.9987,0.8252,2.8173,no
mol_5,1,4,"A(2) A(4) D(6) R(9)",0.9835,0.9872,0.5758,2.5465,no
mol_6,1,4,"A(2) A(3) D(5) R(9)",0.9957,0.9978,0.8167,2.8103,no
mol_7,1,4,"A(2) A(3) D(6) R(9)",0.9945,0.9988,0.7758,2.7691,no
mol_8,1,4,"A(2) A(3) D(7) R(9)",0.9837,0.9941,0.6324,2.6102,no
mol_9,1,4,"A(2) A(3) D(7) R(9)",0.9816,0.9870,0.5902,2.5588,no
mol_10,1,4,"A(2) A(3) D(6) R(11)",0.9989,0.9989,0.7341,2.7319,no
mol_11,1,4,"A(2) A(5) D(8) R(10)",0.9784,0.9809,0.6261,2.5854,no
mol_12,1,4,"A(2) A(3) D(7) R(9)",0.9968,0.9980,0.7361,2.7309,no
mol_13,1,4,"A(2) A(5) D(7) R(9)",0.9886,0.9953,0.7154,2.6992,no
mol_14,1,4,"A(2) A(4) D(6) R(9)",0.9895,0.9992,0.5651,2.5538,no
mol_15,1,4,"A(2) A(4) D(6) R(9)",0.9853,0.9933,0.6915,2.6701,no
mol_16,1,4,"A(2) A(4) D(6) R(9)",0.9955,0.9998,0.7433,2.7387,no
mol_17,1,4,"A(2) A(3) D(5) R(8)",0.9910,0.9969,0.8390,2.8269,no
mol_18,1,4,"A(2) A(3) D(5) R(8)",0.9980,0.9994,0.8757,2.8730,no
mol_19,1,4,"A(2) A(3) D(5) R(8)",0.9949,0.9999,0.5854,2.5802,no
mol_20,1,4,"A(2) A(3) D(5) R(8)",0.9858,0.9891,0.7780,2.7529,no
mol_21,1,4,"A(2) A(3) D(5) R(8)",0.9961,0.9998,0.5874,2.5833,no
mol_22,1,4,"A(2) A(3) D(5) R(8)",0.9963,0.9986,0.8195,2.8144,no
mol_23,1,4,"A(2) A(3) D(5) R(8)",0.9940,0.9996,0.8513,2.8449,no
mol_24,1,4,"A(2) A(3) D(5) R(8)",0.9846,0.9796,0.6023,2.5665,no
