Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"A(2) A(3) R(8)",0.9976,0.9984,0.8451,2.8412,no
mol_2,1,3,"A(2) A(3) R(7)",0.9976,0.9781,0.6306,2.6064,no
mol_3,1,3,"A(2) A(4) R(9)",0.9930,0.9941,0.8059,2.7930,no
mol_4,1,3,"A(2) A(4) R(9)",0.9998,0.9985,0.8247,2.8229,no
mol_5,1,3,"A(2) A(4) R(9)",0.9995,0.9864,0.5828,2.5687,no
mol_6,1,3,"A(2) A(3) R(9)",0.9994,0.9974,0.8175,2.8144,no
mol_7,1,3,"A(2) A(3) R(9)",0.9995,0.9985,0.7752,2.7732,no
mol_8,1,3,"A(2) A(3) R(9)",0.9979,0.9946,0.6395,2.6321,no
mol_9,1,3,"A(2) A(3) R(9)",0.9995,0.9867,0.5983,2.5845,no
mol_10,1,3,"A(2) A(3) R(11)",0.9988,0.9985,0.7341,2.7314,no
mol_11,1,3,"A(2) A(5) R(10)",0.9895,0.9796,0.6309,2.6001,no
mol_12,1,3,"A(2) A(3) R(9)",0.9995,0.9976,0.7366,2.7336,no
mol_13,1,3,"A(2) A(5) R(9)",0.9941,0.9949,0.7158,2.7048,no
mol_14,1,3,"A(2) A(4) R(9)",0.9942,0.9995,0.5684,2.5621,no
mol_15,1,3,"A(2) A(4) R(9)",0.9918,0.9931,0.6969,2.6818,no
mol_16,1,3,"A(2) A(4) R(9)",0.9951,0.9998,0.7432,2.7381,no
mol_17,1,3,"A(2) A(3) R(8)",0.9946,0.9967,0.8391,2.8304,no
mol_18,1,3,"A(2) A(3) R(8)",0.9989,0.9992,0.8755,2.8736,no
mol_19,1,3,"A(2) A(3) R(8)",0.9957,1.0000,0.5865,2.5822,no
mol_20,1,3,"A(2) A(3) R(8)",0.9919,0.9876,0.7825,2.7621,no
mol_21,1,3,"A(2) A(3) R(8)",0.9959,0.9998,0.5873,2.5831,no
mol_22,1,3,"A(2) A(3) R(8)",0.9973,0.9984,0.8200,2.8156,no
mol_23,1,3,"A(2) A(3) R(8)",0.9993,0.9996,0.8514,2.8503,no
mol_24,1,3,"A(2) A(3) R(8)",0.9978,0.9767,0.6093,2.5838,no
mol_25,1,3,"A(2) A(3) R(7)",0.9941,0.9988,0.5510,2.5439,no
mol_26,1,3,"A(4) A(2) R(10)",0.3265,0.0241,0.2886,0.6393,no
mol_27,1,3,"A(2) A(4) R(9)",0.2171,0.2173,0.3177,0.7521,no
mol_28,1,3,"A(2) A(3) R(8)",0.9985,0.9998,0.6247,2.6230,no
mol_29,1,3,"A(2) A(4) R(9)",0.9974,0.9904,0.6253,2.6132,no
mol_30,1,3,"A(2) A(3) R(8)",0.9974,0.9917,0.6499,2.6390,no
mol_31,1,3,"A(2) A(4) R(10)",0.9990,0.9798,0.7146,2.6933,no
mol_32,1,3,"A(2) A(4) R(8)",0.9941,0.9891,0.6032,2.5863,no
mol_33,1,3,"A(2) A(4) R(10)",0.9987,0.9998,0.5840,2.5825,no
mol_34,1,3,"A(2) A(3) R(9)",0.9992,0.9995,0.6069,2.6057,no
mol_35,1,3,"A(2) A(3) R(9)",0.9994,0.9993,0.6105,2.6092,no
mol_36,1,3,"A(2) A(3) R(8)",0.9965,0.9969,0.9155,2.9088,no
mol_37,1,3,"A(2) A(4) R(9)",1.0000,1.0000,1.0000,3.0000,yes
mol_38,1,3,"A(2) A(3) R(8)",0.9969,0.9999,0.9501,2.9469,no
mol_39,1,3,"A(4) A(3) R(9)",0.3641,0.4331,0.3134,1.1105,no
mol_40,1,3,"A(2) A(4) R(8)",0.9994,0.9965,0.8919,2.8878,no
mol_41,1,3,"A(2) A(4) R(10)",0.9964,0.9991,0.9048,2.9002,no
mol_42,1,3,"A(2) A(3) R(9)",0.9994,0.9994,0.9422,2.9410,no
mol_43,1,3,"A(2) A(3) R(8)",0.9931,0.9924,0.5460,2.5315,no
mol_44,1,3,"A(2) A(3) R(8)",0.9926,0.9861,0.5302,2.5089,no
mol_45,1,3,"A(2) A(4) R(9)",1.0000,1.0000,1.0000,3.0000,no
mol_46,1,3,"A(2) A(3) R(9)",0.9994,0.9994,0.9422,2.9410,no
mol_47,1,3,"A(2) A(3) R(8)",0.9974,0.9964,0.5738,2.5675,no
mol_48,1,3,"A(2) A(3) R(9)",0.9894,0.9933,0.5828,2.5654,no
mol_49,1,3,"A(2) A(5) R(11)",0.9957,0.9982,0.7822,2.7762,no
mol_50,1,3,"A(2) A(3) R(8)",0.9972,0.9989,0.6396,2.6356,no
mol_51,1,3,"A(2) A(3) R(7)",0.9965,0.9994,0.8108,2.8067,no
mol_52,1,3,"A(2) A(3) R(7)",0.9909,0.9992,0.6544,2.6445,no
mol_53,1,3,"A(2) A(3) R(8)",0.9989,0.9993,0.6241,2.6223,no
mol_54,1,3,"A(2) A(3) R(9)",0.9970,0.9973,0.8176,2.8120,no
mol_55,1,3,"A(3) A(4) R(9)",0.9990,0.9977,0.8287,2.8254,no
mol_56,1,3,"A(2) A(4) R(10)",0.9945,0.9790,0.6912,2.6647,no
mol_57,1,3,"A(2) A(3) R(9)",0.9992,0.9996,0.8464,2.8453,no
mol_58,1,3,"A(3) A(4) R(9)",0.9955,0.9953,0.8480,2.8389,no
mol_59,1,3,"A(2) A(3) R(9)",0.9956,0.9998,0.5732,2.5685,no
mol_60,1,3,"A(2) A(3) R(9)",0.9954,0.9994,0.5634,2.5582,no
mol_61,1,3,"A(2) A(5) R(11)",0.9986,0.9973,0.7919,2.7878,no
mol_62,1,3,"A(2) A(3) R(9)",0.9965,0.9919,0.8387,2.8271,no
mol_63,1,3,"A(2) A(3) R(8)",0.9908,0.9975,0.6280,2.6163,no
mol_64,1,3,"A(3) A(4) R(9)",0.9932,0.9975,0.6232,2.6139,no
mol_65,1,3,"A(2) A(3) R(8)",0.9962,0.9991,0.6779,2.6732,no
mol_66,1,3,"A(2) A(3) R(7)",0.9988,0.9881,0.5827,2.5696,no
mol_67,1,3,"A(2) A(4) R(10)",0.9955,1.0000,0.5854,2.5809,no
mol_68,1,3,"A(2) A(3) R(8)",0.9986,0.9983,0.7049,2.7018,no
mol_69,1,3,"A(2) A(3) R(8)",0.9989,0.9825,0.6725,2.6539,no
