Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(3) D(5) R(7) R(8)",0.9872,0.9987,0.8436,2.8295,no
mol_2,1,4,"A(3) D(5) R(6) R(7)",0.9435,0.9850,0.6311,2.5596,no
mol_3,1,4,"A(4) D(6) R(8) R(9)",0.9795,0.9953,0.8040,2.7788,no
mol_4,1,4,"A(4) D(6) R(8) R(9)",0.9682,0.9987,0.8239,2.7908,no
mol_5,1,4,"A(4) D(6) R(8) R(9)",0.9469,0.9903,0.5807,2.5179,no
mol_6,1,4,"A(3) D(5) R(8) R(9)",0.9734,0.9985,0.8185,2.7904,no
mol_7,1,4,"A(3) D(6) R(7) R(9)",0.9727,0.9988,0.7753,2.7468,no
mol_8,1,4,"A(3) D(7) R(8) R(9)",0.9506,0.9961,0.6383,2.5850,no
mol_9,1,4,"A(3) D(7) R(8) R(9)",0.9390,0.9907,0.5961,2.5258,no
mol_10,1,4,"A(3) D(6) R(10) R(11)",0.9861,0.9992,0.7342,2.7195,no
mol_11,1,4,"A(5) D(8) R(9) R(10)",0.9343,0.9857,0.6431,2.5631,no
mol_12,1,4,"A(3) D(7) R(8) R(9)",0.9767,0.9986,0.7369,2.7122,no
mol_13,1,4,"A(5) D(7) R(8) R(9)",0.9691,0.9963,0.7216,2.6870,no
mol_14,1,4,"A(4) D(6) R(8) R(9)",0.9774,0.9995,0.5666,2.5436,no
mol_15,1,4,"A(4) D(6) R(8) R(9)",0.9579,0.9951,0.7038,2.6568,no
mol_16,1,4,"A(4) D(6) R(8) R(9)",0.9952,0.9998,0.7433,2.7383,no
mol_17,1,4,"A(3) D(5) R(7) R(8)",0.9772,0.9976,0.8442,2.8189,no
mol_18,1,4,"A(3) D(5) R(7) R(8)",0.9816,0.9993,0.8736,2.8545,no
mol_19,1,4,"A(3) D(5) R(7) R(8)",0.9929,1.0000,0.5858,2.5786,no
mol_20,1,4,"A(3) D(5) R(7) R(8)",0.9585,0.9913,0.7906,2.7404,no
mol_21,1,4,"A(3) D(5) R(7) R(8)",0.9964,0.9998,0.5875,2.5837,no
mol_22,1,4,"A(3) D(5) R(7) R(8)",0.9820,0.9990,0.8203,2.8013,no
mol_23,1,4,"A(3) D(5) R(7) R(8)",0.9805,0.9996,0.8522,2.8323,no
mol_24,1,4,"A(3) D(5) R(7) R(8)",0.9418,0.9840,0.6098,2.5356,no
mol_28,1,4,"A(3) D(5) R(7) R(8)",0.9952,0.9999,0.6261,2.6212,no
mol_29,1,4,"A(4) D(7) R(8) R(9)",0.9371,0.9935,0.6243,2.5549,no
mol_30,1,4,"A(3) D(5) R(7) R(8)",0.9437,0.9944,0.6486,2.5867,no
mol_31,1,4,"A(4) D(6) R(9) R(10)",0.9397,0.9863,0.7153,2.6413,no
mol_32,1,4,"A(4) D(6) R(7) R(8)",0.9677,0.9924,0.6029,2.5630,no
mol_33,1,4,"A(4) D(6) R(9) R(10)",0.9938,0.9999,0.5853,2.5790,no
mol_34,1,4,"A(3) D(5) R(8) R(9)",0.9868,0.9997,0.6067,2.5931,no
mol_35,1,4,"A(3) D(5) R(8) R(9)",0.9790,0.9995,0.6098,2.5883,no
mol_36,1,4,"A(3) D(5) R(7) R(8)",0.9867,0.9977,0.9189,2.9033,no
mol_37,1,4,"A(4) D(7) R(8) R(9)",1.0000,1.0000,1.0000,3.0000,yes
mol_38,1,4,"A(3) D(5) R(7) R(8)",0.9909,0.9999,0.9517,2.9425,no
mol_40,1,4,"A(4) D(6) R(7) R(8)",0.9718,0.9979,0.8982,2.8680,no
mol_41,1,4,"A(4) D(6) R(9) R(10)",0.9678,0.9992,0.8983,2.8652,no
mol_42,1,4,"A(3) D(5) R(8) R(9)",0.9870,0.9995,0.9395,2.9260,no
mol_45,1,4,"A(4) D(7) R(8) R(9)",1.0000,1.0000,1.0000,3.0000,no
mol_46,1,4,"A(3) D(5) R(8) R(9)",0.9870,0.9995,0.9395,2.9260,no
mol_47,1,4,"A(3) D(5) R(7) R(8)",0.9779,0.9977,0.5748,2.5504,no
mol_48,1,4,"A(3) D(4) R(7) R(9)",0.9737,0.9950,0.5815,2.5502,no
mol_49,1,4,"A(5) D(7) R(10) R(11)",0.9940,0.9986,0.7814,2.7740,no
mol_50,1,4,"A(3) D(5) R(7) R(8)",0.9736,0.9994,0.6424,2.6154,no
mol_51,1,4,"A(3) D(5) R(6) R(7)",0.9764,0.9997,0.8139,2.7900,no
mol_52,1,4,"A(3) D(4) R(6) R(7)",0.9874,0.9996,0.6551,2.6422,no
mol_53,1,4,"A(3) D(5) R(7) R(8)",0.9967,0.9995,0.6246,2.6208,no
mol_54,1,4,"A(3) D(6) R(8) R(9)",0.9880,0.9979,0.8166,2.8025,no
mol_55,1,4,"A(4) D(6) R(7) R(9)",0.9771,0.9987,0.8308,2.8065,no
mol_56,1,4,"A(4) D(6) R(9) R(10)",0.9574,0.9853,0.6990,2.6416,no
mol_57,1,4,"A(3) D(5) R(8) R(9)",0.9811,0.9997,0.8462,2.8270,no
mol_58,1,4,"A(4) D(6) R(7) R(9)",0.9808,0.9966,0.8520,2.8294,no
mol_59,1,4,"A(3) D(5) R(8) R(9)",0.9846,0.9999,0.5749,2.5594,no
mol_60,1,4,"A(3) D(5) R(8) R(9)",0.9937,0.9995,0.5630,2.5562,no
mol_61,1,4,"A(5) D(7) R(10) R(11)",0.9623,0.9983,0.7941,2.7548,no
mol_62,1,4,"A(3) D(6) R(7) R(9)",0.9592,0.9943,0.8442,2.7977,no
mol_63,1,4,"A(3) D(5) R(7) R(8)",0.9677,0.9985,0.6319,2.5981,no
mol_64,1,4,"A(4) D(6) R(7) R(9)",0.9873,0.9982,0.6231,2.6085,no
mol_65,1,4,"A(3) D(5) R(7) R(8)",0.9653,0.9990,0.6757,2.6400,no
mol_66,1,4,"A(3) D(5) R(6) R(7)",0.9528,0.9919,0.5836,2.5283,no
mol_67,1,4,"A(4) D(6) R(9) R(10)",0.9952,1.0000,0.5858,2.5811,no
mol_68,1,4,"A(3) D(5) R(7) R(8)",0.9946,0.9986,0.7043,2.6975,no
mol_69,1,4,"A(3) D(5) R(7) R(8)",0.9585,0.9877,0.6749,2.6210,no
