Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"A(3) R(7) R(8)",0.9976,0.9982,0.8451,2.8408,no
mol_2,1,3,"A(3) R(6) R(7)",0.9976,0.9835,0.6398,2.6209,no
mol_3,1,3,"A(4) R(8) R(9)",0.9930,0.9934,0.8034,2.7898,no
mol_4,1,3,"A(4) R(8) R(9)",0.9989,0.9983,0.8209,2.8181,no
mol_5,1,3,"A(4) R(8) R(9)",0.9994,0.9900,0.5891,2.5785,no
mol_6,1,3,"A(3) R(8) R(9)",0.9987,0.9985,0.8184,2.8157,no
mol_7,1,3,"A(3) R(7) R(9)",0.9988,0.9984,0.7717,2.7689,no
mol_8,1,3,"A(3) R(8) R(9)",0.9977,0.9967,0.6457,2.6401,no
mol_9,1,3,"A(3) R(8) R(9)",0.9991,0.9909,0.6061,2.5961,no
mol_10,1,3,"A(3) R(10) R(11)",0.9987,0.9991,0.7346,2.7325,no
mol_11,1,3,"A(5) R(9) R(10)",0.9896,0.9852,0.6347,2.6095,no
mol_12,1,3,"A(3) R(8) R(9)",0.9990,0.9986,0.7374,2.7350,no
mol_13,1,3,"A(5) R(8) R(9)",0.9941,0.9961,0.7153,2.7055,no
mol_14,1,3,"A(4) R(8) R(9)",0.9943,0.9997,0.5701,2.5641,no
mol_15,1,3,"A(4) R(8) R(9)",0.9918,0.9952,0.7021,2.6892,no
mol_16,1,3,"A(4) R(8) R(9)",0.9951,0.9998,0.7435,2.7385,no
mol_17,1,3,"A(3) R(7) R(8)",0.9946,0.9973,0.8385,2.8305,no
mol_18,1,3,"A(3) R(7) R(8)",0.9988,0.9991,0.8728,2.8707,no
mol_19,1,3,"A(3) R(7) R(8)",0.9958,1.0000,0.5867,2.5824,no
mol_20,1,3,"A(3) R(7) R(8)",0.9919,0.9903,0.7867,2.7690,no
mol_21,1,3,"A(3) R(7) R(8)",0.9960,0.9998,0.5874,2.5832,no
mol_22,1,3,"A(3) R(7) R(8)",0.9972,0.9989,0.8205,2.8167,no
mol_23,1,3,"A(3) R(7) R(8)",0.9991,0.9996,0.8503,2.8489,no
mol_24,1,3,"A(3) R(7) R(8)",0.9977,0.9824,0.6183,2.5984,no
mol_25,1,3,"A(3) R(6) R(7)",0.9939,0.9988,0.5516,2.5443,no
mol_27,1,3,"A(4) R(8) R(10)",0.2423,0.7334,0.2469,1.2227,no
mol_28,1,3,"A(3) R(7) R(8)",0.9985,0.9999,0.6260,2.6244,no
mol_29,1,3,"A(4) R(8) R(9)",0.9972,0.9942,0.6340,2.6254,no
mol_30,1,3,"A(3) R(7) R(8)",0.9974,0.9950,0.6610,2.6534,no
mol_31,1,3,"A(4) R(9) R(10)",0.9983,0.9853,0.7246,2.7082,no
mol_32,1,3,"A(4) R(7) R(8)",0.9941,0.9912,0.6077,2.5930,no
mol_33,1,3,"A(4) R(9) R(10)",0.9987,0.9999,0.5852,2.5838,no
mol_34,1,3,"A(3) R(8) R(9)",0.9992,0.9997,0.6086,2.6075,no
mol_35,1,3,"A(3) R(8) R(9)",0.9996,0.9996,0.6129,2.6120,no
mol_36,1,3,"A(3) R(7) R(8)",0.9965,0.9973,0.9157,2.9095,no
mol_37,1,3,"A(4) R(8) R(9)",1.0000,1.0000,1.0000,3.0000,yes
mol_38,1,3,"A(3) R(7) R(8)",0.9970,0.9999,0.9501,2.9470,no
mol_39,1,3,"A(4) R(9) R(10)",-0.0519,0.8477,0.3300,1.1258,no
