Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"D(5) R(7) R(8)",0.9994,0.9992,0.8520,2.8506,no
mol_2,1,3,"D(5) R(6) R(7)",0.9987,0.9969,0.5711,2.5667,no
mol_3,1,3,"D(6) R(8) R(9)",0.9966,0.9951,0.7893,2.7810,no
mol_4,1,3,"D(6) R(8) R(9)",0.9984,0.9968,0.7867,2.7819,no
mol_5,1,3,"D(6) R(8) R(9)",0.9994,0.9979,0.5352,2.5325,no
mol_6,1,3,"D(5) R(8) R(9)",0.9988,0.9961,0.7917,2.7866,no
mol_7,1,3,"D(6) R(7) R(9)",0.9986,0.9974,0.7475,2.7436,no
mol_8,1,3,"D(7) R(8) R(9)",0.9997,0.9971,0.5622,2.5589,no
mol_9,1,3,"D(7) R(8) R(9)",0.9993,0.9971,0.5424,2.5388,no
mol_10,1,3,"D(6) R(10) R(11)",0.9992,0.9965,0.7242,2.7199,no
mol_11,1,3,"D(8) R(9) R(10)",0.9949,0.9963,0.7227,2.7140,no
mol_12,1,3,"D(7) R(8) R(9)",0.9989,0.9960,0.7148,2.7097,no
mol_13,1,3,"D(7) R(8) R(9)",0.9990,0.9995,0.7860,2.7845,no
mol_14,1,3,"D(6) R(8) R(9)",0.9991,0.9975,0.5334,2.5300,no
mol_15,1,3,"D(6) R(8) R(9)",0.9977,0.9987,0.7687,2.7652,no
mol_16,1,3,"D(6) R(8) R(9)",0.9986,0.9973,0.7529,2.7488,no
mol_17,1,3,"D(5) R(7) R(8)",0.9992,0.9998,0.9253,2.9242,no
mol_18,1,3,"D(5) R(7) R(8)",0.9993,0.9989,0.8592,2.8574,no
mol_19,1,3,"D(5) R(7) R(8)",0.9993,0.9984,0.5712,2.5689,no
mol_20,1,3,"D(5) R(7) R(8)",0.9979,0.9988,0.8645,2.8612,no
mol_21,1,3,"D(5) R(7) R(8)",0.9992,0.9992,0.5777,2.5761,no
mol_22,1,3,"D(5) R(7) R(8)",0.9984,0.9963,0.8067,2.8014,no
mol_23,1,3,"D(5) R(7) R(8)",0.9996,0.9986,0.8478,2.8460,no
mol_24,1,3,"D(5) R(7) R(8)",0.9986,0.9966,0.5500,2.5452,no
mol_26,1,3,"D(5) R(8) R(9)",0.7261,-0.0119,0.2498,0.9640,no
mol_28,1,3,"D(5) R(7) R(8)",0.9995,0.9984,0.6110,2.6089,no
mol_29,1,3,"D(7) R(8) R(9)",0.9982,0.9962,0.5677,2.5621,no
mol_30,1,3,"D(5) R(7) R(8)",0.9986,0.9970,0.5934,2.5890,no
mol_31,1,3,"D(6) R(9) R(10)",0.9996,0.9971,0.6260,2.6227,no
mol_32,1,3,"D(6) R(7) R(8)",0.9987,0.9992,0.5764,2.5743,no
mol_33,1,3,"D(6) R(9) R(10)",0.9994,0.9983,0.5716,2.5694,no
mol_34,1,3,"D(5) R(8) R(9)",0.9988,0.9987,0.5859,2.5834,no
mol_35,1,3,"D(5) R(8) R(9)",0.9983,0.9982,0.5831,2.5796,no
mol_36,1,3,"D(5) R(7) R(8)",1.0000,1.0000,1.0000,3.0000,yes
mol_37,1,3,"D(7) R(8) R(9)",0.9990,0.9983,0.9309,2.9282,no
mol_38,1,3,"D(5) R(7) R(8)",0.9997,0.9985,0.9569,2.9551,no
mol_39,1,3,"D(6) R(9) R(10)",0.4819,0.5016,0.2797,1.2633,no
mol_40,1,3,"D(6) R(7) R(8)",0.9984,0.9951,0.8233,2.8168,no
mol_41,1,3,"D(6) R(9) R(10)",0.9992,0.9973,0.8217,2.8182,no
mol_42,1,3,"D(5) R(8) R(9)",0.9992,0.9992,0.9177,2.9161,no
mol_45,1,3,"D(7) R(8) R(9)",0.9990,0.9983,0.9309,2.9282,no
mol_46,1,3,"D(5) R(8) R(9)",0.9992,0.9992,0.9177,2.9161,no
mol_47,1,3,"D(5) R(7) R(8)",0.9996,0.9998,0.5718,2.5712,no
mol_48,1,3,"D(4) R(7) R(9)",0.9994,0.9997,0.5360,2.5351,no
mol_49,1,3,"D(7) R(10) R(11)",0.9990,0.9996,0.7895,2.7881,no
mol_50,1,3,"D(5) R(7) R(8)",0.9993,0.9976,0.6054,2.6024,no
mol_51,1,3,"D(5) R(6) R(7)",0.9979,0.9980,0.7438,2.7397,no
mol_52,1,3,"D(4) R(6) R(7)",0.9992,0.9977,0.6426,2.6395,no
mol_53,1,3,"D(5) R(7) R(8)",0.9990,0.9962,0.6064,2.6017,no
mol_54,1,3,"D(6) R(8) R(9)",0.9992,0.9986,0.8156,2.8134,no
mol_55,1,3,"D(6) R(7) R(9)",0.9993,0.9961,0.8123,2.8077,no
mol_56,1,3,"D(6) R(9) R(10)",0.9987,0.9966,0.7664,2.7617,no
mol_57,1,3,"D(5) R(8) R(9)",0.9992,0.9987,0.8325,2.8305,no
mol_58,1,3,"D(6) R(7) R(9)",0.9994,0.9999,0.9399,2.9393,no
mol_59,1,3,"D(5) R(8) R(9)",0.9982,0.9983,0.5718,2.5683,no
mol_60,1,3,"D(5) R(8) R(9)",0.9992,0.9995,0.5535,2.5522,no
mol_61,1,3,"D(7) R(10) R(11)",0.9985,0.9959,0.7447,2.7391,no
mol_62,1,3,"D(6) R(7) R(9)",0.9994,0.9990,0.8767,2.8750,no
mol_63,1,3,"D(5) R(7) R(8)",0.9948,0.9960,0.6453,2.6361,no
mol_64,1,3,"D(6) R(7) R(9)",0.9988,1.0000,0.5974,2.5962,no
mol_65,1,3,"D(5) R(7) R(8)",0.9990,0.9954,0.6615,2.6559,no
mol_66,1,3,"D(5) R(6) R(7)",0.9996,0.9987,0.5192,2.5176,no
mol_67,1,3,"D(6) R(9) R(10)",0.9992,0.9980,0.5691,2.5663,no
mol_68,1,3,"D(5) R(7) R(8)",0.9993,0.9999,0.6638,2.6631,no
mol_69,1,3,"D(5) R(7) R(8)",0.9990,0.9977,0.6583,2.6550,no
