Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,5,"A(3) D(5) H(8) R(9) R(11)",0.9663,0.9994,0.3734,2.3391,no
mol_2,1,5,"A(3) D(5) H(8) R(9) R(11)",0.9797,0.8583,0.3478,2.1859,no
mol_3,1,5,"A(3) D(5) H(9) R(10) R(12)",0.8436,0.8427,0.3294,2.0158,no
mol_4,1,5,"A(5) D(7) H(11) R(12) R(14)",0.9721,0.9996,0.7330,2.7048,no
mol_5,1,5,"A(3) D(6) H(9) R(10) R(12)",1.0000,1.0000,1.0000,3.0000,yes
mol_6,1,5,"A(4) D(6) H(9) R(10) R(13)",0.9612,0.8468,0.3430,2.1510,no
mol_7,1,5,"A(2) D(6) H(9) R(10) R(11)",0.9873,1.0000,0.7891,2.7763,no
mol_8,1,5,"A(4) D(6) H(9) R(10) R(13)",0.9707,0.8517,0.3480,2.1704,no
mol_9,1,5,"A(4) D(6) H(8) R(10) R(12)",0.9866,1.0000,0.9597,2.9462,no
mol_10,1,5,"A(4) D(6) H(8) R(10) R(12)",0.9802,0.9998,0.8743,2.8543,no
mol_11,1,5,"A(3) D(5) H(8) R(10) R(12)",0.9478,0.8491,0.3415,2.1384,no
mol_12,1,5,"A(3) D(5) H(8) R(10) R(12)",0.9852,0.9999,0.6859,2.6710,no
mol_13,1,5,"A(4) D(6) H(8) R(10) R(13)",0.8605,0.9860,0.4191,2.2656,no
mol_14,1,5,"A(4) D(6) H(8) R(10) R(13)",0.9531,0.9991,0.4119,2.3640,no
mol_15,1,5,"A(5) D(7) H(10) R(12) R(14)",0.9671,0.9993,0.5392,2.5056,no
mol_16,1,5,"A(5) D(7) H(10) R(12) R(14)",0.9867,0.8454,0.3410,2.1731,no
mol_17,1,5,"A(3) D(5) H(7) R(9) R(11)",0.9370,0.8523,0.3329,2.1222,no
mol_18,1,5,"A(3) D(5) H(7) R(9) R(11)",0.9731,0.9996,0.3791,2.3517,no
mol_19,1,5,"A(6) D(9) H(15) R(16) R(19)",0.9746,0.9997,0.3706,2.3449,no
mol_20,1,5,"A(6) D(9) H(14) R(15) R(18)",0.9787,0.9988,0.3520,2.3296,no
mol_21,1,5,"A(3) D(5) H(8) R(9) R(11)",0.9659,0.8598,0.3500,2.1758,no
mol_22,1,5,"A(4) D(6) H(10) R(11) R(14)",0.9786,0.9997,0.6085,2.5868,no
