Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(3) D(5) H(8) R(9)",0.9921,0.9999,0.3895,2.3814,no
mol_2,1,4,"A(3) D(5) H(8) R(9)",0.9963,0.9995,0.3651,2.3609,no
mol_3,1,4,"A(3) D(5) H(9) R(10)",0.9663,0.9900,0.3338,2.2901,no
mol_4,1,4,"A(5) D(7) H(11) R(12)",0.9942,0.9999,0.7523,2.7464,no
mol_5,1,4,"A(3) D(6) H(9) R(10)",0.9922,1.0000,0.7917,2.7839,no
mol_6,1,4,"A(4) D(6) H(9) R(10)",0.9944,0.9977,0.3570,2.3492,no
mol_7,1,4,"A(2) D(6) H(9) R(10)",0.9987,1.0000,0.7367,2.7354,no
mol_8,1,4,"A(4) D(6) H(9) R(10)",0.9971,0.9980,0.3612,2.3563,no
mol_9,1,4,"A(4) D(6) H(8) R(10)",0.9922,0.9999,0.8044,2.7965,no
mol_10,1,4,"A(4) D(6) H(8) R(10)",0.9824,0.9999,0.7572,2.7395,no
mol_11,1,4,"A(3) D(5) H(8) R(10)",0.9865,0.9979,0.3529,2.3373,no
mol_12,1,4,"A(3) D(5) H(8) R(10)",0.9865,0.9998,0.6015,2.5878,no
mol_13,1,4,"A(4) D(6) H(8) R(10)",0.9626,0.9868,0.3953,2.3447,no
mol_14,1,4,"A(4) D(6) H(8) R(10)",0.9801,0.9998,0.4072,2.3871,no
mol_15,1,4,"A(5) D(7) H(10) R(12)",0.9879,0.9997,0.5607,2.5483,no
mol_16,1,4,"A(5) D(7) H(10) R(12)",0.9864,0.9992,0.3411,2.3268,no
mol_17,1,4,"A(3) D(5) H(7) R(9)",0.9836,0.9973,0.3451,2.3260,no
mol_18,1,4,"A(3) D(5) H(7) R(9)",0.9832,0.9998,0.3799,2.3629,no
mol_19,1,4,"A(6) D(9) H(15) R(16)",0.9970,0.9999,0.3864,2.3832,no
mol_20,1,4,"A(6) D(9) H(14) R(15)",0.9949,0.9991,0.3653,2.3593,no
mol_21,1,4,"A(3) D(5) H(8) R(9)",0.9958,0.9992,0.3485,2.3434,no
mol_22,1,4,"A(4) D(6) H(10) R(11)",0.9949,0.9999,0.6647,2.6595,no
