Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(2) D(5) H(8) R(11)",0.9810,0.7856,0.3467,2.1132,no
mol_2,1,4,"A(1) D(5) H(8) R(11)",0.9726,0.9978,0.5680,2.5385,no
mol_3,1,4,"A(1) D(5) H(9) R(12)",0.9116,0.9922,0.5006,2.4045,no
mol_4,1,4,"A(1) D(7) H(11) R(14)",0.9890,0.7762,0.3463,2.1115,no
mol_5,1,4,"A(1) D(6) H(9) R(12)",0.9920,0.7850,0.3465,2.1234,no
mol_6,1,4,"A(2) D(6) H(9) R(13)",0.9915,0.9999,0.3966,2.3879,no
mol_7,1,4,"A(1) D(6) H(9) R(11)",0.9834,0.7885,0.3560,2.1278,no
mol_8,1,4,"A(2) D(6) H(9) R(13)",1.0000,1.0000,1.0000,3.0000,yes
mol_9,1,4,"A(1) D(6) H(8) R(12)",0.9868,0.7846,0.3561,2.1275,no
mol_10,1,4,"A(1) D(6) H(8) R(12)",0.9906,0.7744,0.3451,2.1100,no
mol_11,1,4,"A(1) D(5) H(8) R(12)",0.9748,0.9998,0.6018,2.5764,no
mol_12,1,4,"A(1) D(5) H(8) R(12)",0.9876,0.7928,0.3506,2.1309,no
mol_13,1,4,"A(2) D(6) H(8) R(13)",0.9526,0.6727,0.3295,1.9547,no
mol_14,1,4,"A(2) D(6) H(8) R(13)",0.9642,0.7902,0.3405,2.0948,no
mol_15,1,4,"A(1) D(7) H(10) R(14)",0.9865,0.7709,0.3428,2.1002,no
mol_16,1,4,"A(1) D(7) H(10) R(14)",0.9929,0.9996,0.3731,2.3657,no
mol_17,1,4,"A(2) D(5) H(7) R(11)",0.9679,0.9997,0.3821,2.3497,no
mol_18,1,4,"A(2) D(5) H(7) R(11)",0.9874,0.7840,0.3402,2.1117,no
mol_19,1,4,"A(1) D(9) H(15) R(19)",0.9814,0.7869,0.3572,2.1255,no
mol_20,1,4,"A(1) D(9) H(14) R(18)",0.9885,0.7541,0.3062,2.0488,no
mol_21,1,4,"A(2) D(5) H(8) R(11)",0.9781,0.9991,0.6092,2.5863,no
mol_22,1,4,"A(2) D(6) H(10) R(14)",0.9955,0.7751,0.3513,2.1220,no
mol_23,1,4,"A(2) D(6) H(9) R(13)",0.9604,0.9992,0.7666,2.7262,no
mol_24,1,4,"A(2) D(6) H(10) R(14)",0.9864,0.8028,0.3505,2.1396,no
mol_25,1,4,"A(2) D(6) H(10) R(14)",0.9931,0.7793,0.3523,2.1247,no
mol_26,1,4,"A(2) D(6) H(9) R(13)",0.9880,0.9998,0.7596,2.7474,no
mol_27,1,4,"A(2) D(6) H(8) R(13)",0.9907,0.9996,0.3775,2.3678,no
mol_28,1,4,"A(2) D(6) H(8) R(13)",0.9900,0.9995,0.3775,2.3670,no
mol_29,1,4,"A(1) D(7) H(10) R(14)",0.9706,0.7799,0.3269,2.0775,no
mol_30,1,4,"A(2) D(5) H(7) R(11)",0.9802,0.9997,0.3747,2.3545,no
mol_31,1,4,"A(2) D(6) H(8) R(13)",0.9108,0.9833,0.4152,2.3092,no
mol_32,1,4,"A(2) D(5) H(8) R(12)",0.9552,0.9991,0.3927,2.3470,no
mol_33,1,4,"A(2) D(5) H(8) R(12)",0.9794,0.7996,0.3555,2.1345,no
mol_34,1,4,"A(1) D(6) H(9) R(13)",0.9859,0.7775,0.3633,2.1266,no
mol_35,1,4,"A(1) D(6) H(10) R(14)",0.9913,0.7760,0.3558,2.1231,no
mol_36,1,4,"A(1) D(5) H(9) R(13)",0.9728,0.9997,0.4020,2.3744,no
mol_38,1,4,"A(2) D(5) H(8) R(13)",0.9858,0.7845,0.3423,2.1126,no
mol_39,1,4,"A(6) D(9) H(12) R(18)",0.2280,0.6935,0.2771,1.1985,no
