Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"A(3) D(5) H(8)",0.9966,1.0000,0.3758,2.3723,no
mol_2,1,3,"A(3) D(5) H(8)",0.9958,0.9989,0.3457,2.3404,no
mol_3,1,3,"A(3) D(5) H(9)",0.9841,0.9939,0.3193,2.2973,no
mol_4,1,3,"A(5) D(7) H(11)",0.9958,1.0000,0.7611,2.7569,no
mol_5,1,3,"A(3) D(6) H(9)",0.9928,0.9999,0.8653,2.8580,no
mol_6,1,3,"A(4) D(6) H(9)",0.9964,0.9986,0.3422,2.3373,no
mol_7,1,3,"A(2) D(6) H(9)",0.9942,0.9999,0.8154,2.8095,no
mol_8,1,3,"A(4) D(6) H(9)",0.9960,0.9988,0.3448,2.3396,no
mol_9,1,3,"A(4) D(6) H(8)",0.9985,0.9999,0.8423,2.8408,no
mol_10,1,3,"A(4) D(6) H(8)",1.0000,1.0000,1.0000,3.0000,yes
mol_11,1,3,"A(3) D(5) H(8)",0.9996,0.9983,0.3376,2.3354,no
mol_12,1,3,"A(3) D(5) H(8)",0.9974,1.0000,0.6985,2.6959,no
mol_13,1,3,"A(4) D(6) H(8)",0.9853,0.9985,0.3960,2.3798,no
mol_14,1,3,"A(4) D(6) H(8)",0.9979,0.9999,0.4162,2.4140,no
mol_15,1,3,"A(5) D(7) H(10)",0.9957,1.0000,0.5608,2.5565,no
mol_16,1,3,"A(5) D(7) H(10)",0.9992,0.9991,0.3410,2.3393,no
mol_17,1,3,"A(3) D(5) H(7)",0.9987,0.9979,0.3319,2.3285,no
mol_18,1,3,"A(3) D(5) H(7)",0.9995,1.0000,0.3852,2.3847,no
mol_19,1,3,"A(6) D(9) H(15)",0.9948,1.0000,0.3723,2.3670,no
mol_20,1,3,"A(6) D(9) H(14)",0.9942,1.0000,0.3563,2.3505,no
mol_21,1,3,"A(3) D(5) H(8)",0.9938,0.9986,0.3442,2.3366,no
mol_22,1,3,"A(4) D(6) H(10)",0.9970,1.0000,0.6374,2.6344,no
mol_23,1,3,"A(4) D(6) H(9)",0.9941,0.9979,0.3382,2.3302,no
mol_24,1,3,"A(4) D(6) H(10)",0.9925,0.9998,0.7719,2.7642,no
mol_25,1,3,"A(4) D(6) H(10)",0.9977,1.0000,0.6639,2.6616,no
mol_26,1,3,"A(4) D(6) H(9)",0.9936,0.9983,0.3373,2.3292,no
mol_27,1,3,"A(4) D(6) H(8)",0.9982,0.9992,0.3465,2.3439,no
mol_28,1,3,"A(4) D(6) H(8)",0.9965,0.9991,0.3463,2.3420,no
mol_29,1,3,"A(5) D(7) H(10)",0.9985,0.9999,0.3763,2.3748,no
mol_30,1,3,"A(3) D(5) H(7)",0.9988,0.9983,0.3384,2.3355,no
mol_31,1,3,"A(4) D(6) H(8)",0.9771,0.9927,0.3387,2.3086,no
mol_32,1,3,"A(3) D(5) H(8)",0.9962,0.9978,0.3428,2.3368,no
mol_33,1,3,"A(3) D(5) H(8)",0.9910,0.9997,0.6903,2.6811,no
mol_34,1,3,"A(3) D(6) H(9)",0.9930,0.9999,0.7581,2.7510,no
mol_35,1,3,"A(3) D(6) H(10)",0.9975,1.0000,0.8055,2.8030,no
mol_36,1,3,"A(3) D(5) H(9)",0.9975,0.9982,0.3485,2.3442,no
mol_37,1,3,"A(5) D(8) H(12)",0.8747,0.9918,0.2720,2.1385,no
mol_38,1,3,"A(4) D(5) H(8)",0.9943,1.0000,0.3991,2.3933,no
mol_39,1,3,"A(5) D(8) H(13)",0.6585,0.9655,0.3369,1.9608,no
mol_40,1,3,"A(3) D(5) H(7)",0.9986,0.9984,0.3469,2.3439,no
mol_41,1,3,"A(3) D(6) H(8)",0.8160,0.9886,0.7722,2.5768,no
mol_42,1,3,"A(3) D(5) H(8)",0.8173,0.9887,0.7527,2.5587,no
mol_43,1,3,"A(3) D(5) H(8)",0.9994,0.9991,0.3477,2.3462,no
mol_44,1,3,"A(3) D(5) H(7)",0.9994,0.9979,0.3446,2.3419,no
mol_45,1,3,"A(3) D(6) H(8)",0.9984,0.9999,0.5473,2.5455,no
mol_46,1,3,"A(6) D(9) H(13)",0.9983,0.9976,0.2980,2.2939,no
mol_47,1,3,"A(4) D(6) H(8)",0.9982,0.9994,0.3513,2.3489,no
