Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,4,"A(3) H(8) R(9) R(11)",0.9697,0.9985,0.3805,2.3487,no
mol_2,1,4,"A(3) H(8) R(9) R(11)",0.9947,0.8171,0.3595,2.1713,no
mol_3,1,4,"A(3) H(9) R(10) R(12)",0.8956,0.8130,0.3444,2.0530,no
mol_4,1,4,"A(5) H(11) R(12) R(14)",0.9746,0.9991,0.7528,2.7266,no
mol_5,1,4,"A(3) H(9) R(10) R(12)",0.9853,1.0000,0.9587,2.9440,no
mol_6,1,4,"A(4) H(9) R(10) R(13)",0.9821,0.8044,0.3519,2.1384,no
mol_7,1,4,"A(2) H(9) R(10) R(11)",0.9948,0.9999,0.8133,2.8081,no
mol_8,1,4,"A(4) H(9) R(10) R(13)",0.9894,0.8094,0.3581,2.1570,no
mol_9,1,4,"A(4) H(8) R(10) R(12)",1.0000,1.0000,1.0000,3.0000,yes
mol_10,1,4,"A(4) H(8) R(10) R(12)",0.9708,0.9996,0.8618,2.8323,no
mol_11,1,4,"A(3) H(8) R(10) R(12)",0.9701,0.8095,0.3531,2.1327,no
mol_12,1,4,"A(3) H(8) R(10) R(12)",0.9808,0.9998,0.6760,2.6566,no
mol_13,1,4,"A(4) H(8) R(10) R(13)",0.8863,0.9703,0.4525,2.3091,no
mol_14,1,4,"A(4) H(8) R(10) R(13)",0.9530,0.9977,0.4077,2.3584,no
mol_15,1,4,"A(5) H(10) R(12) R(14)",0.9722,0.9986,0.5546,2.5254,no
mol_16,1,4,"A(5) H(10) R(12) R(14)",0.9887,0.7988,0.3360,2.1234,no
mol_17,1,4,"A(3) H(7) R(9) R(11)",0.9617,0.8151,0.3421,2.1189,no
mol_18,1,4,"A(3) H(7) R(9) R(11)",0.9675,0.9991,0.3739,2.3405,no
mol_19,1,4,"A(6) H(15) R(16) R(19)",0.9781,0.9994,0.3786,2.3561,no
mol_20,1,4,"A(6) H(14) R(15) R(18)",0.9778,0.9981,0.3606,2.3365,no
mol_21,1,4,"A(3) H(8) R(9) R(11)",0.9904,0.8224,0.3466,2.1594,no
mol_22,1,4,"A(4) H(10) R(11) R(14)",0.9801,0.9995,0.6254,2.6050,no
mol_23,1,4,"A(4) H(9) R(10) R(13)",0.9698,0.8310,0.3565,2.1573,no
mol_24,1,4,"A(4) H(10) R(11) R(14)",0.9918,0.9993,0.8221,2.8132,no
mol_25,1,4,"A(4) H(10) R(11) R(14)",0.9782,0.9994,0.6478,2.6254,no
mol_26,1,4,"A(4) H(9) R(10) R(13)",0.9762,0.8114,0.3524,2.1400,no
mol_27,1,4,"A(4) H(8) R(10) R(13)",0.9865,0.8084,0.3424,2.1373,no
mol_28,1,4,"A(4) H(8) R(10) R(13)",0.9860,0.8112,0.3425,2.1397,no
mol_29,1,4,"A(5) H(10) R(12) R(14)",0.9512,0.9977,0.3639,2.3129,no
mol_30,1,4,"A(3) H(7) R(9) R(11)",0.9811,0.8182,0.3371,2.1364,no
mol_31,1,4,"A(4) H(8) R(10) R(13)",0.8809,0.7852,0.3936,2.0597,no
mol_32,1,4,"A(3) H(8) R(9) R(12)",0.9659,0.8306,0.3546,2.1512,no
mol_33,1,4,"A(3) H(8) R(9) R(12)",0.9873,0.9991,0.7978,2.7842,no
mol_34,1,4,"A(3) H(9) R(10) R(13)",0.9921,0.9999,0.8046,2.7967,no
mol_35,1,4,"A(3) H(10) R(11) R(14)",0.9735,0.9989,0.7950,2.7674,no
mol_36,1,4,"A(3) H(9) R(10) R(13)",0.9717,0.8241,0.3597,2.1555,no
mol_37,1,4,"A(5) H(12) R(16) R(17)",0.7786,0.7828,0.2768,1.8383,no
mol_38,1,4,"A(4) H(8) R(10) R(13)",0.9720,0.9984,0.4056,2.3761,no
mol_39,1,4,"A(5) H(13) R(17) R(18)",0.5228,0.9724,0.3315,1.8267,no
mol_40,1,4,"A(3) H(7) R(9) R(12)",0.9838,0.8192,0.3454,2.1484,no
mol_41,1,4,"A(3) H(8) R(10) R(13)",0.7519,0.9970,0.7721,2.5210,no
mol_42,1,4,"A(3) H(8) R(10) R(13)",0.7535,0.9972,0.7595,2.5102,no
mol_43,1,4,"A(3) H(8) R(10) R(12)",0.9886,0.8101,0.3438,2.1425,no
mol_44,1,4,"A(3) H(7) R(9) R(11)",0.9733,0.8284,0.3443,2.1459,no
mol_45,1,4,"A(3) H(8) R(10) R(12)",0.9923,0.9996,0.5163,2.5082,no
mol_46,1,4,"A(6) H(13) R(15) R(18)",0.9632,0.8188,0.3022,2.0842,no
mol_47,1,4,"A(4) H(8) R(10) R(13)",0.9756,0.8050,0.3455,2.1262,no
mol_48,1,4,"A(6) H(14) R(16) R(19)",0.9693,0.9996,0.4923,2.4612,no
mol_49,1,4,"A(3) H(9) R(10) R(12)",0.9768,0.9991,0.7128,2.6888,no
mol_50,1,4,"A(5) H(10) R(11) R(14)",0.7567,0.9934,0.3575,2.1075,no
mol_51,1,4,"A(5) H(10) R(11) R(14)",0.9556,0.9974,0.3475,2.3005,no
mol_52,1,4,"A(7) H(16) R(17) R(20)",0.9679,0.8084,0.3130,2.0892,no
mol_53,1,4,"A(4) H(10) R(11) R(14)",0.9821,0.9999,0.4808,2.4628,no
mol_54,1,4,"A(4) H(10) R(11) R(13)",0.9795,0.8123,0.3218,2.1136,no
mol_55,1,4,"A(5) H(10) R(11) R(14)",0.9820,0.8081,0.3250,2.1152,no
mol_56,1,4,"A(5) H(11) R(12) R(15)",0.9669,0.8043,0.3187,2.0899,no
mol_57,1,4,"A(5) H(11) R(12) R(15)",0.9919,0.7864,0.3165,2.0947,no
mol_58,1,4,"A(4) H(10) R(11) R(13)",0.7568,0.9946,0.3541,2.1054,no
mol_59,1,4,"A(4) H(9) R(10) R(12)",0.7540,0.8239,0.3711,1.9489,no
mol_60,1,4,"A(6) H(12) R(13) R(15)",0.9881,0.8095,0.3183,2.1159,no
mol_61,1,4,"A(4) H(10) R(11) R(13)",0.9577,0.9970,0.3479,2.3026,no
mol_62,1,4,"A(4) H(9) R(11) R(14)",0.9885,0.9987,0.3723,2.3594,no
mol_63,1,4,"A(4) H(9) R(11) R(14)",0.9924,0.9994,0.4000,2.3918,no
mol_64,1,4,"A(3) H(11) R(12) R(15)",0.9907,0.9993,0.3718,2.3618,no
mol_65,1,4,"A(7) H(14) R(15) R(18)",0.7564,0.8169,0.2759,1.8492,no
mol_66,1,4,"A(7) H(15) R(16) R(19)",0.7536,0.7955,0.3775,1.9266,no
mol_67,1,4,"A(6) H(10) R(11) R(14)",0.9709,0.9996,0.3342,2.3047,no
mol_68,1,4,"A(4) H(10) R(12) R(14)",0.9937,0.9999,0.3592,2.3528,no
mol_69,1,4,"A(4) H(11) R(12) R(14)",0.9822,0.9995,0.7328,2.7144,no
