Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,1,3,"A(3) H(8) R(9)",0.9968,0.9999,0.3878,2.3846,no
mol_2,1,3,"A(3) H(8) R(9)",0.9967,0.9992,0.3660,2.3619,no
mol_3,1,3,"A(3) H(9) R(10)",0.9925,0.9930,0.3264,2.3119,no
mol_4,1,3,"A(5) H(11) R(12)",0.9973,0.9999,0.7326,2.7298,no
mol_5,1,3,"A(3) H(9) R(10)",0.9996,0.9997,0.7836,2.7829,no
mol_6,1,3,"A(4) H(9) R(10)",0.9968,0.9972,0.3564,2.3505,no
mol_7,1,3,"A(2) H(9) R(10)",0.9987,1.0000,0.7372,2.7359,no
mol_8,1,3,"A(4) H(9) R(10)",0.9973,0.9972,0.3610,2.3555,no
mol_9,1,3,"A(4) H(8) R(10)",0.9936,0.9999,0.7959,2.7893,no
mol_10,1,3,"A(4) H(8) R(10)",0.9930,0.9997,0.7014,2.6941,no
mol_11,1,3,"A(3) H(8) R(10)",0.9933,0.9980,0.3497,2.3411,no
mol_12,1,3,"A(3) H(8) R(10)",0.9910,0.9991,0.5900,2.5801,no
mol_13,1,3,"A(4) H(8) R(10)",0.9930,0.9907,0.3598,2.3434,no
mol_14,1,3,"A(4) H(8) R(10)",0.9944,0.9994,0.3933,2.3871,no
mol_15,1,3,"A(5) H(10) R(12)",0.9897,0.9998,0.5547,2.5441,no
mol_16,1,3,"A(5) H(10) R(12)",0.9932,0.9979,0.3406,2.3317,no
mol_17,1,3,"A(3) H(7) R(9)",0.9925,0.9977,0.3430,2.3332,no
mol_18,1,3,"A(3) H(7) R(9)",0.9931,0.9997,0.3759,2.3687,no
mol_19,1,3,"A(6) H(15) R(16)",0.9985,0.9998,0.3856,2.3838,no
mol_20,1,3,"A(6) H(14) R(15)",0.9989,0.9991,0.3627,2.3607,no
